code,所属概念,股票代码,所属概念数量,market_code
300251,短剧游戏;文化传媒概念;IP经济(谷子经济);AI视频;网络游戏;虚拟数字人;AIGC概念;AI应用;抖音概念(字节概念);DeepSeek概念;虚拟现实;英伟达概念;深股通;融资融券,300251.SZ,14,33
300753,脑机接口;AI应用;人工智能;养老概念;机器人概念;专精特新;医疗器械概念;血氧仪;三胎概念;医美概念;流感;医药电商,300753.SZ,12,33
300227,光纤概念;苹果概念;富士康概念;5G;PCB概念;量子科技;3D打印;军工;无人机;比亚迪概念;成飞概念;华为概念;机器视觉;新能源汽车;大飞机;新型工业化;低空经济;宁德时代概念;军民融合;粤港澳大湾区;医美概念;深股通;股权转让(并购重组),300227.SZ,23,33
920982,AI应用;医药电商;重组蛋白;融资融券;合成生物;医美概念;医疗器械概念;创新药;专精特新,920982.BJ,9,151
688678,富士康概念;苹果概念;消费电子概念;人形机器人;智能穿戴;比亚迪概念;特斯拉概念;新能源汽车;机器人概念;光伏概念;2026一季报预增;TOPCON电池;海峡两岸;医疗器械概念;沪股通;融资融券,688678.SH,16,17
920199,鸿蒙概念;高压氧舱;西部大开发;脑机接口;融资融券;机器人概念;智能医疗;家用电器;医疗器械概念;体育产业;人民币贬值受益;人工智能;IP经济(谷子经济),920199.BJ,13,151
000938,WiFi 6;算力租赁;中国AI 50;东数西算(算力);6G概念;英伟达概念;液冷服务器;数据中心(AIDC);共封装光学(CPO);云计算;国资云;5G;网络安全;国产操作系统;数据安全;阿里巴巴概念;芯片概念;抖音概念(字节概念);智慧政务;物联网;车联网(车路协同);数字乡村;智慧城市;数字孪生;储能;AI智能体;数据要素;DeepSeek概念;AIGC概念;人工智能;AI应用;机器人概念;深股通;融资融券;小红书概念;2026中报预增;智能医疗,000938.SZ,37,33
600246,存储芯片;芯片概念;5G;毫米波雷达;卫星导航;商业航天;创投;数字经济;京津冀一体化;物业管理;云计算;沪股通;融资融券,600246.SH,13,17
920090,AI智能体;数据中心(AIDC);ST板块;虚拟现实;职业教育;数字经济;元宇宙;京津冀一体化;互联网金融;MR(混合现实);DeepSeek概念,920090.BJ,11,151
002900,维生素;流感;仿制药一致性评价;创新药;医美概念;宠物经济;消毒剂;医疗器械概念;黑龙江自贸区,002900.SZ,9,33
688353,钠离子电池;固态电池;锂电池概念;氟化工概念;宁德时代概念;有机硅概念;储能;比亚迪概念;专精特新;沪股通;融资融券,688353.SH,11,17
603228,PCB概念;共封装光学(CPO);华为手机;OLED;柔性屏(折叠屏);汽车电子;AI PC;5G;消费电子概念;6G概念;毫米波雷达;英伟达概念;卫星导航;商业航天;特斯拉概念;比亚迪概念;新能源汽车;无人驾驶;华为概念;华为数字能源;沪股通;融资融券,603228.SH,22,17
603959,ST板块;机器人概念;燃料电池;氢能源;新能源汽车;锂电池概念;宁德时代概念;煤化工概念;固态电池,603959.SH,9,22
688796,科创次新股;CRO概念;基因测序;注册制次新股;智能医疗;人民币贬值受益;AI智能体;沪股通;新股与次新股;融资融券,688796.SH,10,17
300430,ST板块;工业大麻;脑机接口;养老概念;三胎概念;消毒剂;AI应用;合成生物;京津冀一体化;DeepSeek概念;智能物流;医疗器械概念;新型工业化;专精特新,300430.SZ,14,33
600882,乳业;三胎概念;数据要素;AI智能体;沪股通;融资融券,600882.SH,6,17
001395,碳纤维;高端装备;专精特新;2026中报预增;融资融券,001395.SZ,5,33
002100,猪肉;动物疫苗;禽流感;预制菜;玉米;宠物经济;新疆振兴;国企改革;西部大开发;深股通;融资融券,002100.SZ,11,33
688101,石墨烯;盐湖提锂;代糖概念;锂电池概念;净水概念;核污染防治;污水处理;西部大开发;海峡两岸;福建自贸区;沪股通;融资融券,688101.SH,12,17
603459,共封装光学(CPO);PCB概念;注册制次新股;华为手机;存储芯片;MiniLED;富士康概念;汽车电子;智能座舱;消费电子概念;智能穿戴;芯片概念;小米概念;卫星导航;比亚迪概念;东数西算(算力);商业航天;无人驾驶;虚拟现实;华为概念;机器人概念;锂电池概念;一带一路;2026中报预增;新股与次新股;融资融券,603459.SH,26,17
002432,血氧仪;天津自贸区;AI应用;智能医疗;智能穿戴;小米概念;创投;人民币贬值受益;医疗器械概念;跨境电商;流感;京津冀一体化;养老概念;2026中报预增;深股通;融资融券,002432.SZ,16,33
603725,装配式建筑;长安汽车概念;机器人概念;创投;新能源汽车;比亚迪概念;专精特新,603725.SH,7,17
300716,HJT电池;TOPCON电池;智能音箱;钙钛矿电池;光伏概念;华为汽车;新能源汽车;长安汽车概念;可降解塑料;军民融合;碳中和;储能;ST板块,300716.SZ,13,33
301448,专精特新;锂电池概念;人民币贬值受益;跨境电商;融资融券,301448.SZ,5,33
002083,氟化工概念;托育服务;锂电池概念;三胎概念;中俄贸易概念;创投;人民币贬值受益;军民融合;一带一路;硅能源;国企改革;军工;海工装备;新能源汽车;高铁;2026中报预增;深股通,002083.SZ,17,33
300534,流感;医药电商;三胎概念;创新药;医疗器械概念;中俄贸易概念;食品安全;西部大开发;参股券商;国企改革;专精特新;股权转让(并购重组),300534.SZ,12,33
002115,智慧灯杆;卫星导航;华为概念;专精特新;5G;智慧城市;信创;海工装备;腾讯概念;阿里巴巴概念;6G概念;AIGC概念;抖音概念(字节概念);人工智能;小红书概念;AI应用;快手概念;虚拟数字人;创投;短剧游戏;文化传媒概念;共同富裕示范区;网红经济;2026中报预增;深股通;融资融券,002115.SZ,26,33
300497,有机硅概念;CRO概念;人造肉;锂电池概念;猴痘概念;化肥;合成生物;氟化工概念;肝炎概念;创新药;比亚迪概念;光刻胶;2026一季报预增;融资融券;深股通,300497.SZ,15,33
301153,财税数字化;移动支付;智慧政务;区块链;AI应用;数据要素;电子身份证;互联网金融;数字货币;AI智能体;数字经济;鸿蒙概念;蚂蚁集团概念;信创;智慧城市;DeepSeek概念;人工智能;腾讯概念;阿里巴巴概念;国企改革;华为概念;深股通;融资融券,301153.SZ,23,33
002294,减肥药;创新药;仿制药一致性评价;医疗器械概念;参股保险;深股通;融资融券,002294.SZ,7,33
000679,跨境电商,000679.SZ,1,33
920266,西部大开发;融资融券;农业种植;医药电商,920266.BJ,4,151
603950,汽车电子;比亚迪概念;新能源汽车;低空经济;飞行汽车(eVTOL);股权转让(并购重组);沪股通,603950.SH,7,17
002309,光伏建筑一体化;绿色电力;TOPCON电池;碳中和;风电;国企改革;海工装备;钙钛矿电池;高铁;一带一路;智能电网;充电桩;光伏概念;储能;军民融合;军工;锂电池概念;深股通;华为概念;新能源汽车;5G;比亚迪概念;融资融券,002309.SZ,23,33
300911,算力租赁;东数西算(算力);腾讯概念;阿里巴巴概念;AIGC概念;DeepSeek概念;人工智能;家用电器;深股通;融资融券,300911.SZ,10,33
301602,宠物经济;智能医疗;医疗器械概念;水利;人工智能;人民币贬值受益;核电;机器人概念;专精特新;深股通;融资融券,301602.SZ,11,33
603949,汽车热管理;农机;创投;专精特新;新能源汽车;军工,603949.SH,6,17
002653,创新药;仿制药一致性评价;医疗器械概念;西部大开发;深股通;融资融券;2026一季报预增;2026中报预增,002653.SZ,8,33
003010,宠物经济;三胎概念;跨境电商;文化传媒概念;拼多多概念;虚拟数字人;AIGC概念;AI应用;DeepSeek概念;数字经济;人工智能;阿里巴巴概念;粤港澳大湾区;虚拟现实;2026中报预增;深股通,003010.SZ,16,33
603823,光刻胶;PEEK材料;钠离子电池;沪股通,603823.SH,4,17
002649,华为盘古;华为鲲鹏;信创;AI语料;ChatGPT概念;数据安全;华为昇腾;语音技术;数据要素;数字货币;AI应用;鸿蒙概念;智谱AI;AIGC概念;网络安全;区块链;百度概念;数字乡村;跨境支付(CIPS);阿里巴巴概念;抖音概念(字节概念);腾讯概念;虚拟数字人;互联网金融;智慧城市;DeepSeek概念;数字经济;人工智能;小红书概念;物联网;工业互联网;虚拟现实;华为概念;跨境电商;无人驾驶;虚拟电厂;深股通;融资融券,002649.SZ,38,33
300149,细胞免疫治疗;重组蛋白;创新药;CRO概念;智能医疗;AI应用;DeepSeek概念;人民币贬值受益;深股通;股权转让(并购重组);融资融券,300149.SZ,11,33
301367,医疗器械概念;京津冀一体化;人民币贬值受益;机器人概念;深股通;融资融券,301367.SZ,6,33
920970,融资融券;食品安全;猪肉;专精特新,920970.BJ,4,151
600085,超级品牌;医药电商;创新药;流感;国企改革;智能医疗;DeepSeek概念;沪股通;融资融券,600085.SH,9,17
301075,三胎概念;西部大开发;流感;仿制药一致性评价;创新药;深股通;融资融券,301075.SZ,7,33
301030,ST板块;净水概念;污水处理;固废处理;碳中和;专精特新;TOPCON电池;光伏概念,301030.SZ,8,33
688036,语音技术;人工智能;国产操作系统;DeepSeek概念;AI智能体;人民币贬值受益;储能;智能穿戴;AI眼镜;AI手机;MLOps概念;消费电子概念;同花顺漂亮100;AI PC;沪股通;融资融券,688036.SH,16,17
300496,MLOps概念;华为欧拉;多模态AI;ChatGPT概念;国产操作系统;元宇宙;AI智能体;AI应用;鸿蒙概念;AIGC概念;语音技术;虚拟数字人;百度概念;区块链;车联网(车路协同);抖音概念(字节概念);阿里巴巴概念;腾讯概念;人形机器人;DeepSeek概念;数字经济;机器视觉;虚拟现实;长安汽车概念;人工智能;智能音箱;智能座舱;物联网;中国AI 50;新型工业化;华为汽车;东数西算(算力);机器人概念;独角兽概念;华为概念;英伟达概念;低空经济;智能电网;小米汽车;智能医疗;无人驾驶;MR(混合现实);智能家居;AI PC;小米概念;无人机;传感器;智能物流;智能穿戴;比亚迪概念;AI手机;AI眼镜;5G;消费电子概念;华为海思概念股;深股通;融资融券,300496.SZ,57,33
300291,短剧游戏;快手概念;文化传媒概念;网红经济;IP经济(谷子经济);网络游戏;虚拟数字人;旅游概念;抖音概念(字节概念);AI应用;百度概念;腾讯概念;阿里巴巴概念;人工智能;华为概念;深股通,300291.SZ,16,33
002261,云计算;华为欧拉;华为昇腾;国产操作系统;华为鲲鹏;华为盘古;智慧政务;信创;虚拟数字人;鸿蒙概念;东数西算(算力);阿里巴巴概念;AI应用;在线教育;蚂蚁集团概念;移动支付;DeepSeek概念;智慧城市;车联网(车路协同);人工智能;手机游戏;智能医疗;物联网;华为概念;托育服务;华为海思概念股;工业互联网;机器人概念;三胎概念;深股通;融资融券,002261.SZ,31,33
003001,土壤修复;水利;装配式建筑;地下管网;人工智能;雄安新区;一带一路;雅下水电概念;核电;可控核聚变,003001.SZ,10,33
301199,新型工业化;长安汽车概念;机器人概念;智能物流;高端装备;工业互联网;人工智能;物联网;新能源汽车;建筑节能;军工;比亚迪概念;融资融券,301199.SZ,13,33
300143,高压氧舱;民营医院;医美概念;养老概念;医疗器械概念;脑机接口;智能医疗;创投;AI应用;人工智能;DeepSeek概念;AI智能体;物联网;机器人概念;华为概念;融资融券;深股通,300143.SZ,17,33
001221,跨境电商;注册制次新股;粤港澳大湾区;深股通;新股与次新股;融资融券,001221.SZ,6,33
600846,房屋检测;垃圾分类;污水处理;装配式建筑;PPP概念;雄安新区;建筑节能;国企改革;沪股通;融资融券,600846.SH,10,17
603300,国资云;算力租赁;Web3.0;NFT概念;区块链;蚂蚁集团概念;数据要素;DeepSeek概念;职业教育;数字货币;数字经济;东数西算(算力);人工智能;雅下水电概念;水利;乡村振兴;自由贸易港;华为概念;数据中心(AIDC);低空经济;新型城镇化;国企改革;海南自贸区;无人机;沪股通;股权转让(并购重组);融资融券,603300.SH,27,17
300237,股权转让(并购重组);农业种植;垃圾分类;氢能源;PPP概念;固废处理;国企改革;乡村振兴;新型城镇化;长安汽车概念;ST板块;汽车热管理;充电桩;旅游概念;储能;特色小镇;新能源汽车;军工;比亚迪概念,300237.SZ,19,33
920267,粤港澳大湾区;海峡两岸;跨境电商;融资融券;芯片概念;智能家居;家用电器;专精特新;MCU芯片,920267.BJ,9,151
301230,CRO概念;创新药;智能医疗;流感;合成生物;医疗器械概念;ChatGPT概念;AI应用;多模态AI;人工智能;人民币贬值受益;深股通;融资融券,301230.SZ,13,33
002343,手机游戏;IP经济(谷子经济);文化传媒概念;短剧游戏;旅游概念;AIGC概念;AI语料;AI应用;京津冀一体化;元宇宙;创投;腾讯概念;国企改革;虚拟现实,002343.SZ,14,33
688702,国家大基金持股;芯片概念;5G;中国AI 50;数据中心(AIDC);网络安全;沪股通;融资融券,688702.SH,8,17
301578,智能家居;家用电器;物联网;星闪概念;新型工业化;人脸识别;鸿蒙概念;华为概念;小米概念;消费电子概念;融资融券,301578.SZ,11,33
301004,三胎概念;C2M概念;跨境电商;人民币贬值受益;深股通;融资融券,301004.SZ,6,33
002166,禽流感;合成生物;啤酒概念;宠物经济;工业大麻;农业种植;参股银行;乡村振兴;西部大开发;代糖概念;人民币贬值受益;专精特新;新型烟草(电子烟);股权转让(并购重组);深股通;融资融券,002166.SZ,16,33
300528,短剧游戏;文化传媒概念;国企改革;深股通,300528.SZ,4,33
000010,ST板块;新型城镇化;PPP概念;水利;煤炭概念;抽水蓄能;东数西算(算力),000010.SZ,7,33
600518,医药电商;维生素;民营医院;医疗器械概念;智能医疗;粤港澳大湾区;融资融券;沪股通,600518.SH,8,17
600749,冰雪产业;旅游概念;IP经济(谷子经济);文化传媒概念;露营经济;西部大开发,600749.SH,6,17
