股票代码,code,所属概念数量,所属概念,market_code
300640.SZ,300640,13,IP经济(谷子经济);跨境电商;中俄贸易概念;三胎概念;智能家居;福建自贸区;家用电器;海峡两岸;宠物经济;人民币贬值受益;储能;新能源汽车;智能穿戴,33
300076.SZ,300076,10,ST板块;智慧城市;安防;虚拟现实;国企改革;智能电网;专精特新;MicroLED概念;MiniLED;OLED,33
000656.SZ,000656,8,托育服务;三胎概念;物业管理;西部大开发;新型城镇化;电子竞技;摘帽;股权转让(并购重组),33
002329.SZ,002329,14,乳业;绿色电力;生态农业;乡村振兴;跨境电商;三胎概念;西部大开发;文化传媒概念;数字经济;智慧城市;一带一路;冷链物流;光伏概念;融资融券,33
002622.SZ,002622,5,民营医院;参股银行;智能医疗;牙科医疗;智能电网,33
603797.SH,603797,4,新型城镇化;污水处理;PPP概念;粤港澳大湾区,17
000802.SZ,000802,3,文化传媒概念;IP经济(谷子经济);旅游概念,33
600698.SH,600698,9,兵装重组概念;国企改革;央企国企改革;高铁;长安汽车概念;汽车热管理;新能源汽车;融资融券;沪股通,17
600815.SH,600815,10,福建自贸区;职业教育;海峡两岸;军工;高端装备;中俄贸易概念;地下管网;智能物流;国企改革;沪股通,17
600327.SH,600327,6,预制菜;三胎概念;IP经济(谷子经济);民营医院;信托概念;参股银行,17
002783.SZ,002783,13,民爆概念;生态农业;化肥;煤化工概念;国企改革;氢能源;燃料电池;军民融合;军工;新能源汽车;光伏概念;股权转让(并购重组);融资融券,33
000537.SZ,000537,10,绿色电力;风电;光热发电;储能;新疆振兴;央企国企改革;国企改革;京津冀一体化;深股通;融资融券,33
600984.SH,600984,4,一带一路;西部大开发;国企改革;沪股通,17
002193.SZ,002193,5,新疆振兴;数字经济;ST板块;工业互联网;人民币贬值受益,33
000859.SZ,000859,11,光刻胶;柔性屏(折叠屏);芯片概念;新能源汽车;装配式建筑;雄安新区;一带一路;国企改革;MLCC概念;深股通;融资融券,33
600192.SH,600192,10,智能电网;风电;充电桩;核电;国企改革;西部大开发;军工;光伏概念;燃料电池;融资融券,17
002399.SZ,002399,6,生物疫苗;创新药;CRO概念;人民币贬值受益;深股通;融资融券,33
002370.SZ,002370,8,仿制药一致性评价;创新药;肝炎概念;幽门螺杆菌概念;猴痘概念;股权转让(并购重组);深股通;融资融券,33
002696.SZ,002696,9,中俄贸易概念;垃圾分类;污水处理;乡村振兴;土壤修复;一带一路;预制菜;西部大开发;国企改革,33
601886.SH,601886,13,高股息精选;眼科医疗;民营医院;医美概念;装配式建筑;建筑节能;一带一路;光伏建筑一体化;绿色电力;融资融券;数字经济;光伏概念;沪股通,17
001258.SZ,001258,12,绿色电力;光热发电;风电;碳中和;充电桩;新疆振兴;储能;特高压;国企改革;西部大开发;2026中报预增;深股通,33
002951.SZ,002951,7,超级电容;风电;蚂蚁集团概念;储能;数字经济;西部大开发;深股通,33
002300.SZ,002300,10,特高压;风电;充电桩;海工装备;核电;军工;光伏概念;海峡两岸;深股通;融资融券,33
600490.SH,600490,12,金属锌;金属铜;黄金概念;金属钴;金属镍;小金属概念;锂电池概念;一带一路;俄乌冲突概念;沪股通;融资融券;2026中报预增,17
002626.SZ,002626,11,NMN概念;维生素;合成生物;医药电商;医美概念;跨境电商;人民币贬值受益;福建自贸区;海峡两岸;深股通;融资融券,33
605336.SH,605336,4,智能家居;DeepSeek概念;家用电器;ST板块,22
601020.SH,601020,10,金属铅;金属锌;黄金概念;金属铜;小金属概念;一带一路;人民币贬值受益;西部大开发;沪股通;融资融券,17
605162.SH,605162,5,虚拟电厂;绿色电力;碳交易;碳中和;储能,17
600272.SH,600272,5,医药电商;民营医院;参股银行;国企改革;2026中报预增,17
002458.SZ,002458,6,养鸡;猪肉;乳业;深股通;2026中报预增;融资融券,33
000710.SZ,000710,16,基因测序;辅助生殖;三胎概念;智能医疗;医疗器械概念;AI应用;京津冀一体化;数据要素;人工智能;AI智能体;DeepSeek概念;AI语料;西部大开发;腾讯概念;智谱AI;海峡两岸,33
603758.SH,603758,8,长安汽车概念;人形机器人;新能源汽车;西部大开发;传感器;消费电子概念;沪股通;融资融券,17
603711.SH,603711,4,互联网金融;共同富裕示范区;创投;沪股通,17
600722.SH,600722,6,煤化工概念;国企改革;京津冀一体化;风电;融资融券;沪股通,17
300345.SZ,300345,13,HJT电池;TOPCON电池;BC电池;硅能源;光伏概念;碳中和;储能;军民融合;军工;智能电网;机器人概念;华为概念;智慧城市,33
002900.SZ,002900,9,维生素;流感;仿制药一致性评价;创新药;医美概念;宠物经济;消毒剂;医疗器械概念;黑龙江自贸区,33
603161.SH,603161,8,华为汽车;长安汽车概念;人民币贬值受益;一带一路;新能源汽车;燃料电池;比亚迪概念;氢能源,17
002298.SZ,002298,49,云计算;电力物联网;数据安全;网络安全;虚拟电厂;东数西算(算力);智能电网;信创;智慧政务;阿里巴巴概念;腾讯概念;数据中心(AIDC);数据要素;时空大数据;充电桩;AIGC概念;人脸识别;智慧城市;物联网;华为概念;数字乡村;光伏建筑一体化;储能;军工信息化;人工智能;数字经济;安防;抽水蓄能;工业互联网;无人机;5G;碳中和;军工;水利;机器视觉;绿色电力;传感器;专精特新;碳交易;新型城镇化;无线充电;消费电子概念;高铁;锂电池概念;PPP概念;光纤概念;深股通;2026中报预增;融资融券,33
603382.SH,603382,4,数字经济;工业互联网;绿色电力;融资融券,17
002580.SZ,002580,23,快手概念;新疆振兴;动力电池回收;抖音概念(字节概念);雄安新区;钠离子电池;高铁;鸿蒙概念;阿里巴巴概念;国企改革;创投;东数西算(算力);储能;一带一路;数据中心(AIDC);固态电池;军工;锂电池概念;华为概念;液冷服务器;5G;深股通;融资融券,33
600186.SH,600186,10,算力租赁;东数西算(算力);AI智能体;DeepSeek概念;智能医疗;土壤修复;粮食概念;超级品牌;融资融券;沪股通,17
002345.SZ,002345,7,黄金概念;小金属概念;IP经济(谷子经济);NFT概念;高股息精选;培育钻石;深股通,33
605286.SH,605286,9,虚拟电厂;东数西算(算力);人工智能;风电;储能;绿色电力;氢能源;新型城镇化;沪股通,17
002827.SZ,002827,7,民爆概念;雅下水电概念;西部大开发;国企改革;芯片概念;股权转让(并购重组);深股通,33
603038.SH,603038,7,净水概念;鸿蒙概念;人工智能;智能家居;粤港澳大湾区;华为概念;2026中报预增,17
600641.SH,600641,13,第三代半导体;存储芯片;OLED;芯片概念;TOPCON电池;光伏概念;固态电池;小金属概念;创投;沪股通;股权转让(并购重组);2026中报预增;融资融券,17
002112.SZ,002112,11,智能电网;风电;数据中心(AIDC);核电;储能;光伏概念;国企改革;专精特新;共同富裕示范区;深股通;融资融券,33
002842.SZ,002842,6,小金属概念;金属铜;光伏概念;融资融券;2026中报预增;深股通,33
001388.SZ,001388,22,电力物联网;鸿蒙概念;人工智能;电子身份证;物联网;工业互联网;智能电网;算力租赁;中俄贸易概念;机器人概念;华为概念;核电;新型工业化;风电;特高压;专精特新;传感器;芯片概念;PCB概念;多模态AI;深股通;融资融券,33
601606.SH,601606,8,兵装重组概念;国企改革;央企国企改革;军民融合;军工;新能源汽车;沪股通;融资融券,17
002289.SZ,002289,7,消费电子概念;算力租赁;数据中心(AIDC);柔性屏(折叠屏);深股通;摘帽;股权转让(并购重组),33
603725.SH,603725,7,装配式建筑;长安汽车概念;机器人概念;创投;新能源汽车;比亚迪概念;专精特新,17
600936.SH,600936,15,5G;机器人概念;数字乡村;智慧政务;无人机;AI智能体;AI应用;DeepSeek概念;文化传媒概念;国企改革;乡村振兴;西部大开发;股权转让(并购重组);沪股通;融资融券,17
002541.SZ,002541,8,同花顺中特估100;PPP概念;装配式建筑;机器人概念;光伏概念;2026中报预增;融资融券;深股通,33
603130.SH,603130,2,共同富裕示范区;沪股通,17
002828.SZ,002828,10,俄乌冲突概念;页岩气;天然气;煤化工概念;新疆振兴;参股银行;西部大开发;碳中和;一带一路;股权转让(并购重组),33
003043.SZ,003043,13,光刻机;芯片概念;专精特新;高铁;固态电池;高端装备;医疗器械概念;储能;数字经济;智能电网;智能物流;深股通;股权转让(并购重组),33
002667.SZ,002667,8,金属铅;金属锌;垃圾分类;小金属概念;磷化工;储能;ST板块;锂电池概念,33
600326.SH,600326,13,雅下水电概念;西部大开发;水利;一带一路;参股银行;国企改革;水泥概念;金属铜;小金属概念;绿色电力;同花顺中特估100;沪股通;融资融券,17
002474.SZ,002474,29,Web3.0;智慧政务;在线教育;云办公;华为鲲鹏;区块链;数据安全;数据要素;鸿蒙概念;AI应用;信创;数字经济;网络安全;智慧城市;人工智能;军工信息化;安防;虚拟现实;物联网;物业管理;福建自贸区;海峡两岸;华为概念;军工;电力物联网;核污染防治;智能电网;融资融券;深股通,33
002552.SZ,002552,10,PCB概念;5G;股权转让(并购重组);汽车电子;黄金概念;互联网金融;2026一季报预增;国企改革;2026中报预增;深股通,33
605128.SH,605128,7,华为汽车;人形机器人;机器人概念;高铁;新能源汽车;华为概念;沪股通,17
002885.SZ,002885,21,第三代半导体;无线充电;富士康概念;消费电子概念;OLED;数据中心(AIDC);5G;高压快充;汽车电子;小米概念;光伏概念;比亚迪概念;充电桩;华为概念;储能;新能源汽车;华为汽车;粤港澳大湾区;2026中报预增;深股通;融资融券,33
603580.SH,603580,4,海峡两岸;消费电子概念;人民币贬值受益;摘帽,17
001222.SZ,001222,7,宠物经济;IP经济(谷子经济);跨境电商;共同富裕示范区;一带一路;人民币贬值受益;创投,33
603221.SH,603221,1,人民币贬值受益,17
002748.SZ,002748,4,消毒剂;染料;锂电池概念;2026中报预增,33
603020.SH,603020,1,烟草,17
600833.SH,600833,5,宠物经济;医药电商;上海国企改革;国企改革;2026中报预增,17
605033.SH,605033,2,乡村振兴;西部大开发,17
603269.SH,603269,7,液冷服务器;数据中心(AIDC);核电;海峡两岸;氢能源;超超临界发电;一带一路,17
600316.SH,600316,11,军民融合;大飞机;央企国企改革;乡村振兴;国企改革;军工;低空经济;高端装备;无人机;融资融券;沪股通,17
002141.SZ,002141,9,动物疫苗;广东自贸区;锂电池概念;粤港澳大湾区;创投;独角兽概念;PCB概念;横琴新区;消费电子概念,33
000506.SZ,000506,9,黄金概念;金属铜;小金属概念;一带一路;股权转让(并购重组);人民币贬值受益;国企改革;2026中报预增;深股通,33
605179.SH,605179,7,乳业;三胎概念;冷链物流;乡村振兴;共同富裕示范区;长三角一体化;沪股通,17
601199.SH,601199,10,PPP概念;水利;污水处理;绿色电力;参股银行;国企改革;智慧城市;沪股通;融资融券;地下管网,17
001300.SZ,001300,4,足球概念;体育产业;跨境电商;人民币贬值受益,33
000026.SZ,000026,8,减速器;商业航天;人形机器人;机器人概念;智能穿戴;央企国企改革;国企改革;深股通,33
002153.SZ,002153,17,区块链;腾讯概念;AI应用;云计算;移动支付;AI智能体;抖音概念(字节概念);阿里巴巴概念;DeepSeek概念;ERP概念;人工智能;跨境支付(CIPS);京津冀一体化;旅游概念;证金持股;深股通;融资融券,33
603065.SH,603065,3,专精特新;光伏概念;职业教育,17
603162.SH,603162,7,航运概念;统一大市场;福建自贸区;海峡两岸;人民币贬值受益;2026中报预增;沪股通,17
001376.SZ,001376,2,碳中和;深股通,33
600793.SH,600793,4,西部大开发;国企改革;食品安全;电子纸,17
603151.SH,603151,2,乡村振兴;股权转让(并购重组),17
000973.SZ,000973,16,固态电池;锂电池概念;2026一季报预增;宁德时代概念;特高压;比亚迪概念;国企改革;粤港澳大湾区;证金持股;航运概念;OLED;融资融券;AI眼镜;2026中报预增;深股通;股权转让(并购重组),33
002739.SZ,002739,16,IP经济(谷子经济);文化传媒概念;短剧游戏;网络游戏;手机游戏;京津冀一体化;足球概念;小红书概念;数据确权;鸿蒙概念;腾讯概念;阿里巴巴概念;抖音概念(字节概念);华为概念;深股通;融资融券,33
600683.SH,600683,9,特色小镇;物业管理;土地流转;创投;养老概念;国企改革;京津冀一体化;旅游概念;沪股通,17
600721.SH,600721,13,青蒿素;肝炎概念;物业管理;流感;细胞免疫治疗;创新药;合成生物;CRO概念;减肥药;新疆振兴;国企改革;西部大开发;股权转让(并购重组),17
002388.SZ,002388,17,消费电子概念;富士康概念;有机硅概念;人形机器人;比亚迪概念;华为概念;粤港澳大湾区;无人机;新能源汽车;锂电池概念;光伏概念;固态电池;充电桩;钠离子电池;储能;氟化工概念;摘帽,33
002044.SZ,002044,19,家庭医生;阿里巴巴概念;数据要素;AIGC概念;人工智能;区块链;AI智能体;华为概念;AI应用;DeepSeek概念;牙科医疗;基因测序;智能医疗;中国AI 50;智能穿戴;养老概念;阿尔茨海默概念;深股通;融资融券,33
002647.SZ,002647,10,东数西算(算力);云计算;移动支付;跨境支付(CIPS);区块链;芯片概念;数字货币;互联网金融;深股通;摘帽,33
002248.SZ,002248,3,新型工业化;工业母机;高端装备,33
600356.SH,600356,3,烟草;国企改革;黑龙江自贸区,17
600664.SH,600664,15,流感;医药电商;维生素;仿制药一致性评价;肝炎概念;创新药;黑龙江自贸区;三胎概念;养老概念;跨境电商;DeepSeek概念;沪股通;融资融券;冷链物流;民营医院,17
601700.SH,601700,11,智能电网;柔性直流输电;特高压;光伏概念;一带一路;化债概念(AMC概念);国企改革;硅能源;2026中报预增;沪股通;融资融券,17
002437.SZ,002437,10,仿制药一致性评价;创新药;医药电商;肝炎概念;维生素;民营医院;基因测序;黑龙江自贸区;深股通;融资融券,33
000428.SZ,000428,6,预制菜;物业管理;职业教育;国企改革;股权转让(并购重组);融资融券,33
603188.SH,603188,3,染料;固废处理;国企改革,17
301234.SZ,301234,4,人民币贬值受益;专精特新;医疗器械概念;融资融券,33
600337.SH,600337,14,ST板块;数字经济;新疆振兴;跨境电商;智能家居;工业互联网;AIGC概念;智能物流;C2M概念;华为概念;AI智能体;AI应用;人工智能;铜缆高速连接,22
600227.SH,600227,11,化肥;煤化工概念;煤炭概念;民营医院;阿尔茨海默概念;乡村振兴;仿制药一致性评价;西部大开发;医疗器械概念;创投;沪股通,17
002589.SZ,002589,15,医药电商;创新药;冷链物流;农业种植;统一大市场;养老概念;医疗器械概念;智能医疗;牙科医疗;区块链;人工智能;AI应用;华为概念;深股通;融资融券,33
300945.SZ,300945,7,黄金概念;NFT概念;IP经济(谷子经济);共同富裕示范区;元宇宙;深股通;融资融券,33
301583.SZ,301583,8,高端装备;先进封装;存储芯片;注册制次新股;新股与次新股;融资融券;专精特新;芯片概念,33
301235.SZ,301235,8,芯片概念;专精特新;人工智能;医疗器械概念;智能医疗;辅助生殖;深股通;融资融券,33
300426.SZ,300426,11,短剧游戏;NFT概念;文化传媒概念;IP经济(谷子经济);AIGC概念;AI应用;抖音概念(字节概念);阿里巴巴概念;DeepSeek概念;人工智能;国企改革,33
300139.SZ,300139,9,黄金概念;智能电网;民爆概念;芯片概念;人民币贬值受益;一带一路;绿色电力;深股通;融资融券,33
688696.SH,688696,13,跨境电商;手机游戏;西部大开发;智能家居;专精特新;机器视觉;百度概念;新能源汽车;智能座舱;AI眼镜;消费电子概念;融资融券;沪股通,17
688026.SH,688026,6,辅助生殖;医疗器械概念;细胞免疫治疗;人民币贬值受益;专精特新;融资融券,17
300530.SZ,300530,8,钠离子电池;锂电池概念;储能;国企改革;充电桩;高压快充;新能源汽车;深股通,33
300875.SZ,300875,13,军民融合;核污染防治;食品安全;京津冀一体化;核电;军工;高端装备;锂电池概念;专精特新;低空经济;机器人概念;无人机;融资融券,33
002234.SZ,002234,5,养鸡;预制菜;生态农业;生物质能发电;融资融券,33
688370.SH,688370,2,固废处理;融资融券,17
300161.SZ,300161,16,工业母机;新型工业化;高端装备;机器人概念;航空发动机;新能源汽车;军工;工业互联网;数字孪生;职业教育;智能物流;阿里巴巴概念;人工智能;锂电池概念;数据中心(AIDC);深股通,33
000911.SZ,000911,6,土地流转;ST板块;冷链物流;国企改革;西部大开发;智能物流,33
301218.SZ,301218,31,智慧政务;数据安全;数据要素;AI应用;水利;人脸识别;阿里巴巴概念;智慧城市;人工智能;空间计算;网络安全;安防;共同富裕示范区;DeepSeek概念;物联网;一带一路;时空大数据;华为概念;机器视觉;传感器;低空经济;机器人概念;人形机器人;数据中心(AIDC);无人机;智能医疗;专精特新;智能电网;卫星导航;股权转让(并购重组);融资融券,33
002759.SZ,002759,10,氟化工概念;磷化工;钠离子电池;固态电池;锂电池概念;宁德时代概念;新能源汽车;家用电器;比亚迪概念;ST板块,33
000657.SZ,000657,23,PCB概念;金属钴;小金属概念;金属铜;2026一季报预增;金属回收;可控核聚变;工业母机;光伏概念;军工;高端装备;海南自贸区;深股通;创投;DeepSeek概念;雅下水电概念;医疗器械概念;国企改革;乡村振兴;2026中报预增;股权转让(并购重组);中字头股票;融资融券,33
600267.SH,600267,17,仿制药一致性评价;医药电商;创新药;减肥药;阿尔茨海默概念;流感;动物疫苗;合成生物;青蒿素;医美概念;宠物经济;智能医疗;国企改革;DeepSeek概念;融资融券;2026中报预增;沪股通,17
002687.SZ,002687,1,创投,33
300096.SZ,300096,33,DRG/DIP;托育服务;数据安全;华为鲲鹏;信创;智慧政务;人脸识别;移动支付;AI应用;蚂蚁集团概念;区块链;数据要素;AIGC概念;ChatGPT概念;Web3.0;福建自贸区;数据确权;智慧城市;数字水印;人工智能;数字经济;在线教育;DeepSeek概念;腾讯概念;海峡两岸;智能医疗;家庭医生;养老概念;华为概念;机器视觉;参股保险;国企改革;ST板块,33
688265.SH,688265,2,辅助生殖;融资融券,17
301585.SZ,301585,2,专精特新;融资融券,33
300397.SZ,300397,29,军工信息化;卫星导航;安防;军民融合;智慧灯杆;军工;无人机;时空大数据;传感器;低空经济;车联网(车路协同);智慧城市;华为概念;芯片概念;机器人概念;人工智能;东数西算(算力);无人驾驶;太赫兹;5G;量子科技;毫米波雷达;数据中心(AIDC);算力租赁;海工装备;西部大开发;先进封装;深股通;融资融券,33
300618.SZ,300618,9,金属钴;金属镍;金属铜;小金属概念;动力电池回收;锂电池概念;人民币贬值受益;深股通;融资融券,33
603198.SH,603198,3,白酒概念;沪股通;融资融券,17
300141.SZ,300141,10,智能电网;充电桩;换电概念;储能;高压快充;光伏概念;商业航天;氢能源;燃料电池;机器人概念,33
688202.SH,688202,9,CRO概念;减肥药;创新药;合成生物;智能医疗;人工智能;AI应用;沪股通;融资融券,17
688429.SH,688429,6,HJT电池;TOPCON电池;BC电池;光伏概念;沪股通;融资融券,17
002265.SZ,002265,18,兵装重组概念;军民融合;西部大开发;长安汽车概念;军工信息化;国企改革;军工;专精特新;机器人概念;央企国企改革;无人机;新能源汽车;无人驾驶;比亚迪概念;汽车电子;融资融券;股权转让(并购重组);深股通,33
301230.SZ,301230,14,CRO概念;创新药;智能医疗;流感;合成生物;医疗器械概念;ChatGPT概念;AI应用;多模态AI;人工智能;人民币贬值受益;减肥药;深股通;融资融券,33
002634.SZ,002634,4,ST板块;互联网金融;光伏概念;TOPCON电池,33
002338.SZ,002338,18,芯片概念;商业航天;传感器;专精特新;碳纤维;军工;军民融合;机器视觉;低空经济;工业母机;同花顺新质50;机器人概念;医疗器械概念;国企改革;证金持股;2026中报预增;深股通;融资融券,33
920970.BJ,920970,4,融资融券;食品安全;猪肉;专精特新,151
301159.SZ,301159,25,智慧政务;数据安全;数据确权;信创;数据要素;鸿蒙概念;AI应用;AI智能体;区块链;数字经济;DeepSeek概念;人工智能;军工信息化;工业互联网;智能医疗;华为概念;食品安全;军工;人形机器人;小米概念;比亚迪概念;商业航天;合成生物;芯片概念;融资融券,33
920000.BJ,920000,5,海峡两岸;融资融券;新能源汽车;人民币贬值受益;专精特新,151
600206.SH,600206,19,中芯国际概念;国家大基金持股;存储芯片;先进封装;光纤概念;OLED;芯片概念;稀土永磁;5G;军工;牙科医疗;华为概念;医疗器械概念;央企国企改革;雄安新区;京津冀一体化;国企改革;沪股通;融资融券,17
688260.SH,688260,7,光纤概念;消费电子概念;汽车电子;华为概念;无人驾驶;MLCC概念;融资融券,17
300804.SZ,300804,2,粤港澳大湾区;融资融券,33
600784.SH,600784,12,化债概念(AMC概念);创投;参股银行;新能源汽车;国企改革;专精特新;海峡两岸;3D打印;储能;绿色电力;光伏概念;消费电子概念,17
000603.SZ,000603,11,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;2026一季报预增;文化传媒概念;深股通;2026中报预增;融资融券,33
002612.SZ,002612,13,中韩自贸区;毛发医疗;三胎概念;IP经济(谷子经济);网红经济;医美概念;民营医院;C2M概念;医疗器械概念;虚拟数字人;牙科医疗;融资融券;深股通,33
603789.SH,603789,11,生态农业;乡村振兴;共同富裕示范区;新疆振兴;数据要素;ST板块;农机;无人机;机器人概念;无人驾驶;股权转让(并购重组),22
301233.SZ,301233,28,有机硅概念;核污染防治;光伏概念;核电;储能;智能电网;碳纤维;锂电池概念;专精特新;比亚迪概念;风电;氢能源;海工装备;西部大开发;军工;新能源汽车;低空经济;PEEK材料;无人机;商业航天;大飞机;航空发动机;成飞概念;军民融合;农机;减速器;股权转让(并购重组);融资融券,33
300906.SZ,300906,3,高铁;专精特新;融资融券,33
002189.SZ,002189,24,3D打印;军工;芯片概念;消费电子概念;军民融合;汽车电子;智能座舱;AI眼镜;MR(混合现实);无人驾驶;兵装重组概念;机器视觉;虚拟现实;安防;华为概念;车联网(车路协同);家用电器;长安汽车概念;数字经济;央企国企改革;国企改革;深股通;中字头股票;融资融券,33
300591.SZ,300591,9,网红经济;跨境电商;露营经济;三胎概念;人工智能;粤港澳大湾区;军民融合;军工;腾讯概念,33
300967.SZ,300967,5,养鸡;乡村振兴;西部大开发;绿色电力;融资融券,33
300013.SZ,300013,11,跨境电商;统一大市场;冷链物流;智能物流;一带一路;国企改革;车联网(车路协同);物联网;比亚迪概念;卫星导航;股权转让(并购重组),33
000668.SZ,000668,2,物业管理;摘帽,33
600711.SH,600711,18,金属铅;金属锌;金属铜;黄金概念;金属钴;金属镍;小金属概念;2026一季报预增;福建自贸区;固废处理;锂电池概念;海峡两岸;人民币贬值受益;绿色电力;沪股通;融资融券;2026中报预增;摘帽,17
002623.SZ,002623,11,钙钛矿电池;建筑节能;POE胶膜;光伏概念;光伏建筑一体化;一带一路;储能;特斯拉概念;绿色电力;玻璃基板;融资融券,33
603838.SH,603838,4,ST板块;智能家居;人民币贬值受益;小金属概念,22
001337.SZ,001337,6,黄金概念;西部大开发;国企改革;2026中报预增;融资融券;深股通,33
301633.SZ,301633,7,新型工业化;高端装备;机器人概念;信创;专精特新;数据中心(AIDC);融资融券,33
002990.SZ,002990,32,华为昇腾;人脸识别;多模态AI;东数西算(算力);鸿蒙概念;信创;人形机器人;智慧政务;无人驾驶;安防;车联网(车路协同);传感器;机器视觉;核污染防治;机器人概念;网络安全;华为概念;AIGC概念;物联网;数字经济;AI智能体;智慧城市;人工智能;语音技术;芯片概念;DeepSeek概念;一带一路;存储芯片;冷链物流;2026中报预增;AI应用;深股通,33
000007.SZ,000007,2,粤港澳大湾区;物业管理,33
002086.SZ,002086,9,预制菜;猴痘概念;食品安全;幽门螺杆菌概念;基因测序;CRO概念;医疗器械概念;人民币贬值受益;深股通,33
603506.SH,603506,5,物业管理;养老概念;垃圾分类;长三角一体化;机器人概念,17
688409.SH,688409,7,光刻机;芯片概念;专精特新;DeepSeek概念;2026中报预增;沪股通;融资融券,17
603790.SH,603790,4,染料;PEEK材料;换电概念;股权转让(并购重组),17
300285.SZ,300285,17,共封装光学(CPO);5G;消费电子概念;芯片概念;3D打印;商业航天;比亚迪概念;卫星导航;宁德时代概念;新能源汽车;固态电池;牙科医疗;锂电池概念;氢能源;深股通;MLCC概念;融资融券,33
688552.SH,688552,9,军工信息化;军民融合;军工;低空经济;专精特新;央企国企改革;国企改革;沪股通;融资融券,17
688543.SH,688543,8,军民融合;军工;无人机;商业航天;人工智能;国企改革;沪股通;融资融券,17
688652.SH,688652,9,中芯国际概念;存储芯片;芯片概念;专精特新;高端装备;京津冀一体化;国企改革;沪股通;融资融券,17
920405.BJ,920405,5,数据中心(AIDC);工业互联网;融资融券;固态电池;储能,151
688222.SH,688222,13,CRO概念;减肥药;重组蛋白;创新药;智能医疗;人民币贬值受益;AI应用;腾讯概念;人工智能;AI智能体;西部大开发;沪股通;融资融券,17
