股票代码,所属概念数量,所属概念,market_code,code
301382.SZ,31,云办公;云计算;云游戏;华为鲲鹏;数据安全;智慧政务;抖音概念(字节概念);AIGC概念;腾讯概念;AI智能体;阿里巴巴概念;东数西算(算力);数据要素;鸿蒙概念;元宇宙;蚂蚁集团概念;DeepSeek概念;智慧城市;人工智能;华为概念;数字经济;物联网;互联网金融;AI应用;5G;粤港澳大湾区;智能家居;华为手机;回购增持再贷款概念;深股通;融资融券,33,301382
301282.SZ,31,PCB概念;富士康概念;共封装光学(CPO);5G;汽车电子;卫星导航;消费电子概念;无人机;商业航天;数据中心;军工;智能座舱;比亚迪概念;东数西算(算力);低空经济;无人驾驶;华为概念;新能源汽车;机器人概念;物联网;车联网(车路协同);华为汽车;海峡两岸;高铁;智能家居;充电桩;宁德时代概念;储能;创投;固态电池;融资融券,33,301282
300290.SZ,28,华为欧拉;华为鲲鹏;鸿蒙概念;智慧政务;信创;网络安全;DRG/DIP;云计算;在线教育;智慧城市;数字经济;AI应用;多模态AI;DeepSeek概念;数字孪生;独角兽概念;虚拟现实;人工智能;华为概念;机器人概念;智能医疗;数据中心;专精特新;智能电网;国企改革;光伏概念;深股通;融资融券,33,300290
300088.SZ,29,MicroLED概念;柔性屏(折叠屏);电子纸;AI手机;车联网(车路协同);智能穿戴;虚拟现实;华为概念;智能座舱;OLED;小米概念;东数西算(算力);消费电子概念;汽车电子;元宇宙;算力租赁;比亚迪概念;苹果概念;特斯拉概念;华为汽车;新能源汽车;储能;一带一路;锂电池概念;石墨烯;固态电池;国企改革;深股通;融资融券,33,300088
300587.SZ,8,机器人概念;专精特新;锂电池概念;高铁;固态电池;液冷服务器;融资融券;深股通,33,300587
300857.SZ,40,算力租赁;英伟达概念;EDR概念;云游戏;存储芯片;东数西算(算力);云计算;共封装光学(CPO);智能音箱;数据中心;AI眼镜;芯片概念;腾讯概念;智能穿戴;汽车电子;AI智能体;消费电子概念;人脸识别;AIGC概念;安防;车联网(车路协同);小米概念;物联网;短剧游戏;DeepSeek概念;人工智能;人形机器人;AI应用;机器人概念;2025年报预增;网络游戏;粤港澳大湾区;智能家居;家用电器;人民币贬值受益;净水概念;跨境电商;2026一季报预增;融资融券;深股通,33,300857
300938.SZ,15,军民融合;AI眼镜;军工;汽车拆解概念;小米概念;低空经济;比亚迪概念;华为概念;特斯拉概念;机器人概念;华为汽车;食品安全;DeepSeek概念;深股通;融资融券,33,300938
301086.SZ,19,富士康概念;液冷服务器;苹果概念;消费电子概念;工业母机;专精特新;新能源汽车;华为数字能源;汽车热管理;新型工业化;华为概念;储能;锂电池概念;机器人概念;虚拟现实;2026一季报预增;回购增持再贷款概念;深股通;融资融券,33,301086
301548.SZ,11,核电;专精特新;芯片概念;抽水蓄能;海工装备;储能;风电;PEEK材料;海峡两岸;生物质能发电;融资融券,33,301548
301030.SZ,8,TOPCON电池;净水概念;光伏概念;碳中和;污水处理;专精特新;固废处理;融资融券,33,301030
300936.SZ,11,PCB概念;毫米波雷达;芯片概念;5G;专精特新;消费电子概念;卫星导航;无人驾驶;华为概念;储能;融资融券,33,300936
300853.SZ,18,语音技术;传感器;电力物联网;新型工业化;无人机;专精特新;机器人概念;机器视觉;人形机器人;智能穿戴;人工智能;智能电网;AI眼镜;东数西算(算力);DeepSeek概念;储能;海工装备;一带一路,33,300853
688159.SH,29,算力租赁;云计算;信创;东数西算(算力);智慧政务;阿里巴巴概念;AI智能体;数据要素;星闪概念;鸿蒙概念;车联网(车路协同);华为概念;数据中心;物联网;智慧城市;5G;存储芯片;人工智能;专精特新;低空经济;机器人概念;电力物联网;无人机;粤港澳大湾区;比亚迪概念;水利;智能电网;沪股通;融资融券,17,688159
300270.SZ,22,百度概念;智慧灯杆;智慧城市;车联网(车路协同);华为概念;物联网;人工智能;人脸识别;华为鲲鹏;机器视觉;无人驾驶;工业互联网;华为昇腾;机器人概念;安防;卫星导航;共同富裕示范区;东数西算(算力);储能;光纤概念;冷链物流;股权转让(并购重组),33,300270
301123.SZ,17,铜缆高速连接;共封装光学(CPO);PCB概念;液冷服务器;消费电子概念;汽车电子;新型烟草(电子烟);小米概念;比亚迪概念;新能源汽车;宁德时代概念;人形机器人;机器人概念;锂电池概念;储能;深股通;融资融券,33,301123
300351.SZ,30,军工;无人机;液冷服务器;高压快充;商业航天;军民融合;5G;海工装备;低空经济;充电桩;高铁;数据中心;卫星导航;比亚迪概念;换电概念;人形机器人;新能源汽车;机器人概念;储能;华为汽车;华为概念;风电;长安汽车概念;光纤概念;共封装光学(CPO);锂电池概念;一带一路;共同富裕示范区;深股通;融资融券,33,300351
688500.SH,24,AI语料;小红书概念;虚拟数字人;AIGC概念;抖音概念(字节概念);智慧政务;AI智能体;阿里巴巴概念;数据要素;数字乡村;算力租赁;人工智能;数字经济;DeepSeek概念;东数西算(算力);智慧城市;华为概念;数据中心;人形机器人;机器人概念;烟草;AI应用;乡村振兴;融资融券,17,688500
300352.SZ,36,华为鲲鹏;数据安全;数字水印;财税数字化;云计算;智谱AI;国产操作系统;华为盘古;网络安全;信创;云办公;智慧政务;ChatGPT概念;鸿蒙概念;百度概念;数字货币;区块链;智慧城市;量子科技;语音技术;DeepSeek概念;安防;互联网金融;物联网;脑机接口;人工智能;军工信息化;华为概念;工业互联网;低空经济;军工;商业航天;军民融合;智能家居;深股通;融资融券,33,300352
300390.SZ,14,固态电池;锂电池概念;宁德时代概念;小金属概念;2026一季报预增;储能;新能源汽车;中芯国际概念;存储芯片;芯片概念;医疗器械概念;华为概念;融资融券;深股通,33,300390
301369.SZ,8,中芯国际概念;芯片概念;第三代半导体;专精特新;2025年报预增;创投;深股通;融资融券,33,301369
688678.SH,15,富士康概念;消费电子概念;苹果概念;特斯拉概念;比亚迪概念;人形机器人;新能源汽车;2026一季报预增;机器人概念;光伏概念;TOPCON电池;海峡两岸;医疗器械概念;沪股通;融资融券,17,688678
300738.SZ,21,算力租赁;智谱AI;快手概念;云计算;东数西算(算力);网络安全;腾讯概念;阿里巴巴概念;百度概念;数据要素;数据中心;DeepSeek概念;华为概念;人工智能;芯片概念;粤港澳大湾区;光伏概念;一带一路;绿色电力;融资融券;深股通,33,300738
688685.SH,17,航空发动机;军民融合;军工;商业航天;无人机;高端装备;传感器;专精特新;东数西算(算力);共封装光学(CPO);人工智能;算力租赁;DeepSeek概念;独角兽概念;智能医疗;沪股通;融资融券,17,688685
301580.SZ,9,牙科医疗;3D打印;专精特新;人民币贬值受益;阿里巴巴概念;医疗器械概念;智能医疗;深股通;融资融券,33,301580
301091.SZ,35,智慧政务;数据要素;信创;百度概念;智慧城市;时空大数据;腾讯概念;车联网(车路协同);数据确权;DeepSeek概念;多模态AI;数字孪生;国资云;华为概念;低空经济;房屋检测;智慧灯杆;同花顺新质50;无人机;无人驾驶;智能物流;粤港澳大湾区;高铁;水利;新型城镇化;雄安新区;建筑节能;深圳国企改革;PPP概念;地下管网;充电桩;国企改革;虚拟电厂;深股通;融资融券,33,301091
300163.SZ,4,建筑节能;人民币贬值受益;专精特新;摘帽,33,300163
300858.SZ,8,幽门螺杆菌概念;创新药;宠物经济;医美概念;三胎概念;乳业;土壤修复;京津冀一体化,33,300858
300684.SZ,28,共封装光学(CPO);富士康概念;液冷服务器;AI PC;同花顺果指数;苹果概念;汽车电子;5G;消费电子概念;无线充电;数据中心;小米概念;MR(混合现实);汽车热管理;比亚迪概念;智能座舱;新能源汽车;2025年报预增;无人机;华为概念;光伏概念;虚拟现实;充电桩;储能;石墨烯;一带一路;京津冀一体化;深股通,33,300684
601778.SH,14,虚拟电厂;光伏建筑一体化;光伏概念;储能;绿色电力;数据中心;碳交易;风电;氢能源;碳中和;阿里巴巴概念;腾讯概念;沪股通;融资融券,17,601778
300911.SZ,10,算力租赁;东数西算(算力);腾讯概念;阿里巴巴概念;AIGC概念;DeepSeek概念;人工智能;家用电器;深股通;融资融券,33,300911
300953.SZ,16,人形机器人;小米汽车;新能源汽车;比亚迪概念;宁德时代概念;小米概念;机器人概念;储能;锂电池概念;飞行汽车(eVTOL);2025年报预增;低空经济;一带一路;2026一季报预增;深股通;融资融券,33,300953
600156.SH,14,跨境电商;旅游概念;人民币贬值受益;消费电子概念;养老概念;柔性屏(折叠屏);5G;数据中心;算力租赁;东数西算(算力);医疗器械概念;液冷服务器;国企改革;股权转让(并购重组),17,600156
600719.SH,1,国企改革,17,600719
000571.SZ,6,海南自贸区;航空发动机;上海自贸区;大飞机;成飞概念;煤炭概念,33,000571
000782.SZ,1,军工,33,000782
002726.SZ,4,猪肉;预制菜;融资融券;深股通,33,002726
600961.SH,10,金属锌;金属铅;黄金概念;金属铜;小金属概念;金属回收;央企国企改革;国企改革;融资融券;沪股通,17,600961
002613.SZ,8,建筑节能;装配式建筑;光伏概念;高铁;一带一路;高端装备;钙钛矿电池;苹果概念,33,002613
000593.SZ,10,青蒿素;信托概念;天然气;西部大开发;碳中和;股权转让(并购重组);地下管网;氢能源;储能;融资融券,33,000593
000967.SZ,20,储能;充电桩;新能源汽车;智能电网;核电;污水处理;垃圾分类;固废处理;机器人概念;回购增持再贷款概念;华为概念;物联网;特色小镇;无人驾驶;PPP概念;智慧城市;云计算;数据要素;深股通;融资融券,33,000967
603826.SH,7,钛白粉概念;福建自贸区;海峡两岸;专精特新;2026一季报预增;沪股通;融资融券,17,603826
002213.SZ,15,存储芯片;PCB概念;汽车芯片;锂电池概念;芯片概念;消费电子概念;比亚迪概念;新能源汽车;粤港澳大湾区;WiFi 6;小金属概念;硅能源;无人驾驶;信创;创投,33,002213
603906.SH,18,钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;磷化工;储能;燃料电池;比亚迪概念;氢能源;新能源汽车;无人机;一带一路;数字经济;数据中心;液冷服务器;融资融券;沪股通,17,603906
002940.SZ,10,仿制药一致性评价;创新药;幽门螺杆菌概念;维生素;合成生物;宠物经济;共同富裕示范区;回购增持再贷款概念;MR(混合现实);深股通,33,002940
603322.SH,24,算力租赁;智慧城市;智慧灯杆;数据要素;东数西算(算力);物联网;人工智能;多模态AI;华为概念;AIGC概念;DeepSeek概念;移动支付;5G;低空经济;数据中心;Sora概念(文生视频);快手概念;粤港澳大湾区;智能物流;芯片概念;充电桩;一带一路;AI应用;沪股通,17,603322
002580.SZ,21,钠离子电池;动力电池回收;固态电池;锂电池概念;储能;高铁;液冷服务器;军工;新疆振兴;数据中心;东数西算(算力);雄安新区;创投;华为概念;国企改革;抖音概念(字节概念);快手概念;鸿蒙概念;5G;深股通;融资融券,33,002580
000070.SZ,39,光纤概念;F5G概念;成飞概念;共封装光学(CPO);6G概念;大飞机;军工信息化;5G;卫星导航;军工;无人机;高铁;数据中心;智慧灯杆;国资云;特高压;深圳国企改革;低空经济;东数西算(算力);算力租赁;传感器;一带一路;华为概念;光伏概念;智慧城市;抖音概念(字节概念);百度概念;信创;腾讯概念;国企改革;人工智能;创投;阿里巴巴概念;智能电网;粤港澳大湾区;绿色电力;物业管理;深股通;摘帽,33,000070
002875.SZ,6,广东自贸区;三胎概念;粤港澳大湾区;跨境电商;IP经济(谷子经济);股权转让(并购重组),33,002875
600549.SH,18,金属钴;小金属概念;稀土永磁;动力电池回收;宁德时代概念;锂电池概念;固态电池;光伏概念;可控核聚变;军工;无人机;商业航天;国企改革;机器人概念;福建自贸区;海峡两岸;沪股通;融资融券,17,600549
603933.SH,18,人形机器人;MCU芯片;汽车电子;新型工业化;工业母机;消费电子概念;智能家居;新能源汽车;机器人概念;海峡两岸;芯片概念;物联网;无人机;存储芯片;工业互联网;福建自贸区;数字经济;储能,17,603933
002929.SZ,45,算力租赁;东数西算(算力);华为昇腾;云办公;数据安全;数据中心;信创;多模态AI;阿里巴巴概念;华为数字能源;百度概念;MR(混合现实);5G;AI智能体;虚拟数字人;元宇宙;空间计算;数据要素;数字乡村;华为概念;智慧灯杆;虚拟现实;智慧城市;数字孪生;DeepSeek概念;电力物联网;人工智能;虚拟电厂;智能电网;工业互联网;充电桩;低空经济;无人机;军工;AI应用;储能;机器人概念;光伏概念;乡村振兴;雄安新区;一带一路;跨境电商;西部大开发;融资融券;深股通,33,002929
001203.SZ,16,固态电池;小金属概念;锂电池概念;金属铅;金属锌;金属回收;绿色电力;储能;西部大开发;回购增持再贷款概念;参股银行;乡村振兴;创投;职业教育;旅游概念;深股通,33,001203
002468.SZ,11,统一大市场;智能物流;长三角一体化;回购增持再贷款概念;乡村振兴;人工智能;数字经济;阿里巴巴概念;深股通;2026一季报预增;融资融券,33,002468
000815.SZ,11,算力租赁;国资云;东数西算(算力);云计算;数据中心;绿色电力;央企国企改革;国企改革;西部大开发;深股通;融资融券,33,000815
000657.SZ,22,金属铜;金属钴;小金属概念;金属回收;PCB概念;光伏概念;工业母机;海南自贸区;可控核聚变;雅下水电概念;高端装备;军工;国企改革;DeepSeek概念;乡村振兴;创投;医疗器械概念;2026一季报预增;深股通;股权转让(并购重组);中字头股票;融资融券,33,000657
001268.SZ,2,成飞概念;粤港澳大湾区,33,001268
603052.SH,11,共封装光学(CPO);芯片概念;消费电子概念;OLED;传感器;专精特新;新能源汽车;宁德时代概念;锂电池概念;固态电池;沪股通,17,603052
605060.SH,7,液冷服务器;数据中心;专精特新;高端装备;农机;风电;沪股通,17,605060
002008.SZ,40,光刻机;PCB概念;先进封装;富士康概念;光纤概念;存储芯片;第三代半导体;苹果概念;OLED;MiniLED;MicroLED概念;芯片概念;消费电子概念;工业母机;AI眼镜;MR(混合现实);3D打印;宁德时代概念;小米概念;特斯拉概念;比亚迪概念;新能源汽车;商业航天;机器视觉;高端装备;光伏概念;固态电池;钙钛矿电池;储能;新型工业化;华为概念;锂电池概念;机器人概念;TOPCON电池;减速器;HJT电池;粤港澳大湾区;物联网;深股通;融资融券,33,002008
002771.SZ,29,算力租赁;在线教育;时空大数据;信创;东数西算(算力);虚拟数字人;数字经济;阿里巴巴概念;人脸识别;语音技术;AIGC概念;人工智能;物联网;DeepSeek概念;虚拟现实;京津冀一体化;华为概念;数据中心;军民融合;智能医疗;工业互联网;军工;电力物联网;液冷服务器;充电桩;AI应用;风电;高压快充;储能,33,002771
603897.SH,7,比亚迪概念;新能源汽车;工业互联网;机器人概念;一带一路;沪股通;融资融券,17,603897
002209.SZ,7,新型工业化;粤港澳大湾区;机器人概念;工业互联网;2025年报预增;消毒剂;污水处理,33,002209
002491.SZ,13,光纤概念;5G;数据中心;长三角一体化;专精特新;储能;独角兽概念;数字水印;网络安全;数据安全;固态电池;深股通;融资融券,33,002491
600847.SH,1,西部大开发,17,600847
600507.SH,10,特钢概念;回购增持再贷款概念;化债概念(AMC概念);2025年报预增;工业互联网;新能源汽车;宁德时代概念;华为概念;融资融券;沪股通,17,600507
001230.SZ,16,污水处理;新型城镇化;专精特新;垃圾分类;PPP概念;固废处理;新能源汽车;机器人概念;物联网;无人驾驶;智慧城市;数据中心;数字经济;车联网(车路协同);人工智能;DeepSeek概念,33,001230
002850.SZ,13,PEEK材料;减速器;固态电池;宁德时代概念;特斯拉概念;人形机器人;比亚迪概念;新能源汽车;锂电池概念;机器人概念;储能;深股通;融资融券,33,002850
002263.SZ,12,石墨烯;共同富裕示范区;国企改革;PET铜箔;特高压;军工;新能源汽车;比亚迪概念;光伏概念;柔性直流输电;深股通;融资融券,33,002263
003041.SZ,5,人民币贬值受益;共同富裕示范区;2025年报预增;一带一路;股权转让(并购重组),33,003041
603920.SH,30,OLED;毫米波雷达;AI眼镜;共封装光学(CPO);汽车电子;PCB概念;商业航天;5G;智能座舱;特斯拉概念;人形机器人;飞行汽车(eVTOL);无人机;光伏概念;数据中心;新能源汽车;无人驾驶;低空经济;机器人概念;东数西算(算力);储能;充电桩;粤港澳大湾区;海峡两岸;脑机接口;人民币贬值受益;国企改革;股权转让(并购重组);融资融券;沪股通,17,603920
605287.SH,11,Sora概念(文生视频);AI应用;短剧游戏;AIGC概念;虚拟现实;文化传媒概念;回购增持再贷款概念;装配式建筑;光伏建筑一体化;新型城镇化;乡村振兴,17,605287
002990.SZ,28,语音技术;安防;鸿蒙概念;人脸识别;信创;网络安全;华为昇腾;物联网;AIGC概念;智慧政务;多模态AI;存储芯片;车联网(车路协同);华为概念;人工智能;智慧城市;DeepSeek概念;数字经济;传感器;芯片概念;机器人概念;机器视觉;无人驾驶;人形机器人;冷链物流;核污染防治;一带一路;深股通,33,002990
002595.SZ,5,工业母机;风电;海工装备;深股通;融资融券,33,002595
603985.SH,11,算力租赁;东数西算(算力);英伟达概念;DeepSeek概念;核电;高端装备;风电;海工装备;国企改革;融资融券;沪股通,17,603985
002859.SZ,11,超导概念;消费电子概念;可控核聚变;PET铜箔;专精特新;一带一路;宁德时代概念;锂电池概念;固态电池;深股通;融资融券,33,002859
600875.SH,23,抽水蓄能;可控核聚变;核电;光热发电;高端装备;风电;光伏概念;储能;新能源汽车;工业互联网;超超临界发电;燃料电池;雅下水电概念;人工智能;DeepSeek概念;ChatGPT概念;氢能源;央企国企改革;西部大开发;国企改革;乡村振兴;沪股通;融资融券,17,600875
603315.SH,13,核电;东数西算(算力);特钢概念;专精特新;军工;算力租赁;抽水蓄能;中俄贸易概念;超超临界发电;宁德时代概念;锂电池概念;石墨电极;俄乌冲突概念,17,603315
002237.SZ,11,金属铅;金属锌;黄金概念;金属铜;小金属概念;金属回收;磷化工;化肥;国企改革;深股通;融资融券,33,002237
002757.SZ,25,云计算;算力租赁;网络安全;AIGC概念;AI智能体;阿里巴巴概念;抖音概念(字节概念);腾讯概念;东数西算(算力);数字经济;人工智能;数字孪生;华为概念;数据中心;工业互联网;新型工业化;机器人概念;AI应用;粤港澳大湾区;智能家居;专精特新;海峡两岸;工业母机;中俄贸易概念;深股通,33,002757
600683.SH,8,特色小镇;土地流转;物业管理;旅游概念;养老概念;国企改革;京津冀一体化;创投,17,600683
603220.SH,28,算力租赁;东数西算(算力);华为昇腾;6G概念;数据中心;智慧政务;F5G概念;5G;共封装光学(CPO);AI智能体;智慧城市;车联网(车路协同);卫星导航;华为概念;DeepSeek概念;人工智能;光纤概念;低空经济;充电桩;共享单车;AI应用;新能源汽车;储能;光伏概念;一带一路;锂电池概念;沪股通;融资融券,17,603220
600749.SH,6,旅游概念;露营经济;冰雪产业;IP经济(谷子经济);文化传媒概念;西部大开发,17,600749
000762.SZ,10,盐湖提锂;小金属概念;金属铜;化肥;锂电池概念;西部大开发;央企国企改革;国企改革;深股通;融资融券,33,000762
002297.SZ,12,成飞概念;航空发动机;大飞机;军民融合;商业航天;军工;无人机;碳纤维;培育钻石;国企改革;2026一季报预增;融资融券,33,002297
002802.SZ,4,国企改革;海峡两岸;风电;股权转让(并购重组),33,002802
002333.SZ,5,房屋检测;光伏建筑一体化;光伏概念;智慧城市;工业互联网,33,002333
600768.SH,4,共同富裕示范区;2025年报预增;2026一季报预增;股权转让(并购重组),17,600768
605166.SH,0,,17,605166
603032.SH,8,固态电池;锂电池概念;比亚迪概念;减速器;机器人概念;西部大开发;新疆振兴;融资融券,17,603032
605336.SH,3,家用电器;智能家居;DeepSeek概念,17,605336
603687.SH,14,钙钛矿电池;数字水印;烟草;光伏概念;AIGC概念;DeepSeek概念;ChatGPT概念;共同富裕示范区;数字孪生;芯片概念;工业互联网;人工智能;物联网;锂电池概念,17,603687
603878.SH,5,光热发电;核电;海工装备;氢能源;超超临界发电,17,603878
002062.SZ,12,人形机器人;水利;新型城镇化;光伏概念;储能;地下管网;回购增持再贷款概念;雅下水电概念;PPP概念;绿色电力;深股通;融资融券,33,002062
600284.SH,11,建筑节能;新型城镇化;水利;上海自贸区;创投;自由贸易港;国企改革;车联网(车路协同);证金持股;沪股通;融资融券,17,600284
002033.SZ,8,冰雪产业;旅游概念;IP经济(谷子经济);高股息精选;西部大开发;2026一季报预增;深股通;融资融券,33,002033
605388.SH,5,幽门螺杆菌概念;乳业;三胎概念;跨境电商;白酒概念,17,605388
600666.SH,19,算力租赁;数据确权;东数西算(算力);云计算;Sora概念(文生视频);AIGC概念;AI智能体;数据要素;短剧游戏;DeepSeek概念;蚂蚁集团概念;人工智能;OLED;AI应用;比亚迪概念;高端装备;黑龙江自贸区;新疆振兴;沪股通,17,600666
000570.SZ,11,乡村振兴;农机;参股银行;国企改革;海峡两岸;2025年报预增;华为概念;锂电池概念;无人机;固态电池;2026一季报预增,33,000570
000546.SZ,9,盐湖提锂;小金属概念;金属镍;金属回收;金属铜;锂电池概念;医疗废物处理;垃圾分类;固废处理,33,000546
002421.SZ,28,抖音概念(字节概念);华为鲲鹏;AI智能体;腾讯概念;信创;鸿蒙概念;数字经济;智慧城市;云计算;DeepSeek概念;人工智能;人脸识别;物联网;华为概念;工业互联网;智能医疗;养老概念;雄安新区;数据中心;粤港澳大湾区;机器人概念;建筑节能;PPP概念;碳中和;AI应用;液冷服务器;深股通;融资融券,33,002421
301309.SZ,6,共同富裕示范区;3D打印;专精特新;智能家居;人民币贬值受益;融资融券,33,301309
300604.SZ,8,国家大基金持股;存储芯片;芯片概念;专精特新;2025年报预增;海峡两岸;融资融券;深股通,33,300604
300438.SZ,23,钠离子电池;两轮车;固态电池;虚拟电厂;锂电池概念;储能;石墨烯;新型烟草(电子烟);深股通;充电桩;燃料电池;粤港澳大湾区;无线耳机;低空经济;长安汽车概念;新能源汽车;无人机;军工;独角兽概念;机器人概念;小米概念;消费电子概念;融资融券,33,300438
688548.SH,10,芯片概念;氢能源;专精特新;商业航天;华为概念;数字孪生;粤港澳大湾区;国企改革;沪股通;融资融券,17,688548
301345.SZ,11,人形机器人;两轮车;跨境电商;人民币贬值受益;机器人概念;专精特新;无人驾驶;2025年报预增;2026一季报预增;深股通;融资融券,33,301345
301636.SZ,7,钙钛矿电池;光伏概念;注册制次新股;新能源汽车;专精特新;新股与次新股;融资融券,33,301636
603629.SH,14,算力租赁;东数西算(算力);液冷服务器;英伟达概念;云计算;腾讯概念;华为概念;消费电子概念;芯片概念;OLED;小米概念;军工;2025年报预增;沪股通,17,603629
300689.SZ,9,第三代半导体;芯片概念;消费电子概念;专精特新;液冷服务器;车联网(车路协同);人民币贬值受益;粤港澳大湾区;深股通,33,300689
300231.SZ,17,算力租赁;华为昇腾;云计算;东数西算(算力);网络安全;信创;抖音概念(字节概念);阿里巴巴概念;数据要素;数据中心;智慧城市;互联网金融;华为概念;人工智能;京津冀一体化;参股银行;深股通,33,300231
300491.SZ,12,高压快充;数据中心;智能电网;汽车电子;充电桩;换电概念;军工;2025年报预增;新能源汽车;储能;京津冀一体化;雄安新区,33,300491
301004.SZ,7,三胎概念;C2M概念;跨境电商;人民币贬值受益;回购增持再贷款概念;深股通;融资融券,33,301004
688677.SH,5,医疗器械概念;专精特新;人民币贬值受益;融资融券;沪股通,17,688677
301012.SZ,8,算力租赁;东数西算(算力);数据中心;储能;光伏概念;专精特新;股权转让(并购重组);融资融券,33,301012
300696.SZ,12,航空发动机;成飞概念;大飞机;军民融合;军工;无人机;低空经济;3D打印;创投;西部大开发;融资融券;深股通,33,300696
300214.SZ,8,丙烯酸;专精特新;数据中心;新疆振兴;液冷服务器;东数西算(算力);DeepSeek概念;算力租赁,33,300214
688479.SH,7,ERP概念;AI智能体;云计算;DeepSeek概念;数字经济;人工智能;融资融券,17,688479
300687.SZ,27,财税数字化;华为盘古;华为欧拉;华为鲲鹏;华为昇腾;ChatGPT概念;多模态AI;ERP概念;信创;AI智能体;AIGC概念;鸿蒙概念;DeepSeek概念;人工智能;智能医疗;华为概念;C2M概念;工业互联网;创投;新型工业化;机器人概念;粤港澳大湾区;AI应用;PCB概念;宁德时代概念;融资融券;深股通,33,300687
688802.SH,9,科创次新股;注册制次新股;先进封装;芯片概念;人工智能;东数西算(算力);信创;新股与次新股;融资融券,17,688802
920493.BJ,21,商业航天;数据中心;量子科技;算力租赁;在线教育;华为概念;阿里巴巴概念;华为昇腾;飞行汽车(eVTOL);智谱AI;华为鲲鹏;比亚迪概念;云计算;融资融券;数字经济;百度概念;长安汽车概念;低空经济;DeepSeek概念;AIGC概念;东数西算(算力),151,920493
300502.SZ,10,共封装光学(CPO);5G;中国AI 50;芯片概念;数据中心;2025年报预增;深股通;人民币贬值受益;西部大开发;融资融券,33,300502
301283.SZ,6,2025年报预增;人民币贬值受益;专精特新;粤港澳大湾区;三胎概念;融资融券,33,301283
301053.SZ,4,新型工业化;专精特新;一带一路;融资融券,33,301053
301002.SZ,9,商业航天;智慧灯杆;人形机器人;智慧城市;机器人概念;体育产业;储能;光伏概念;融资融券,33,301002
605303.SH,8,存储芯片;芯片概念;新型城镇化;PPP概念;旅游概念;雄安新区;共同富裕示范区;乡村振兴,17,605303
600338.SH,13,金属铅;金属锌;小金属概念;金属铜;盐湖提锂;锂电池概念;2025年报预增;西部大开发;一带一路;人民币贬值受益;免税店;沪股通;融资融券,17,600338
301360.SZ,20,富士康概念;专精特新;苹果概念;机器视觉;华为手机;MR(混合现实);消费电子概念;芯片概念;智能穿戴;宁德时代概念;钙钛矿电池;固态电池;AI眼镜;华为概念;无线充电;锂电池概念;人工智能;东数西算(算力);腾讯概念;融资融券,33,301360
603129.SH,9,同花顺出海50;人民币贬值受益;体育产业;工业互联网;车联网(车路协同);共同富裕示范区;两轮车;融资融券;沪股通,17,603129
