所属概念,market_code,股票代码,所属概念数量,code
铜缆高速连接;稀土永磁;芯片概念;苹果概念;液冷服务器;可控核聚变;金属铜;金属回收;特高压;PEEK材料;光伏概念;高压快充;无人机;比亚迪概念;高铁;新能源汽车;东数西算(算力);海工装备;低空经济;核电;机器人概念;2025年报预增;人形机器人;小米汽车;特斯拉概念;人工智能;数字经济;融资融券;沪股通,17,601609.SH,29,601609
互联网金融;AI应用;参股券商;融资融券;深股通,33,300803.SZ,5,300803
国产航母;航空发动机;大飞机;军工;高端装备;央企国企改革;西部大开发;国企改革;沪股通;融资融券,17,600391.SH,10,600391
代糖概念;合成生物;煤化工概念;生物质能发电;锂电池概念;固态电池;光伏概念;深股通;融资融券,33,002597.SZ,9,002597
草甘膦;生态农业;农村电商;农业种植;乡村振兴;土壤修复;互联网金融;数字乡村;数字经济;粤港澳大湾区;深股通;融资融券,33,002215.SZ,12,002215
中芯国际概念;芯片概念;房屋检测;人民币贬值受益;工业互联网;智慧城市;国企改革;央企国企改革;沪股通;股权转让(并购重组),17,600962.SH,10,600962
环氧丙烷;代糖概念;中字头股票;动力电池回收;宁德时代概念;一带一路;国企改革;上海自贸区;央企国企改革;沪股通;融资融券;光纤概念,17,600500.SH,12,600500
长三角一体化;工业互联网;沪股通;融资融券,17,603225.SH,4,603225
PCB概念;共封装光学(CPO);5G;东数西算(算力);华为概念;2025年报预增;智慧城市;融资融券;网络游戏;国企改革;沪股通,17,600601.SH,11,600601
航空发动机;无线充电;大飞机;商业航天;MicroLED概念;稀土永磁;3D打印;可控核聚变;OLED;军工;苹果概念;芯片概念;第三代半导体;飞行汽车(eVTOL);核电;核污染防治;低空经济;华为手机;5G;碳纤维;中芯国际概念;小米概念;比亚迪概念;新能源汽车;海工装备;机器人概念;华为概念;小金属概念;燃料电池;固态电池;氢能源;创投;央企国企改革;一带一路;京津冀一体化;国企改革;深股通;融资融券,33,000969.SZ,38,000969
旅游概念;数字经济;低空经济;国企改革;飞行汽车(eVTOL);无人机;军工;同花顺新质50;华为概念;粤港澳大湾区;卫星导航;风电;融资融券;深股通;中字头股票,33,000099.SZ,15,000099
天然气;西部大开发;物联网,33,001299.SZ,3,001299
人形机器人;民营医院;养老概念;DRG/DIP;机器人概念;物联网;三胎概念;华为鲲鹏;华为概念;WiFi 6;AI应用;国企改革;人工智能;DeepSeek概念;无人机;智能医疗;低空经济;辅助生殖;股权转让(并购重组);融资融券,17,603990.SH,20,603990
智能电网;虚拟电厂;腾讯概念;核电;数据中心(AIDC);高压快充;充电桩;商业航天;5G;工业互联网;军工;储能;数字经济;专精特新;光伏概念;高铁;比亚迪概念;西部大开发;PCB概念,33,002927.SZ,19,002927
专精特新;机器视觉;高端装备;金属回收;锂电池概念;雅下水电概念;黄金概念;一带一路;固废处理;融资融券,33,001360.SZ,10,001360
消毒剂;污水处理;食品安全;一带一路;深股通,33,002637.SZ,5,002637
物业管理;粤港澳大湾区;华为概念,33,002830.SZ,3,002830
动力电池回收;人民币贬值受益;锂电池概念;一体化压铸;宁德时代概念;新能源汽车;融资融券,17,603335.SH,7,603335
天然气;俄乌冲突概念,17,603036.SH,2,603036
旅游概念;冰雪产业;露营经济;IP经济(谷子经济);网络游戏;文化传媒概念;短剧游戏;手机游戏;元宇宙;飞行汽车(eVTOL);低空经济;沪股通,17,600576.SH,12,600576
新型城镇化;地下管网;乡村振兴;PPP概念;水利;一带一路;沪股通,17,603815.SH,7,603815
短剧游戏;AI视频;文化传媒概念;IP经济(谷子经济);AIGC概念;抖音概念(字节概念);腾讯概念;AI应用;阿里巴巴概念;新疆振兴;西部大开发;深股通,33,001330.SZ,12,001330
金属锌;金属铅;小金属概念;黄金概念;金属回收;光纤概念;军工;央企国企改革;西部大开发;国企改革;沪股通;融资融券,17,600497.SH,12,600497
金属锌;金属铜;金属铅;小金属概念;金属钴;金属回收;黄金概念;稀土永磁;人民币贬值受益;一带一路;央企国企改革;国企改革;深股通;融资融券;中字头股票,33,000758.SZ,15,000758
建筑节能;光热发电;锂电池概念;可燃冰;融资融券;深股通,33,002088.SZ,6,002088
IP经济(谷子经济);文化传媒概念;在线教育;短剧游戏;AIGC概念;数据要素;国企改革;人工智能;独角兽概念;多模态AI;虚拟现实;融资融券;沪股通,17,600229.SH,13,600229
金属锌;金属铅;金属铜;黄金概念;小金属概念;金属回收;深股通,33,000751.SZ,7,000751
光纤概念;铜缆高速连接;PET铜箔;超导概念;柔性直流输电;液冷服务器;芯片概念;特高压;可控核聚变;数据中心(AIDC);商业航天;智能电网;东数西算(算力);宁德时代概念;特斯拉概念;固态电池;新能源汽车;华为概念;军工;人形机器人;光伏概念;核电;无人机;雅下水电概念;充电桩;高端装备;海工装备;机器人概念;锂电池概念;储能;军民融合;低空经济;阿里巴巴概念;风电;独角兽概念;人工智能;智慧城市;钠离子电池;DeepSeek概念;西部大开发;参股银行;沪股通;融资融券,17,600869.SH,43,600869
参股银行;污水处理;固废处理;一带一路;智能物流;碳交易;创投;碳中和;数字经济;生物质能发电;工业互联网;储能;无人驾驶;比亚迪概念;小米概念;沪股通;融资融券,17,600567.SH,17,600567
金属铅;金属锌;金属铜;黄金概念;金属镍;金属钴;小金属概念;福建自贸区;海峡两岸;人民币贬值受益;锂电池概念;固废处理;2026一季报预增;绿色电力;沪股通;融资融券;摘帽,17,600711.SH,17,600711
PCB概念;5G;汽车电子;股权转让(并购重组);黄金概念;2026一季报预增;互联网金融;国企改革;深股通,33,002552.SZ,9,002552
专精特新;新能源汽车;汽车热管理;成飞概念;军工;工业母机;融资融券,17,688237.SH,7,688237
燃料电池;专精特新;氢能源;碳中和;碳交易,33,300234.SZ,5,300234
抽水蓄能;生物质能发电;绿色电力;风电;化债概念(AMC概念);国企改革;充电桩;福建自贸区;海峡两岸;沪股通;融资融券,17,600163.SH,11,600163
钠离子电池;华为数字能源;固态电池;储能;充电桩;智能电网;数据中心(AIDC);华为概念;DeepSeek概念;AI应用;新能源汽车;专精特新;智能物流;宁德时代概念;沪股通;融资融券,17,688411.SH,16,688411
共同富裕示范区;智能家居;人民币贬值受益;专精特新;3D打印;融资融券,33,301309.SZ,6,301309
金属铜;石墨烯;新能源汽车;高铁;数据中心(AIDC);氢能源;国企改革;深股通,33,300697.SZ,8,300697
绿色电力;光伏建筑一体化;风电;储能;氢能源;股权转让(并购重组),33,000809.SZ,6,000809
汽车芯片;MCU芯片;共封装光学(CPO);芯片概念;5G;传感器;智能座舱;专精特新;储能;无人机;人形机器人;机器人概念;安防;股权转让(并购重组);沪股通;融资融券,17,688536.SH,16,688536
PCB概念;工业母机;机器视觉;高端装备;机器人概念;2025年报预增;粤港澳大湾区;深股通;融资融券,33,301377.SZ,9,301377
稀土永磁;融资融券;专精特新;风电,151,920505.BJ,4,920505
卫星导航;大飞机;商业航天;军民融合;军工;存储芯片;专精特新;华为概念;西部大开发;融资融券,33,301306.SZ,10,301306
算力租赁;英伟达概念;东数西算(算力);液冷服务器;芯片概念;消费电子概念;云计算;腾讯概念;OLED;军工;华为概念;2025年报预增;小米概念;沪股通,17,603629.SH,14,603629
辅助生殖;创新药;CRO概念;减肥药;三胎概念;西部大开发;中俄贸易概念;2025年报预增;沪股通;融资融券,17,688117.SH,10,688117
创新药;沪股通;融资融券,17,688382.SH,3,688382
绿色电力;信托概念;央企国企改革;风电;雄安新区;国企改革;期货概念;京津冀一体化;乡村振兴;核电;深股通;融资融券,33,000958.SZ,12,000958
铜缆高速连接;消费电子概念;无线充电;AI眼镜;卫星导航;无人机;低空经济;粤港澳大湾区;机器人概念;融资融券,33,301067.SZ,10,301067
OLED;芯片概念;柔性屏(折叠屏);MicroLED概念;碳纤维;钙钛矿电池;商业航天;HJT电池;飞行汽车(eVTOL);大飞机;军工;无人机;光伏概念;低空经济;军民融合;核电;风电;动力电池回收;污水处理;PPP概念;盐湖提锂;超超临界发电;融资融券;深股通,33,300263.SZ,24,300263
可燃冰;页岩气;俄乌冲突概念;天然气;军工;氢能源;海工装备;高端装备;西部大开发;核电;人工智能;股权转让(并购重组),33,300084.SZ,12,300084
医疗器械概念;西部大开发,17,603976.SH,2,603976
CRO概念;细胞免疫治疗;减肥药;创新药;肝炎概念;仿制药一致性评价;智能医疗;宠物经济;人工智能;专精特新;华为盘古;股权转让(并购重组);融资融券;沪股通,17,688621.SH,14,688621
民爆概念;人民币贬值受益;一带一路;融资融券;国企改革,151,920019.BJ,5,920019
三胎概念;IP经济(谷子经济);旅游概念;物联网;机器人概念;专精特新;消费电子概念;融资融券,33,300784.SZ,8,300784
军工;无人机;机器人概念;高端装备;沪股通;融资融券,17,688084.SH,6,688084
垃圾分类;光热发电;固废处理;碳中和;一带一路;碳交易;储能;生物质能发电;绿色电力;HJT电池;钙钛矿电池;融资融券,33,300614.SZ,12,300614
军工信息化;新型工业化;人形机器人;大飞机;工业母机;军民融合;机器视觉;军工;国产操作系统;华为欧拉;机器人概念;无人机;卫星导航;商业航天;高铁;智能物流;物联网;信创;网络安全;工业互联网;AI智能体;车联网(车路协同);智慧城市;人工智能;DeepSeek概念;华为概念;核电;汽车电子;智能电网;5G;雄安新区;2025年报预增;储能;数据中心(AIDC);芯片概念;风电;虚拟电厂;汽车芯片;绿色电力;页岩气;深股通;股权转让(并购重组);融资融券,33,300353.SZ,43,300353
PET铜箔;固态电池;锂电池概念;宁德时代概念;PCB概念;储能;专精特新;比亚迪概念;深股通;融资融券,33,301150.SZ,10,301150
细胞免疫治疗;创新药;眼科医疗;沪股通;融资融券,17,688331.SH,5,688331
页岩气;天然气;海工装备;高端装备;专精特新;人民币贬值受益;沪股通;融资融券,17,688377.SH,8,688377
航运概念;俄乌冲突概念;天然气;上海自贸区;高股息精选;一带一路;海峡两岸;央企国企改革;国企改革;融资融券;沪股通,17,601872.SH,11,601872
锂电池概念;西部大开发;动力电池回收;金属镍;金属铜;金属回收;小金属概念;融资融券,151,920033.BJ,8,920033
车联网(车路协同);百度概念;智能座舱;无人驾驶;独角兽概念;换电概念;新能源汽车;参股银行;西部大开发;两轮车;融资融券;沪股通,17,601777.SH,12,601777
人形机器人;新型工业化;机器人概念;3D打印;无人机;军工;物联网;多模态AI;工业互联网;高端装备;人工智能;智能物流;数字经济;毫米波雷达;华为概念;水利;粤港澳大湾区;人民币贬值受益;英伟达概念;可控核聚变;核电;一带一路;牙科医疗;深股通;融资融券,33,002611.SZ,25,002611
新型工业化;物联网;液冷服务器;智慧城市;机器人概念;智能物流;充电桩;军民融合;区块链;储能;股权转让(并购重组),33,300420.SZ,11,300420
创投;区块链;人工智能;互联网金融;参股保险;虚拟现实;AI智能体;粤港澳大湾区;新能源汽车;物联网;阿里巴巴概念;锂电池概念;算力租赁;东数西算(算力);储能;消费电子概念;苹果概念;高股息精选;深股通;融资融券,33,002416.SZ,20,002416
股权转让(并购重组);稀土永磁;2026一季报预增;2025年报预增;煤炭概念;深股通;融资融券,33,000612.SZ,7,000612
金属锌;金属铅;金属铜;小金属概念;2026一季报预增;深股通;融资融券;西部大开发;国企改革,33,000960.SZ,9,000960
商业航天;先进封装;汽车电子;芯片概念;PCB概念;消费电子概念;华为海思概念股;传感器;军工;专精特新;低空经济;中芯国际概念;高端装备;特斯拉概念;比亚迪概念;华为概念;核电;网络安全;海工装备;宁德时代概念;储能;深股通;融资融券,33,300416.SZ,23,300416
黑龙江自贸区;建筑节能;装配式建筑;碳中和;智能家居;融资融券,33,301227.SZ,6,301227
C2M概念;抖音概念(字节概念);AIGC概念;粤港澳大湾区;跨境电商;网红经济;股权转让(并购重组),17,603608.SH,7,603608
数据中心(AIDC);AI应用;雄安新区;百度概念;光纤概念;信创;互联网保险;华为概念;数字乡村;DeepSeek概念;京津冀一体化;融资融券;智慧政务;乡村振兴;互联网金融;数据要素;移动支付;养老概念;智慧城市;网络安全,151,920171.BJ,20,920171
