股票代码,code,所属概念,所属概念数量,market_code
688308.SH,688308,PCB概念;光伏概念;工业母机;人形机器人;2025年报预增;专精特新;机器人概念;航空发动机;商业航天;融资融券,10,17
300257.SZ,300257,氢能源;碳中和;冷链物流;深股通;融资融券,5,33
300539.SZ,300539,减速器;PEEK材料;华为汽车;比亚迪概念;新能源汽车;机器人概念;智能座舱;小米概念;家用电器;专精特新;无人机;智能家居;华为概念;深股通,14,33
300164.SZ,300164,俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;碳中和;一带一路;人民币贬值受益,8,33
300567.SZ,300567,国家大基金持股;中芯国际概念;存储芯片;先进封装;OLED;富士康概念;芯片概念;MiniLED;柔性屏(折叠屏);苹果概念;AI眼镜;小米概念;比亚迪概念;宁德时代概念;MR(混合现实);机器视觉;锂电池概念;华为概念;虚拟现实;深股通;融资融券,21,33
300737.SZ,300737,光伏建筑一体化;新型城镇化;商业航天;水利;海峡两岸;融资融券;深股通,7,33
688146.SH,688146,中芯国际概念;国家大基金持股;光刻机;芯片概念;氟化工概念;固态电池;锂电池概念;中船系;央企国企改革;国企改革;沪股通;融资融券;中字头股票,13,17
300618.SZ,300618,金属钴;金属铜;小金属概念;金属镍;动力电池回收;锂电池概念;人民币贬值受益;深股通;融资融券,9,33
300617.SZ,300617,特高压;智能电网;虚拟电厂;电力物联网;光伏概念;风电;储能;核电;充电桩;宁德时代概念;数据中心;氟化工概念;腾讯概念;专精特新;深股通,15,33
300720.SZ,300720,机器人概念;物联网;股权转让(并购重组),3,33
688409.SH,688409,光刻机;芯片概念;专精特新;回购增持再贷款概念;DeepSeek概念;沪股通;融资融券,7,17
300774.SZ,300774,金属铅;金属锌;金属铜;盐湖提锂;小金属概念;净水概念;污水处理;DeepSeek概念;PPP概念;专精特新;水利;京津冀一体化;融资融券,13,33
688556.SH,688556,第三代半导体;光伏概念;减速器;人形机器人;机器视觉;机器人概念;多模态AI;沪股通;融资融券,9,17
301377.SZ,301377,PCB概念;2025年报预增;工业母机;机器视觉;粤港澳大湾区;机器人概念;高端装备;深股通;融资融券,9,33
300301.SZ,300301,ST板块;跨境电商;PPP概念;人民币贬值受益;储能,5,33
300814.SZ,300814,共封装光学(CPO);铜缆高速连接;PCB概念;先进封装;MiniLED;5G;华为数字能源;数据中心;汽车电子;毫米波雷达;华为概念;新能源汽车;华为汽车;一带一路;深股通;融资融券,16,33
688818.SH,688818,科创次新股;注册制次新股;国企改革;卫星导航;商业航天;无人机;机器人概念;钠离子电池;央企国企改革;燃料电池;锂电池概念;固态电池;光伏概念;储能;军工;新股与次新股;融资融券,17,17
300666.SZ,300666,中芯国际概念;存储芯片;光刻机;OLED;第三代半导体;芯片概念;光伏概念;碳纤维;共同富裕示范区;海峡两岸;深股通;中韩自贸区;融资融券,13,33
688199.SH,688199,光刻胶;光刻机;PCB概念;芯片概念;固态电池;锂电池概念;钠离子电池;专精特新;3D打印;储能;京津冀一体化;融资融券,12,17
301511.SZ,301511,共封装光学(CPO);PET铜箔;PCB概念;存储芯片;柔性屏(折叠屏);消费电子概念;宁德时代概念;固态电池;5G;华为数字能源;锂电池概念;比亚迪概念;新能源汽车;储能;专精特新;华为概念;无人机;军工;深股通;融资融券,20,33
688549.SH,688549,国家大基金持股;存储芯片;中芯国际概念;先进封装;芯片概念;氟化工概念;沪股通;融资融券,8,17
920090.BJ,920090,DeepSeek概念;数据中心;元宇宙;虚拟现实;互联网金融;融资融券;职业教育;MR(混合现实);数字经济;京津冀一体化,10,151
002021.SZ,002021,智能物流;一带一路;高端装备;机器人概念;物联网;股权转让(并购重组),6,33
600010.SH,600010,稀土永磁;特钢概念;雅下水电概念;回购增持再贷款概念;西部大开发;工业互联网;氟化工概念;数据中心;国企改革;一带一路;风电;证金持股;沪股通;融资融券,14,17
301278.SZ,301278,钙钛矿电池;光伏建筑一体化;光伏概念;储能;充电桩;专精特新;机器人概念;融资融券,8,33
600545.SH,600545,新疆振兴;一带一路;华为概念;DeepSeek概念;AI智能体;西部大开发;机器人概念;新型工业化;人民币贬值受益;融资融券,10,17
000816.SZ,000816,金属铅;金属锌;金属铜;小金属概念;农村电商;盐湖提锂;农机;储能;减速器;乡村振兴;数字乡村;融资融券,12,33
600227.SH,600227,化肥;煤化工概念;煤炭概念;民营医院;阿尔茨海默概念;西部大开发;仿制药一致性评价;创投;医疗器械概念,9,17
002498.SZ,002498,柔性直流输电;特高压;智能电网;风电;核电;充电桩;海工装备;氢能源;一带一路;无人机;5G;数字经济;深股通;融资融券,14,33
000056.SZ,000056,租售同权;物业管理;智能物流;物联网;固态电池;芯片概念;融资融券,7,33
000826.SZ,000826,垃圾分类;碳中和;雄安新区;PPP概念;新型城镇化;医疗废物处理;地下管网;乡村振兴;土壤修复;绿色电力;固废处理;数字经济;污水处理;智慧城市;动力电池回收;人工智能;锂电池概念;车联网(车路协同);新能源汽车;无人驾驶;多模态AI;融资融券,22,33
600337.SH,600337,C2M概念;新疆振兴;数字经济;跨境电商;人工智能;智能物流;华为概念;铜缆高速连接;工业互联网;AI智能体;AIGC概念;智能家居;融资融券;AI应用,14,17
600884.SH,600884,钠离子电池;氟化工概念;固态电池;动力电池回收;石墨电极;石墨烯;锂电池概念;宁德时代概念;光伏概念;超级电容;储能;比亚迪概念;新能源汽车;共同富裕示范区;苹果概念;参股银行;OLED;金属镍;小金属概念;MiniLED;消费电子概念;创投;虚拟现实;沪股通;融资融券,25,17
000593.SZ,000593,青蒿素;信托概念;股权转让(并购重组);碳中和;西部大开发;地下管网;天然气;储能;氢能源;融资融券,10,33
601068.SH,601068,中字头股票;盐湖提锂;稀土永磁;央企国企改革;国企改革;一带一路;PPP概念;高端装备;沪股通;融资融券,10,17
000560.SZ,000560,租售同权;物业管理;西部大开发;京津冀一体化;数字经济;数据要素;AIGC概念;ChatGPT概念;深股通;鸿蒙概念;人工智能;华为概念;融资融券,13,33
002348.SZ,002348,机器人概念;人工智能;在线教育;跨境电商;三胎概念;IP经济(谷子经济);固态电池;钠离子电池;股权转让(并购重组),9,33
000899.SZ,000899,超超临界发电;抽水蓄能;绿色电力;核电;储能;国企改革;融资融券;深股通,8,33
605007.SH,605007,共同富裕示范区;海峡两岸;沪股通,3,17
002949.SZ,002949,新型城镇化;装配式建筑;一带一路;粤港澳大湾区;低空经济;数字经济;人工智能;文化传媒概念;百度概念;短剧游戏,10,33
600230.SH,600230,国企改革;央企国企改革;沪股通;融资融券;京津冀一体化,5,17
002678.SZ,002678,文化传媒概念;旅游概念;IP经济(谷子经济);特色小镇;在线教育;职业教育;三胎概念;数字经济;人工智能;粤港澳大湾区;国企改革;深股通,12,33
601208.SH,601208,PCB概念;PET铜箔;光刻胶;苹果概念;OLED;柔性屏(折叠屏);消费电子概念;芯片概念;2025年报预增;BC电池;新能源汽车;光伏概念;燃料电池;氢能源;特高压;军工;商业航天;西部大开发;沪股通;融资融券,20,17
603057.SH,603057,一带一路;冷链物流;预制菜;沪股通,4,17
000962.SZ,000962,小金属概念;超导概念;超级电容;可控核聚变;核电;航空发动机;商业航天;3D打印;央企国企改革;芯片概念;西部大开发;国企改革;深股通,13,33
600096.SH,600096,磷化工;化肥;氟化工概念;煤化工概念;煤炭概念;锂电池概念;西部大开发;碳中和;国企改革;乡村振兴;融资融券;沪股通,12,17
000547.SZ,000547,军工信息化;商业航天;卫星导航;军民融合;军工;无人机;低空经济;福建自贸区;华为欧拉;MR(混合现实);海工装备;海峡两岸;安防;网络安全;5G;智慧政务;数据安全;华为鲲鹏;信创;多模态AI;芯片概念;华为概念;虚拟现实;元宇宙;数字经济;人工智能;DeepSeek概念;央企国企改革;风电;国企改革;乡村振兴;深股通;融资融券,33,33
001396.SZ,001396,污水处理;注册制次新股;专精特新;地下管网;新型城镇化;智慧城市;人工智能;新股与次新股;融资融券,9,33
600301.SH,600301,金属铅;金属锌;金属铜;小金属概念;西部大开发;DeepSeek概念;国企改革;沪股通,8,17
002428.SZ,002428,小金属概念;商业航天;卫星导航;军工;光纤概念;第三代半导体;氟化工概念;光伏概念;芯片概念;华为概念;西部大开发;深股通;融资融券,13,33
002978.SZ,002978,钛白粉概念;小金属概念;钒电池;锂电池概念;西部大开发;参股银行;股权转让(并购重组);融资融券;深股通,9,33
600206.SH,600206,稀土永磁;2025三季报预增;OLED;芯片概念;国家大基金持股;先进封装;存储芯片;中芯国际概念;5G;军工;华为概念;牙科医疗;2025年报预增;央企国企改革;国企改革;京津冀一体化;医疗器械概念;雄安新区;沪股通;融资融券,20,17
000657.SZ,000657,金属钴;小金属概念;金属铜;金属回收;PCB概念;海南自贸区;光伏概念;工业母机;雅下水电概念;可控核聚变;高端装备;医疗器械概念;国企改革;军工;乡村振兴;深股通;创投;DeepSeek概念;股权转让(并购重组);中字头股票;融资融券,21,33
605178.SH,605178,智慧灯杆;空间计算;数据要素;智慧城市;物联网;网约车;新型城镇化;芯片概念;存储芯片;股权转让(并购重组),10,17
605289.SH,605289,空间计算;智慧灯杆;换电概念;新能源汽车;液冷服务器;东数西算(算力);智慧城市;虚拟现实;人工智能;DeepSeek概念;元宇宙;IP经济(谷子经济);沪股通;股权转让(并购重组),14,17
603826.SH,603826,福建自贸区;钛白粉概念;海峡两岸;专精特新;沪股通;融资融券,6,17
000581.SZ,000581,参股券商;氢能源;国企改革;燃料电池;机器人概念;新能源汽车;汽车热管理;人形机器人;汽车芯片;毫米波雷达;芯片概念;汽车电子;深股通;融资融券,14,33
000636.SZ,000636,超级电容;AI眼镜;高压快充;汽车电子;传感器;共封装光学(CPO);5G;智能穿戴;液冷服务器;无人机;比亚迪概念;低空经济;商业航天;卫星导航;光伏概念;东数西算(算力);机器人概念;华为概念;储能;粤港澳大湾区;创投;小金属概念;锂电池概念;国企改革;深股通;融资融券,26,33
002378.SZ,002378,小金属概念;金属铜;2025年报预增;工业母机;深股通;融资融券;军工,7,33
000661.SZ,000661,生物疫苗;流感;辅助生殖;阿尔茨海默概念;智能医疗;医美概念;创新药;证金持股;AI智能体;国企改革;回购增持再贷款概念;深股通;融资融券,13,33
001203.SZ,001203,固态电池;小金属概念;金属铅;金属锌;锂电池概念;金属回收;储能;回购增持再贷款概念;绿色电力;西部大开发;职业教育;创投;参股银行;乡村振兴;旅游概念;深股通,16,33
002725.SZ,002725,碳纤维;新能源汽车;5G;芯片概念;燃料电池;共同富裕示范区;中俄贸易概念;人民币贬值受益;回购增持再贷款概念;一带一路;股权转让(并购重组),11,33
600111.SH,600111,稀土永磁;小金属概念;金属回收;2025三季报预增;氢能源;回购增持再贷款概念;军工;同花顺漂亮100;西部大开发;国企改革;专精特新;2025年报预增;沪股通;融资融券,14,17
601872.SH,601872,上海自贸区;天然气;央企国企改革;航运概念;俄乌冲突概念;回购增持再贷款概念;一带一路;国企改革;融资融券;海峡两岸;沪股通,11,17
002114.SZ,002114,金属锌;金属铅;金属铜;小金属概念;西部大开发;粮食概念;绿色电力;乡村振兴,8,33
002989.SZ,002989,芯片概念;新型城镇化;粤港澳大湾区;人工智能;国企改革;深股通,6,33
001209.SZ,001209,IP经济(谷子经济);三胎概念;跨境电商;数字经济;粤港澳大湾区,5,33
688072.SH,688072,国家大基金持股;存储芯片;先进封装;芯片概念;沪股通;融资融券,6,17
000012.SZ,000012,光伏建筑一体化;建筑节能;雄安新区;硅能源;一带一路;光伏概念;军工;特斯拉概念;OLED;消费电子概念;汽车电子;深股通;融资融券,13,33
605196.SH,605196,人民币贬值受益;回购增持再贷款概念;中俄贸易概念;一带一路;光伏概念;海工装备;工业互联网;智能电网;沪股通,9,17
600397.SH,600397,煤炭概念;国企改革;沪股通;股权转让(并购重组),4,17
002811.SZ,002811,装配式建筑;IP经济(谷子经济);人工智能;数字经济;AIGC概念;DeepSeek概念;云计算;一带一路,8,33
000758.SZ,000758,金属铅;金属锌;黄金概念;金属铜;金属钴;小金属概念;金属回收;稀土永磁;回购增持再贷款概念;央企国企改革;国企改革;一带一路;人民币贬值受益;深股通;融资融券;中字头股票,16,33
001896.SZ,001896,抽水蓄能;风电;超超临界发电;储能;充电桩;碳中和;绿色电力;工业互联网;东数西算(算力);光伏建筑一体化;华为概念;智能物流;人工智能;创投;煤炭概念;国企改革;深股通;融资融券,18,33
002176.SZ,002176,小金属概念;固态电池;锂电池概念;抽水蓄能;新能源汽车;风电;军工;机器人概念;无人机;人形机器人;大飞机;深股通;融资融券;股权转让(并购重组),14,33
000545.SZ,000545,钛白粉概念;磷化工;锂电池概念;股权转让(并购重组);融资融券,5,33
600078.SH,600078,磷化工;绿色电力,2,17
603601.SH,603601,商业航天;大飞机;核污染防治;核电;PM2.5;西部大开发;建筑节能;芯片概念;特斯拉概念;新能源汽车;宁德时代概念;家用电器;中芯国际概念;融资融券,14,17
000036.SZ,000036,盐湖提锂;锂电池概念;碳中和;物业管理;深股通;融资融券,6,33
600649.SH,600649,租售同权;物业管理;参股券商;新型城镇化;参股银行;上海国企改革;国企改革;沪股通;融资融券;宁德时代概念,10,17
600110.SH,600110,固态电池;PET铜箔;锂电池概念;宁德时代概念;PCB概念;比亚迪概念;储能;特斯拉概念;新能源汽车;粤港澳大湾区;无人机;核电;军工;绿色电力;融资融券;股权转让(并购重组);沪股通,17,17
600470.SH,600470,磷化工;化肥;煤化工概念;锂电池概念;污水处理;乡村振兴;融资融券,7,17
000890.SZ,000890,独角兽概念;光纤概念;净水概念;污水处理,4,33
002998.SZ,002998,,0,33
000751.SZ,000751,金属锌;黄金概念;金属铜;小金属概念;金属回收;深股通;金属铅,7,33
600759.SH,600759,俄乌冲突概念;海南自贸区;土地流转;天然气;一带一路;融资融券;人民币贬值受益;沪股通,8,17
002538.SZ,002538,磷化工;化肥;金属铅;金属锌;金属铜;黄金概念;生态农业;农村电商;乡村振兴;民营医院;工业互联网;融资融券;深股通,13,33
603077.SH,603077,金属锌;金属铅;草甘膦;金属铜;磷化工;黄金概念;化肥;稀土永磁;硅能源;天然气;锂电池概念;TOPCON电池;回购增持再贷款概念;光伏概念;绿色电力;一带一路;建筑节能;西部大开发;参股银行;沪股通;融资融券,21,17
600569.SH,600569,特钢概念;国企改革;回购增持再贷款概念;股权转让(并购重组);沪股通;融资融券,6,17
000839.SZ,000839,文化传媒概念;虚拟数字人;AI语料;智慧政务;网络安全;数据要素;互联网金融;AI智能体;DeepSeek概念;人工智能;创投;物业管理;国企改革;AI应用;深股通,15,33
002470.SZ,002470,水泥概念;磷化工;化肥;生态农业;农村电商;土壤修复;国企改革;乡村振兴;锂电池概念;深股通,10,33
600259.SH,600259,稀土永磁;金属铜;小金属概念;海南自贸区;央企国企改革;粤港澳大湾区;国企改革;融资融券;中字头股票;沪股通,10,17
688350.SH,688350,污水处理;专精特新;氢能源;盐湖提锂;融资融券,5,17
688779.SH,688779,钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;高压快充;储能;国企改革;央企国企改革;飞行汽车(eVTOL);无人机;低空经济;融资融券;沪股通,14,17
688170.SH,688170,BC电池;PET铜箔;钙钛矿电池;第三代半导体;MicroLED概念;OLED;先进封装;存储芯片;柔性屏(折叠屏);芯片概念;PCB概念;华为海思概念股;光伏概念;光纤概念;3D打印;固态电池;宁德时代概念;共封装光学(CPO);专精特新;锂电池概念;高端装备;商业航天;碳纤维;华为概念;融资融券,25,17
300066.SZ,300066,稀土永磁;DeepSeek概念;数字经济;互联网金融;华为概念;智慧城市;工业互联网;物联网;净水概念;储能;污水处理;新型工业化;2025年报预增;深股通;融资融券,15,33
300476.SZ,300476,共封装光学(CPO);AI PC;PCB概念;富士康概念;英伟达概念;AI手机;5G;2025年报预增;汽车电子;数据中心;芯片概念;海峡两岸;小米概念;东数西算(算力);虚拟现实;新能源汽车;特斯拉概念;储能;人形机器人;深股通;粤港澳大湾区;物联网;智能电网;光伏概念;人民币贬值受益;机器人概念;同花顺出海50;乡村振兴;融资融券,29,33
688679.SH,688679,净水概念;土壤修复;碳中和;固废处理;污水处理;绿色电力;液冷服务器;融资融券,8,17
002271.SZ,002271,房屋检测;同花顺中特估100;高股息精选;装配式建筑;建筑节能;地下管网;光伏建筑一体化;冰雪产业;新型城镇化;雄安新区;同花顺漂亮100;海工装备;乡村振兴;绿色电力;回购增持再贷款概念;一带一路;水利;核电;石墨烯;高铁;光伏概念;数字经济;抽水蓄能;储能;充电桩;数据中心;深股通;融资融券,28,33
301580.SZ,301580,专精特新;3D打印;牙科医疗;阿里巴巴概念;智能医疗;医疗器械概念;人民币贬值受益;深股通;融资融券,9,33
300196.SZ,300196,PCB概念;光伏概念;深股通,3,33
603002.SH,603002,PCB概念;先进封装;芯片概念;比亚迪概念;5G;英伟达概念;海峡两岸;3D打印;沪股通,9,17
000960.SZ,000960,金属铅;金属锌;金属铜;小金属概念;西部大开发;国企改革;深股通;融资融券,8,33
300255.SZ,300255,减肥药;创新药;雄安新区;医美概念;深股通;融资融券,6,33
600497.SH,600497,金属铅;金属锌;黄金概念;小金属概念;金属回收;央企国企改革;西部大开发;国企改革;军工;光纤概念;沪股通;融资融券,12,17
301217.SZ,301217,PET铜箔;PCB概念;5G;宁德时代概念;固态电池;比亚迪概念;锂电池概念;储能;国企改革;深股通;融资融券,11,33
301265.SZ,301265,稀土永磁;金属回收;金属钴;金属镍;汽车拆解概念;金属铜;黄金概念;小金属概念;存储芯片;芯片概念;固废处理;百度概念;融资融券,13,33
688325.SH,688325,芯片概念;专精特新;回购增持再贷款概念;锂电池概念;沪股通;融资融券,6,17
600984.SH,600984,西部大开发;一带一路;国企改革,3,17
000831.SZ,000831,稀土永磁;小金属概念;央企国企改革;国企改革;同花顺中特估100;深股通;中字头股票;融资融券,8,33
301662.SZ,301662,钠离子电池;固态电池;宁德时代概念;动力电池回收;锂电池概念;注册制次新股;比亚迪概念;粤港澳大湾区;深股通;新股与次新股;融资融券,11,33
688048.SH,688048,共封装光学(CPO);光纤概念;第三代半导体;可控核聚变;汽车芯片;芯片概念;数据中心;商业航天;华为概念;专精特新;无人驾驶;医美概念;沪股通;融资融券,14,17
600392.SH,600392,稀土永磁;小金属概念;2025三季报预增;苹果概念;西部大开发;国企改革;参股保险;2025年报预增;沪股通;融资融券,10,17
300123.SZ,300123,太赫兹;军工信息化;军民融合;商业航天;卫星导航;军工;6G概念;量子科技;海工装备;高端装备;5G;横琴新区;芯片概念;第三代半导体;深股通;融资融券,16,33
920809.BJ,920809,锂电池概念;专精特新;磷化工;宁德时代概念;储能;融资融券;西部大开发;比亚迪概念,8,151
603285.SH,603285,锂电池概念;融资融券,2,17
301219.SZ,301219,金属钴;金属镍;金属铜;小金属概念;金属回收;动力电池回收;固态电池;锂电池概念;宁德时代概念;一带一路;2025年报预增;专精特新;人民币贬值受益;深股通;融资融券,15,33
600026.SH,600026,俄乌冲突概念;天然气;央企国企改革;航运概念;同花顺中特估100;上海自贸区;回购增持再贷款概念;一带一路;国企改革;人民币贬值受益;证金持股;沪股通;融资融券;中字头股票,14,17
688359.SH,688359,PET铜箔;PCB概念;TOPCON电池;HJT电池;光伏概念;沪股通;融资融券,7,17
688336.SH,688336,重组蛋白;创新药;阿尔茨海默概念;2025年报预增;沪股通;融资融券,6,17
688257.SH,688257,工业母机;PCB概念;专精特新;融资融券,4,17
301002.SZ,301002,商业航天;智慧灯杆;智慧城市;机器人概念;体育产业;人形机器人;储能;光伏概念;融资融券,9,33
603738.SH,603738,无人机;5G;WiFi 6;军工;华为概念;数据中心;华为海思概念股;人形机器人;卫星导航;机器人概念;汽车电子;芯片概念;共封装光学(CPO);无人驾驶;智能穿戴;专精特新;比亚迪概念;消费电子概念;智能座舱;创投;光刻机;AI眼镜;汽车芯片;MCU芯片;宁德时代概念;融资融券;沪股通,27,17
600231.SH,600231,特钢概念;天然气;国企改革;央企国企改革;回购增持再贷款概念;沪股通;股权转让(并购重组);融资融券,8,17
002312.SZ,002312,磷化工;化肥;小金属概念;锂电池概念;农村电商;西部大开发;国企改革;乡村振兴;数字乡村;融资融券;深股通,11,33
300920.SZ,300920,人形机器人;机器人概念;新能源汽车;三胎概念;融资融券,5,33
002008.SZ,002008,富士康概念;先进封装;PCB概念;存储芯片;光刻机;第三代半导体;苹果概念;MicroLED概念;MiniLED;光纤概念;OLED;芯片概念;消费电子概念;AI眼镜;MR(混合现实);工业母机;小米概念;比亚迪概念;特斯拉概念;宁德时代概念;3D打印;新能源汽车;TOPCON电池;高端装备;光伏概念;钙钛矿电池;机器视觉;固态电池;新型工业化;储能;HJT电池;锂电池概念;机器人概念;华为概念;商业航天;减速器;物联网;粤港澳大湾区;深股通;融资融券,40,33
002240.SZ,002240,盐湖提锂;小金属概念;固态电池;锂电池概念;宁德时代概念;比亚迪概念;回购增持再贷款概念;西部大开发;深股通;融资融券,10,33
603616.SH,603616,地下管网;PPP概念;雄安新区;土壤修复;水利;一带一路;PEEK材料;股权转让(并购重组),8,17
688175.SH,688175,6G概念;军工;军工信息化;物联网;5G;网络安全;数据要素;人工智能;股权转让(并购重组);融资融券,10,17
300748.SZ,300748,稀土永磁;2025三季报预增;风电;回购增持再贷款概念;低空经济;特斯拉概念;人形机器人;比亚迪概念;机器人概念;新能源汽车;绿色电力;2025年报预增;融资融券;深股通,14,33
002361.SZ,002361,卫星导航;商业航天;军民融合;航空发动机;军工;低空经济;无人机;高铁;3D打印;高端装备;国企改革;污水处理;石墨烯;深股通;股权转让(并购重组);融资融券,16,33
688059.SH,688059,2025年报预增;工业母机;专精特新;机器人概念;沪股通;融资融券,6,17
301567.SZ,301567,智能穿戴;AI眼镜;机器人概念;消费电子概念;小米概念;安防;汽车电子;虚拟现实;无人机;专精特新;融资融券,11,33
603399.SH,603399,小金属概念;锂电池概念;股权转让(并购重组);专精特新;沪股通;融资融券,6,17
301150.SZ,301150,固态电池;PET铜箔;宁德时代概念;锂电池概念;PCB概念;比亚迪概念;专精特新;深股通;融资融券,9,33
300706.SZ,300706,钙钛矿电池;HJT电池;PET铜箔;小金属概念;钒电池;存储芯片;福建自贸区;超导概念;第三代半导体;OLED;光伏概念;海峡两岸;芯片概念;消费电子概念;专精特新;深股通,16,33
600549.SH,600549,金属钴;小金属概念;稀土永磁;动力电池回收;固态电池;宁德时代概念;锂电池概念;光伏概念;可控核聚变;机器人概念;军工;无人机;商业航天;国企改革;福建自贸区;海峡两岸;沪股通;融资融券,18,17
688627.SH,688627,存储芯片;OLED;MicroLED概念;芯片概念;专精特新;机器人概念;粤港澳大湾区;东数西算(算力);沪股通;融资融券,10,17
000629.SZ,000629,钛白粉概念;小金属概念;钒电池;西部大开发;回购增持再贷款概念;国企改革;储能;深股通;融资融券,9,33
002463.SZ,002463,PCB概念;5G;汽车电子;数据中心;芯片概念;毫米波雷达;华为概念;无人驾驶;人民币贬值受益;海峡两岸;深股通;同花顺出海50;污水处理;融资融券,14,33
688066.SH,688066,军工信息化;卫星导航;商业航天;时空大数据;华为昇腾;空间计算;军工;无人机;低空经济;云计算;数据要素;AI智能体;数字孪生;智慧城市;人工智能;MR(混合现实);DeepSeek概念;华为概念;钙钛矿电池;水利;碳中和;雄安新区;AI应用;沪股通;融资融券,25,17
688613.SH,688613,医疗器械概念;融资融券,2,17
300102.SZ,300102,商业航天;卫星导航;军工;MicroLED概念;福建自贸区;海峡两岸;人脸识别;MiniLED;第三代半导体;光伏概念;共封装光学(CPO);芯片概念;消费电子概念;汽车电子;智能家居;家用电器;深股通,17,33
688648.SH,688648,无人驾驶;智能物流;统一大市场;机器视觉;机器人概念;拼多多概念;专精特新;国企改革;人工智能;无人机;华为概念;阿里巴巴概念;抖音概念(字节概念);沪股通;中字头股票;融资融券,16,17
002484.SZ,002484,超级电容;5G;可控核聚变;人形机器人;新能源汽车;储能;东数西算(算力);华为概念;机器人概念;军工;国企改革;深股通;融资融券,13,33
002733.SZ,002733,钠离子电池;固态电池;锂电池概念;石墨烯;燃料电池;储能;动力电池回收;氢能源;新能源汽车;专精特新;一带一路;军工;数据中心;粤港澳大湾区;无人机;人民币贬值受益;5G;东数西算(算力);阿里巴巴概念;百度概念;深股通;融资融券,22,33
603055.SH,603055,长三角一体化;一带一路;沪股通;融资融券,4,17
603256.SH,603256,PCB概念;华为手机;苹果概念;5G;消费电子概念;芯片概念;2025年报预增;海峡两岸;专精特新;华为概念;沪股通,11,17
002759.SZ,002759,钠离子电池;氟化工概念;磷化工;固态电池;宁德时代概念;锂电池概念;比亚迪概念;家用电器;深股通;融资融券,10,33
300596.SZ,300596,OLED;先进封装;光伏概念;合成生物;新能源汽车;柔性屏(折叠屏);消费电子概念;基因测序;AI眼镜;乡村振兴;智能穿戴;京津冀一体化;融资融券;深股通,14,33
688300.SH,688300,存储芯片;先进封装;芯片概念;专精特新;沪股通;融资融券,6,17
301005.SZ,301005,商业航天;航空发动机;卫星导航;大飞机;军工;无人机;低空经济;飞行汽车(eVTOL);PEEK材料;换电概念;机器人概念;人形机器人;专精特新;华为汽车;小米汽车;创投;汽车热管理;特斯拉概念;氢能源;智能物流;比亚迪概念;小米概念;新能源汽车;家用电器;深股通;融资融券,26,33
000060.SZ,000060,金属锌;金属铅;金属铜;黄金概念;金属钴;小金属概念;金属镍;金属回收;期货概念;国企改革;DeepSeek概念;深股通;融资融券,13,33
300191.SZ,300191,可燃冰;俄乌冲突概念;天然气;新疆振兴;深股通;融资融券;海工装备,7,33
002519.SZ,002519,军工信息化;商业航天;军民融合;军工;安防;人工智能;无人驾驶;创投;核电;机器人概念;专精特新;新型工业化;智能家居;长安汽车概念;充电桩;比亚迪概念;智能电网;储能;新能源汽车;锂电池概念;宁德时代概念;深股通;融资融券,23,33
600684.SH,600684,冰雪产业;体育产业;物业管理;养老概念;家庭医生;三胎概念;智慧城市;国企改革;土壤修复;粤港澳大湾区;融资融券;AI应用;2025年报预增,13,17
