股票代码,所属概念数量,code,所属概念,market_code
000767.SZ,9,000767,绿色电力;超超临界发电;碳交易;风电;碳中和;国企改革;2025年报预增;深股通;融资融券,33
003041.SZ,5,003041,2025年报预增;共同富裕示范区;人民币贬值受益;一带一路;股权转让(并购重组),33
002054.SZ,8,002054,专精特新;创投;2025年报预增;有机硅概念;参股银行;合成生物;参股券商;融资融券,33
002099.SZ,9,002099,仿制药一致性评价;肝炎概念;创新药;染料;减肥药;人民币贬值受益;生物疫苗;深股通;融资融券,33
603959.SH,9,603959,锂电池概念;燃料电池;氢能源;宁德时代概念;固态电池;新能源汽车;机器人概念;煤化工概念;摘帽,17
002072.SZ,1,002072,煤炭概念,33
600987.SH,7,600987,黄金概念;染料;回购增持再贷款概念;污水处理;共同富裕示范区;沪股通;融资融券,17
603616.SH,7,603616,地下管网;PPP概念;土壤修复;雄安新区;水利;一带一路;PEEK材料,17
301292.SZ,8,301292,钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券,33
600063.SH,8,600063,水泥概念;光伏概念;2025三季报预增;国企改革;专精特新;参股券商;融资融券;沪股通,17
002155.SZ,10,002155,金属锌;黄金概念;金属铅;小金属概念;2025年报预增;乡村振兴;国企改革;深股通;股权转让(并购重组);融资融券,33
688277.SH,6,688277,智能医疗;医疗器械概念;专精特新;机器人概念;沪股通;融资融券,17
300164.SZ,8,300164,俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;碳中和;一带一路;人民币贬值受益,33
688312.SH,11,688312,苹果概念;PCB概念;消费电子概念;芯片概念;5G;专精特新;传感器;机器视觉;粤港澳大湾区;人工智能;融资融券,17
301387.SZ,10,301387,苹果概念;消费电子概念;智能穿戴;碳纤维;机器人概念;粤港澳大湾区;一带一路;数字经济;可降解塑料;融资融券,33
002378.SZ,7,002378,金属铜;小金属概念;2025年报预增;工业母机;深股通;融资融券;军工,33
000415.SZ,9,000415,新疆振兴;参股保险;雄安新区;西部大开发;人民币贬值受益;低空经济;飞行汽车(eVTOL);深股通;融资融券,33
300666.SZ,12,300666,中芯国际概念;存储芯片;光刻机;OLED;芯片概念;第三代半导体;光伏概念;碳纤维;共同富裕示范区;深股通;海峡两岸;融资融券,33
920088.BJ,6,920088,空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,151
688726.SH,10,688726,BC电池;钙钛矿电池;TOPCON电池;光伏概念;第三代半导体;芯片概念;专精特新;比亚迪概念;沪股通;融资融券,17
603730.SH,8,603730,新能源汽车;特斯拉概念;长安汽车概念;比亚迪概念;人民币贬值受益;上海自贸区;沪股通;融资融券,17
603958.SH,7,603958,DeepSeek概念;海峡两岸;华为概念;机器人概念;消费电子概念;3D打印;股权转让(并购重组),17
920471.BJ,7,920471,基因测序;NMN概念;环氧丙烷;融资融券;合成生物;京津冀一体化;可降解塑料,151
301004.SZ,7,301004,三胎概念;C2M概念;跨境电商;人民币贬值受益;回购增持再贷款概念;深股通;融资融券,33
301040.SZ,10,301040,卫星导航;商业航天;军工;专精特新;高端装备;核电;人民币贬值受益;风电;绿色电力;融资融券,33
300812.SZ,15,300812,MicroLED概念;MiniLED;共封装光学(CPO);柔性屏(折叠屏);MR(混合现实);先进封装;消费电子概念;第三代半导体;OLED;芯片概念;华为概念;商业航天;专精特新;工业母机;医疗器械概念,33
688516.SH,13,688516,BC电池;钙钛矿电池;TOPCON电池;光伏概念;高端装备;芯片概念;共封装光学(CPO);固态电池;机器视觉;储能;锂电池概念;沪股通;融资融券,17
002916.SZ,18,002916,PCB概念;富士康概念;存储芯片;国家大基金持股;先进封装;苹果概念;汽车电子;5G;2025年报预增;芯片概念;数据中心;新能源汽车;华为概念;粤港澳大湾区;深股通;央企国企改革;国企改革;融资融券,33
601869.SH,22,601869,光纤概念;铜缆高速连接;共封装光学(CPO);特高压;第三代半导体;智能电网;风电;芯片概念;5G;新能源汽车;海工装备;专精特新;沪股通;人形机器人;一带一路;量子科技;太赫兹;机器人概念;工业互联网;创投;抖音概念(字节概念);融资融券,17
603232.SH,32,603232,量子科技;军工信息化;电子身份证;网络安全;华为鲲鹏;数字货币;移动支付;数据安全;云办公;智慧政务;Web3.0;信创;AI智能体;云计算;鸿蒙概念;车联网(车路协同);区块链;军工;智慧城市;阿里巴巴概念;无人机;百度概念;低空经济;汽车芯片;华为概念;MCU芯片;DeepSeek概念;人工智能;芯片概念;专精特新;一带一路;新疆振兴,17
002342.SZ,15,002342,商业航天;海工装备;军工;京津冀一体化;水利;核电;雄安新区;高端装备;一带一路;光伏概念;风电;抽水蓄能;白酒概念;深股通;融资融券,33
301550.SZ,11,301550,减速器;人形机器人;新能源汽车;机器人概念;专精特新;人民币贬值受益;农机;工业互联网;数字经济;深股通;融资融券,33
603755.SH,2,603755,人工智能;预制菜,17
001209.SZ,5,001209,IP经济(谷子经济);数字经济;跨境电商;三胎概念;粤港澳大湾区,33
601231.SH,19,601231,共封装光学(CPO);同花顺果指数;苹果概念;汽车电子;WiFi 6;消费电子概念;芯片概念;无线耳机;AI眼镜;5G;智能座舱;智能穿戴;新能源汽车;物联网;一带一路;沪股通;融资融券;医疗器械概念;元宇宙,17
301036.SZ,4,301036,光刻胶;绿色电力;染料;融资融券,33
000973.SZ,14,000973,固态电池;锂电池概念;宁德时代概念;比亚迪概念;航运概念;特高压;OLED;国企改革;粤港澳大湾区;AI眼镜;证金持股;融资融券;深股通;股权转让(并购重组),33
002082.SZ,11,002082,阿尔茨海默概念;医疗器械概念;共同富裕示范区;肝炎概念;创新药;流感;仿制药一致性评价;医药电商;生物疫苗;一带一路;深股通,33
688651.SH,18,688651,商业航天;卫星导航;量子科技;低空经济;网络安全;专精特新;国产操作系统;数据安全;华为概念;空间计算;信创;数字货币;智慧城市;云计算;数据要素;人工智能;DeepSeek概念;融资融券,17
920368.BJ,8,920368,一带一路;融资融券;光伏概念;BC电池;第三代半导体;TOPCON电池;硅能源;HJT电池,151
920266.BJ,4,920266,西部大开发;医药电商;融资融券;农业种植,151
688202.SH,10,688202,CRO概念;减肥药;智能医疗;AI应用;创新药;人工智能;合成生物;回购增持再贷款概念;沪股通;融资融券,17
300843.SZ,19,300843,铜缆高速连接;富士康概念;液冷服务器;消费电子概念;新型烟草(电子烟);人形机器人;智能座舱;比亚迪概念;小米概念;数据中心;新能源汽车;无人机;飞行汽车(eVTOL);机器人概念;高压快充;储能;低空经济;充电桩;深股通,33
301331.SZ,7,301331,流感;医药电商;创新药;西部大开发;2025年报预增;回购增持再贷款概念;融资融券,33
301018.SZ,23,301018,液冷服务器;高压快充;数据中心;5G;可控核聚变;2025年报预增;储能;新能源汽车;华为概念;锂电池概念;腾讯概念;抖音概念(字节概念);成飞概念;阿里巴巴概念;空气能热泵;核电;军工;百度概念;抽水蓄能;DeepSeek概念;碳中和;深股通;融资融券,33
002259.SZ,4,002259,天然气;2025年报预增;西部大开发;摘帽,33
300044.SZ,25,300044,时空大数据;数据要素;人脸识别;抖音概念(字节概念);手机游戏;网络游戏;人工智能;智慧城市;车联网(车路协同);军民融合;安防;机器视觉;军工;低空经济;无人机;5G;养老概念;无人驾驶;数据中心;粤港澳大湾区;机器人概念;新型工业化;PPP概念;乡村振兴;ST板块,33
603381.SH,11,603381,光伏建筑一体化;光伏概念;储能;比亚迪概念;专精特新;机器人概念;人形机器人;液冷服务器;金属回收;沪股通;融资融券,17
600331.SH,10,600331,磷化工;化肥;金属锌;小金属概念;金属铜;西部大开发;国企改革;信托概念;融资融券;沪股通,17
001203.SZ,16,001203,固态电池;金属铅;金属锌;小金属概念;锂电池概念;金属回收;储能;回购增持再贷款概念;旅游概念;职业教育;绿色电力;西部大开发;参股银行;创投;乡村振兴;深股通,33
002240.SZ,10,002240,盐湖提锂;固态电池;小金属概念;锂电池概念;宁德时代概念;比亚迪概念;回购增持再贷款概念;西部大开发;深股通;融资融券,33
688367.SH,6,688367,无人驾驶;专精特新;华为概念;工业互联网;DeepSeek概念;融资融券,17
300338.SZ,10,300338,ST板块;虚拟电厂;职业教育;在线教育;储能;虚拟数字人;百度概念;元宇宙;ChatGPT概念;钠离子电池,33
001896.SZ,17,001896,抽水蓄能;光伏建筑一体化;绿色电力;超超临界发电;碳中和;风电;创投;国企改革;人工智能;充电桩;智能物流;储能;工业互联网;华为概念;煤炭概念;深股通;融资融券,33
300572.SZ,14,300572,军工;PM2.5;人工智能;机器人概念;换电概念;粤港澳大湾区;创投;一体化压铸;充电桩;新能源汽车;比亚迪概念;新疆振兴;深股通;股权转让(并购重组),33
603016.SH,2,603016,特高压;国企改革,17
301322.SZ,6,301322,新能源汽车;芯片概念;人民币贬值受益;中芯国际概念;动力电池回收;融资融券,33
688529.SH,20,688529,新型工业化;长安汽车概念;比亚迪概念;新能源汽车;机器视觉;小米汽车;机器人概念;小米概念;高端装备;燃料电池;智能物流;华为概念;特斯拉概念;人形机器人;氢能源;固态电池;人工智能;锂电池概念;DeepSeek概念;融资融券,17
688293.SH,6,688293,CRO概念;重组蛋白;2025年报预增;沪股通;股权转让(并购重组);融资融券,17
920627.BJ,9,920627,人形机器人;人民币贬值受益;锂电池概念;融资融券;新型烟草(电子烟);储能;固态电池;两轮车;消费电子概念,151
603629.SH,14,603629,算力租赁;腾讯概念;液冷服务器;英伟达概念;东数西算(算力);华为概念;小米概念;消费电子概念;云计算;芯片概念;2025年报预增;OLED;军工;沪股通,17
301150.SZ,9,301150,PET铜箔;固态电池;宁德时代概念;锂电池概念;PCB概念;比亚迪概念;专精特新;深股通;融资融券,33
688386.SH,16,688386,商业航天;可控核聚变;军工;低空经济;消费电子概念;小米汽车;智能穿戴;新能源汽车;专精特新;宁德时代概念;机器人概念;燃料电池;物联网;氢能源;沪股通;融资融券,17
301285.SZ,10,301285,芯片概念;光伏概念;新能源汽车;3D打印;消费电子概念;小米概念;智能穿戴;华为概念;深股通;融资融券,33
603578.SH,3,603578,共同富裕示范区;光伏概念;专精特新,17
300191.SZ,7,300191,可燃冰;俄乌冲突概念;天然气;新疆振兴;深股通;融资融券;海工装备,33
002001.SZ,9,002001,氟化工概念;回购增持再贷款概念;合成生物;维生素;青蒿素;人民币贬值受益;商业航天;深股通;融资融券,33
600352.SH,5,600352,染料;沪股通;融资融券;创投;人工智能,17
002709.SZ,15,002709,氟化工概念;钠离子电池;有机硅概念;固态电池;动力电池回收;锂电池概念;宁德时代概念;2025年报预增;比亚迪概念;PEEK材料;特斯拉概念;同花顺漂亮100;回购增持再贷款概念;深股通;融资融券,33
920284.BJ,7,920284,锂电池概念;人造肉;专精特新;宁德时代概念;融资融券;固态电池;新型工业化,151
301501.SZ,7,301501,注册制次新股;可降解塑料;一带一路;专精特新;深股通;新股与次新股;融资融券,33
920971.BJ,8,920971,存储芯片;先进封装;商业航天;芯片概念;专精特新;融资融券;光伏概念;锂电池概念,151
603916.SH,11,603916,房屋检测;AI应用;建筑节能;水利;雅下水电概念;水泥概念;核电;抽水蓄能;风电;可控核聚变;融资融券,17
002407.SZ,22,002407,氟化工概念;钠离子电池;PVDF概念;固态电池;动力电池回收;硅能源;锂电池概念;储能;比亚迪概念;特斯拉概念;新能源汽车;回购增持再贷款概念;创投;中芯国际概念;工业互联网;数字孪生;第三代半导体;存储芯片;芯片概念;独角兽概念;融资融券;深股通,33
301413.SZ,14,301413,人形机器人;传感器;汽车芯片;比亚迪概念;机器人概念;新能源汽车;无人驾驶;专精特新;华为概念;储能;粤港澳大湾区;创投;深股通;融资融券,33
600152.SH,13,600152,钠离子电池;固态电池;锂电池概念;换电概念;新型烟草(电子烟);两轮车;储能;共同富裕示范区;无人机;华为概念;消费电子概念;机器人概念;华为汽车,17
300217.SZ,22,300217,光热发电;光伏概念;储能;核电;大飞机;海工装备;军工;新能源汽车;华为汽车;比亚迪概念;汽车热管理;家用电器;机器人概念;专精特新;传感器;固态电池;小米概念;锂电池概念;5G;芯片概念;深股通;融资融券,33
688017.SH,10,688017,减速器;人形机器人;同花顺新质50;新型工业化;机器人概念;中国AI 50;专精特新;2025年报预增;沪股通;融资融券,17
300401.SZ,6,300401,专精特新;合成生物;维生素;仿制药一致性评价;融资融券;深股通,33
002937.SZ,17,002937,液冷服务器;5G;PEEK材料;汽车电子;消费电子概念;毫米波雷达;无人驾驶;新能源汽车;虚拟现实;特斯拉概念;工业互联网;宁德时代概念;智能家居;人民币贬值受益;一带一路;深股通;融资融券,33
600236.SH,7,600236,央企国企改革;国企改革;风电;西部大开发;绿色电力;沪股通;融资融券,17
603391.SH,3,603391,专精特新;工业互联网;融资融券,17
301000.SZ,9,301000,人形机器人;汽车热管理;机器人概念;新能源汽车;家用电器;燃料电池;储能;深股通;融资融券,33
002272.SZ,25,002272,液冷服务器;数据中心;机器人概念;高端装备;华为概念;传感器;储能;军工;工业互联网;低空经济;光热发电;核电;智能电网;特高压;风电;水利;数字经济;氢能源;抽水蓄能;碳中和;垃圾分类;超超临界发电;西部大开发;深股通;融资融券,33
300011.SZ,13,300011,高铁;储能;高压快充;低空经济;高端装备;汽车热管理;空气能热泵;机器人概念;一带一路;动力电池回收;语音技术;人工智能;国企改革,33
605060.SH,7,605060,风电;高端装备;农机;数据中心;液冷服务器;专精特新;沪股通,17
688353.SH,9,688353,有机硅概念;钠离子电池;固态电池;锂电池概念;宁德时代概念;比亚迪概念;专精特新;沪股通;融资融券,17
002441.SZ,13,002441,风电;智能电网;充电桩;核电;新能源汽车;机器人概念;宁德时代概念;职业教育;物联网;数字经济;数据中心;深股通;融资融券,33
301228.SZ,3,301228,食品安全;土壤修复;融资融券,33
000688.SZ,12,000688,金属铅;钛白粉概念;金属锌;金属铜;小金属概念;黄金概念;锂电池概念;2025年报预增;西部大开发;深股通;股权转让(并购重组);融资融券,33
600487.SH,31,600487,光纤概念;共封装光学(CPO);F5G概念;特高压;液冷服务器;柔性直流输电;芯片概念;智能电网;风电;5G;数据中心;新能源汽车;小米汽车;长三角一体化;量子科技;人形机器人;一带一路;海工装备;无人驾驶;机器人概念;6G概念;华为概念;太赫兹;创投;水利;军工;网络安全;沪股通;融资融券;智慧城市;DeepSeek概念,17
688143.SH,10,688143,光纤概念;共封装光学(CPO);军工;汽车热管理;芯片概念;海工装备;专精特新;DeepSeek概念;沪股通;融资融券,17
300814.SZ,16,300814,共封装光学(CPO);铜缆高速连接;PCB概念;华为数字能源;先进封装;5G;MiniLED;数据中心;汽车电子;毫米波雷达;华为概念;新能源汽车;华为汽车;一带一路;深股通;融资融券,33
000007.SZ,2,000007,物业管理;粤港澳大湾区,33
301111.SZ,8,301111,流感;幽门螺杆菌概念;医药电商;创新药;眼科医疗;三胎概念;养老概念;融资融券,33
300798.SZ,4,300798,染料;算力租赁;东数西算(算力);AI智能体,33
603687.SH,13,603687,数字水印;数字孪生;烟草;工业互联网;DeepSeek概念;人工智能;物联网;共同富裕示范区;AIGC概念;ChatGPT概念;光伏概念;锂电池概念;钙钛矿电池,17
600498.SH,36,600498,6G概念;华为昇腾;AI智能体;云计算;卫星导航;华为鲲鹏;数据安全;商业航天;智慧政务;网络安全;数据要素;东数西算(算力);国资云;智能医疗;WiFi 6;数字乡村;DeepSeek概念;人工智能;光纤概念;F5G概念;智慧城市;5G;数据中心;海工装备;创投;共封装光学(CPO);芯片概念;液冷服务器;特高压;MCU芯片;一带一路;汽车芯片;央企国企改革;国企改革;沪股通;融资融券,17
688223.SH,10,688223,BC电池;TOPCON电池;钙钛矿电池;光伏概念;储能;同花顺漂亮100;DeepSeek概念;人民币贬值受益;沪股通;融资融券,17
603619.SH,9,603619,俄乌冲突概念;天然气;新疆振兴;回购增持再贷款概念;沪股通;一带一路;海工装备;机器人概念;融资融券,17
603051.SH,18,603051,TOPCON电池;BC电池;HJT电池;钙钛矿电池;POE胶膜;光伏概念;固态电池;OLED;柔性屏(折叠屏);锂电池概念;比亚迪概念;商业航天;氢能源;传感器;智能穿戴;水利;人形机器人;融资融券,17
300270.SZ,21,300270,光纤概念;百度概念;华为昇腾;卫星导航;东数西算(算力);机器视觉;华为概念;智慧灯杆;华为鲲鹏;无人驾驶;人工智能;人脸识别;车联网(车路协同);安防;机器人概念;物联网;智慧城市;工业互联网;共同富裕示范区;冷链物流;股权转让(并购重组),33
603103.SH,8,603103,短剧游戏;文化传媒概念;IP经济(谷子经济);共同富裕示范区;虚拟现实;AI应用;沪股通;融资融券,17
300212.SZ,37,300212,财税数字化;华为鲲鹏;信创;AI智能体;智慧政务;数据安全;国资云;数据要素;数据确权;网络安全;阿里巴巴概念;百度概念;DeepSeek概念;数字经济;智能医疗;数字孪生;人工智能;智慧城市;车联网(车路协同);独角兽概念;东数西算(算力);京津冀一体化;华为概念;物联网;养老概念;创投;无人驾驶;乡村振兴;数据中心;央企国企改革;雄安新区;国企改革;PPP概念;华为数字能源;一带一路;深股通;融资融券,33
000657.SZ,21,000657,金属钴;小金属概念;金属铜;PCB概念;金属回收;海南自贸区;光伏概念;可控核聚变;工业母机;雅下水电概念;高端装备;军工;深股通;国企改革;医疗器械概念;乡村振兴;创投;DeepSeek概念;股权转让(并购重组);中字头股票;融资融券,33
688090.SH,12,688090,新型工业化;人工智能;专精特新;机器视觉;数字孪生;传感器;机器人概念;比亚迪概念;芯片概念;新能源汽车;AI应用;融资融券,17
301156.SZ,7,301156,宠物经济;维生素;合成生物;中俄贸易概念;一带一路;俄乌冲突概念;融资融券,33
