name,code,now,涨停价,跌停价
恒铭达,2947,45.25,49.89,40.82
欧科亿,688308,29.87,35.84,23.9
嘉元科技,688388,37.57,44.92,29.94
江山股份,600389,24.39,26.4,21.6
隆扬电子,301389,52.7,63.54,42.36
南山铝业,600219,4.88,5.3,4.34
大族数控,301200,117.84,142.88,95.26
上海亚虹,603159,22.64,24.83,20.31
精研科技,300709,42.74,51.47,34.31
中国西电,601179,9.26,10.25,8.39
鸿铭股份,301105,46.1,55.42,36.94
东百集团,600693,19.33,20.61,16.87
中矿资源,2738,68.55,75.41,61.7
中成股份,151,12.08,13.34,10.92
多浦乐,301528,63.17,75.82,50.54
京粮控股,505,8.44,9.0,7.36
安纳达,2136,11.9,13.09,10.71
华源控股,2787,11.89,13.09,10.71
东亚机械,301028,14.51,17.56,11.7
富吉瑞,688272,27.37,33.17,22.11
*ST亚振,603389,38.2,39.38,35.63
厦门钨业,600549,41.41,45.47,37.21
寒武纪,688256,1278.2,1541.72,1027.82
七彩化学,300758,12.65,15.24,10.16
*ST大立,2214,17.4,18.15,16.43
龙高股份,605086,37.81,41.69,34.11
海目星,688559,45.0,53.14,35.42
西部材料,2149,37.87,41.03,33.57
江苏北人,688218,21.29,25.67,17.11
矽电股份,301629,225.45,269.66,179.78
凯盛新材,301069,28.0,33.95,22.63
中一科技,301150,38.6,46.6,31.06
松霖科技,603992,37.93,42.03,34.39
康芝药业,300086,14.18,15.86,10.58
工业富联,601138,60.56,66.68,54.56
劲拓股份,300400,18.94,22.74,15.16
博汇科技,688004,24.49,28.0,18.66
南王科技,301355,13.85,16.73,11.15
朗进科技,300594,18.6,22.14,14.76
振德医疗,603301,68.68,75.55,61.81
翔港科技,603499,19.74,21.69,17.75
力星股份,300421,27.8,33.35,22.23
耀皮玻璃,600819,8.15,8.9,7.28
中欣氟材,2915,22.46,24.59,20.12
开能健康,300272,7.5,9.08,6.06
锐捷网络,301165,81.69,98.03,65.35
伟隆股份,2871,15.83,17.48,14.3
海容冷链,603187,15.28,16.9,13.82
依米康,300249,14.24,17.09,11.39
尚太科技,1301,82.71,90.95,74.41
阿石创,300706,34.9,42.12,28.08
天力锂能,301152,30.3,36.38,24.26
凯盛科技,600552,10.88,11.98,9.8
北方华创,2371,466.0,511.83,418.77
天齐锂业,2466,54.18,59.31,48.53
胜宏科技,300476,298.0,357.32,238.22
大元泵业,603757,46.5,52.86,43.25
世名科技,300522,12.22,14.74,9.82
国投中鲁,600962,20.73,22.66,18.54
成都华微,688709,41.5,49.76,33.18
三和管桩,3037,7.46,8.22,6.72
阿为特,920693,39.76,51.45,27.71
中富电路,300814,75.5,91.38,60.92
芯碁微装,688630,134.23,160.19,106.79
家联科技,301193,21.15,25.56,17.04
先导智能,300450,48.91,57.8,38.54
今创集团,603680,13.88,15.29,12.51
浙江美大,2677,8.26,9.17,7.51
安克创新,300866,114.0,137.58,91.72
驰诚股份,920407,28.01,36.64,19.74
润禾材料,300727,34.96,41.89,27.93
联化科技,2250,12.17,13.42,10.98
温州宏丰,300283,7.2,8.68,5.78
孚日股份,2083,10.66,11.76,9.62
东方铁塔,2545,17.09,18.7,15.3
优优绿能,301590,169.5,204.3,136.2
江丰电子,300666,92.25,111.25,74.17
赛恩斯,688480,48.52,57.19,38.13
中石科技,300684,48.15,58.8,39.2
多瑞医药,301075,49.89,60.0,40.0
信德新材,301349,45.66,54.79,36.53
雅化集团,2497,23.4,26.05,21.31
宏达股份,600331,12.27,13.43,10.99
梅轮电梯,603321,7.8,8.5,6.96
劲嘉股份,2191,4.19,4.63,3.79
普利特,2324,12.73,13.99,11.45
锦富技术,300128,7.89,9.43,6.29
龙竹科技,920445,12.45,16.18,8.72
中研股份,688716,38.5,46.01,30.67
瑞晟智能,688215,0.0,85.43,56.95
金鹰股份,600232,7.56,8.31,6.8
道氏技术,300409,21.74,26.09,17.39
秋乐种业,920087,16.7,21.84,11.76
百奥泰,688177,23.26,27.79,18.53
科华数据,2335,53.55,58.91,48.2
*ST智胜,2253,10.35,10.91,9.87
梦网科技,2123,12.55,13.68,11.2
微导纳米,688147,67.69,81.23,54.15
国盾量子,688027,520.02,604.85,403.23
永兴材料,2756,49.1,54.01,44.19
苏大维格,300331,30.81,36.91,24.61
博士眼镜,300622,29.4,34.91,23.27
至纯科技,603690,29.72,32.82,26.86
建投能源,600,8.36,9.15,7.49
景津装备,603279,15.3,16.82,13.76
博苑股份,301617,74.41,88.56,59.04
兴瑞科技,2937,21.71,23.89,19.55
润阳科技,300920,37.81,45.48,30.32
精智达,688627,242.0,299.51,199.67
永杰新材,603271,41.75,45.57,37.29
新筑股份,2480,6.34,6.96,5.7
立高食品,300973,46.48,51.46,34.3
巨一科技,688162,29.79,35.89,23.93
元创股份,1325,53.26,-1.0,-1.0
利元亨,688499,55.08,66.1,44.06
东岳硅材,300821,11.79,14.17,9.45
美盈森,2303,4.02,4.33,3.55
铜峰电子,600237,9.01,9.86,8.06
*ST观典,688287,6.09,7.32,4.88
上海新阳,300236,67.0,79.68,53.12
灿能电力,920299,21.6,28.3,15.24
当升科技,300073,57.23,68.41,45.61
华新建材,600801,23.3,25.62,20.96
安达科技,920809,7.26,9.47,5.11
*ST聆达,300125,7.65,9.19,6.13
光大同创,301387,44.54,53.03,35.35
德方纳米,300769,43.01,51.79,34.53
迪哲医药,688192,58.62,70.02,46.68
中兴商业,715,6.58,7.3,5.98
百隆东方,601339,5.57,6.12,5.0
华峰测控,688200,181.51,216.88,144.58
深桑达A,32,18.99,20.82,17.04
丰元股份,2805,16.29,18.02,14.74
海南机场,600515,5.62,5.78,4.73
继峰股份,603997,13.89,15.27,12.49
长川科技,300604,94.37,113.48,75.66
安集科技,688019,210.15,254.28,169.52
元力股份,300174,15.44,18.53,12.35
捷佳伟创,300724,90.51,105.18,70.12
亿纬锂能,300014,69.04,82.81,55.21
融捷股份,2192,51.45,56.47,46.21
上海凤凰,600679,13.9,15.21,12.45
昇兴股份,2752,7.51,8.03,6.57
益诺思,688710,45.19,53.95,35.97
杰创智能,301248,28.7,34.62,23.08
五矿新能,688779,6.94,8.33,5.55
众鑫股份,603091,79.0,86.72,70.96
长海股份,300196,13.92,16.7,11.14
同星科技,301252,27.48,33.06,22.04
容百科技,688005,29.08,34.6,23.06
纳芯微,688052,149.67,179.56,119.7
同兴科技,3027,20.19,22.42,18.34
岱勒新材,300700,12.63,15.17,10.11
德科立,688205,154.14,184.93,123.29
博杰股份,2975,76.58,84.35,69.01
杭可科技,688006,28.5,33.95,22.63
中银证券,601696,14.24,15.62,12.78
杭电股份,603618,8.56,9.47,7.75
双星新材,2585,6.53,7.22,5.9
兴图新科,688081,29.95,36.0,24.0
东阳光,600673,22.26,24.49,20.03
金杯电工,2533,12.45,13.65,11.17
福瑞医科,300049,73.34,87.89,58.59
福鞍股份,603315,14.95,16.53,13.53
保丽洁,920802,16.39,21.19,11.41
凯立新材,688269,37.7,45.24,30.16
腾远钴业,301219,64.68,77.58,51.72
潮宏基,2345,12.65,13.86,11.34
快意电梯,2774,9.26,10.21,8.35
蓝丰生化,2513,6.8,7.44,6.08
先锋精科,688605,60.04,72.04,48.02
天迈科技,300807,50.7,60.9,40.6
明阳智能,601615,14.1,15.37,12.57
特变电工,600089,22.47,24.71,20.21
航天动力,600343,37.14,40.84,33.42
康盛股份,2418,4.67,5.17,4.23
百达精工,603331,12.49,13.17,10.77
弘宇股份,2890,14.37,15.99,13.09
纳思达,2180,19.24,21.18,17.33
金太阳,300606,21.36,25.7,17.14
晨丰科技,603685,19.33,21.26,17.4
*ST生物,504,8.64,9.03,8.17
莱美药业,300006,5.14,6.2,4.14
光智科技,300489,45.01,53.8,35.86
众生药业,2317,19.1,20.93,17.13
精测电子,300567,83.4,100.8,67.2
有棵树,300209,5.74,6.8,4.54
清水源,300437,16.94,20.44,13.62
剑桥科技,603083,117.6,129.34,105.82
惠丰钻石,920725,34.92,45.5,24.5
佳力图,603912,8.31,9.15,7.49
金安国纪,2636,15.77,17.41,14.25
肯特催化,603120,40.1,44.11,36.09
中创智领,601717,23.48,25.73,21.05
麒盛科技,603610,18.94,20.88,17.08
闻泰科技,600745,37.78,41.38,33.86
沧州明珠,2108,4.85,5.36,4.38
国际复材,301526,6.67,7.98,5.32
南亚新材,688519,65.02,78.78,52.52
维科技术,600152,6.66,7.36,6.02
凯旺科技,301182,39.01,47.16,31.44
富瑞特装,300228,8.99,10.73,7.15
贝特瑞,920185,32.86,42.52,22.9
盛科通信,688702,130.7,157.19,104.79
盈建科,300935,31.99,37.86,25.24
江南新材,603124,79.32,87.26,71.4
飞沃科技,301232,106.0,125.4,83.6
高测股份,688556,11.38,13.57,9.05
德邦科技,688035,48.96,59.23,39.49
高争民爆,2827,37.61,41.37,33.85
祥明智能,301226,30.2,36.49,24.33
海力风电,301155,78.54,94.28,62.86
瑞尔特,2790,8.63,9.5,7.78
六九一二,301592,116.56,139.9,93.26
汇成真空,301392,133.0,160.63,107.09
日月明,300906,37.38,45.8,30.54
开勒股份,301070,58.5,69.64,46.42
鼎阳科技,688112,36.83,43.9,29.26
中孚实业,600595,7.85,8.69,7.11
永杉锂业,603399,10.7,11.77,9.63
汉邦高科,300449,6.99,8.38,5.58
奇安信,688561,36.6,41.47,27.65
新益昌,688383,0.0,87.02,58.02
中科电气,300035,21.28,25.55,17.03
泰和科技,300801,26.4,31.82,21.22
氯碱化工,600618,11.81,13.02,10.66
聚和材料,688503,60.8,71.04,47.36
日联科技,688531,66.9,79.68,53.12
康鹏科技,688602,8.56,10.26,6.84
星云股份,300648,55.16,66.19,44.13
*ST威尔,2058,22.16,23.5,21.26
数据港,603881,29.6,32.49,26.59
森特股份,603098,12.88,14.16,11.58
永冠新材,603681,18.16,19.98,16.34
双鹭药业,2038,7.67,8.44,6.9
厦门港务,905,13.44,14.77,12.09
飞鹿股份,300665,9.65,11.62,7.74
联赢激光,688518,23.46,27.9,18.6
垒知集团,2398,5.76,6.4,5.24
雅艺科技,301113,23.36,27.95,18.63
世龙实业,2748,13.23,14.99,12.27
翱捷科技,688220,78.91,95.34,63.56
ST新亚,2388,5.93,6.14,5.56
皖通高速,600012,14.29,15.66,12.82
黄河旋风,600172,5.9,6.49,5.31
川金诺,300505,22.1,26.56,17.7
利源股份,2501,2.49,2.71,2.21
爱克股份,300889,20.18,24.22,16.14
华图山鼎,300492,76.0,91.69,61.13
中恒电气,2364,24.64,27.12,22.19
宏工科技,301662,116.0,138.62,92.42
海光信息,688041,213.99,258.22,172.14
晶盛机电,300316,37.2,44.8,29.86
大东方,600327,5.44,6.03,4.93
海兴电力,603556,33.58,36.96,30.24
石英股份,603688,36.91,40.38,33.04
近岸蛋白,688137,40.83,49.0,32.66
光库科技,300620,157.31,190.03,126.69
联泓新科,3022,18.89,20.56,16.82
京泉华,2885,26.2,28.91,23.65
华海清科,688120,156.0,188.04,125.36
高盟新材,300200,11.92,14.58,9.72
璞泰来,603659,26.85,29.55,24.17
重药控股,950,6.55,7.25,5.93
张江高科,600895,38.85,42.39,34.69
灿勤科技,688182,26.38,31.66,21.1
金石资源,603505,18.33,20.17,16.51
君逸数码,301172,21.87,26.29,17.53
永新股份,2014,11.9,12.89,10.55
欣旺达,300207,29.36,35.12,23.42
沪硅产业,688126,21.25,25.32,16.88
双元科技,688623,83.69,100.44,66.96
先河环保,300137,10.28,12.42,8.28
意华股份,2897,47.9,52.56,43.0
浙江东日,600113,62.3,67.8,55.48
华明装备,2270,25.63,28.19,23.07
中伟股份,300919,41.75,49.84,33.22
上海洗霸,603200,70.28,76.95,62.96
国轩高科,2074,38.61,42.45,34.73
图南股份,300855,29.62,35.62,23.74
*ST中基,972,3.73,3.9,3.52
爱司凯,300521,27.24,32.69,21.79
新迅达,300518,16.67,19.93,13.29
普路通,2769,11.55,12.98,10.62
安妮股份,2235,10.9,11.81,9.67
吉大正元,3029,29.56,29.56,24.18
凌霄泵业,2884,17.68,19.51,15.97
新洋丰,902,15.63,17.19,14.07
金道科技,301279,28.5,34.36,22.9
瑞泰新材,301238,20.0,24.0,16.0
浩洋股份,300833,42.38,50.78,33.86
株冶集团,600961,16.44,17.93,14.67
恺英网络,2517,22.29,24.56,20.1
华海诚科,688535,101.7,122.56,81.7
凌玮科技,301373,32.0,36.72,24.48
岳阳林纸,600963,4.37,4.83,3.95
赣能股份,899,9.92,10.89,8.91
永贵电器,300351,17.07,20.46,13.64
派能科技,688063,56.01,67.33,44.89
冰川网络,300533,34.16,40.96,27.3
中达安,300635,15.99,19.19,12.79
禾盛新材,2290,40.66,45.03,36.85
龙佰集团,2601,18.35,20.09,16.43
艾力斯,688578,102.51,123.02,82.02
骄成超声,688392,122.39,147.38,98.26
科力远,600478,6.7,7.34,6.0
利和兴,301013,26.93,32.8,21.86
东威科技,688700,34.92,41.51,27.67
兆威机电,3021,115.7,123.41,100.97
宁水集团,603700,12.94,14.17,11.59
天奈科技,688116,45.95,55.15,36.77
菲林格尔,603226,31.36,34.53,28.25
蔚蓝锂芯,2245,16.3,17.92,14.66
星源材质,300568,14.58,17.62,11.74
沧州大化,600230,13.06,14.29,11.69
南方泵业,300145,4.5,5.42,3.62
中铁装配,300374,15.83,19.04,12.7
华金资本,532,15.3,16.9,13.82
中国石油,601857,9.75,10.69,8.75
圣泉集团,605589,27.43,30.2,24.71
绿联科技,301606,59.06,70.87,47.25
泰福泵业,300992,27.02,32.41,21.61
五新隧装,920174,49.02,64.54,34.76
电声股份,300805,10.42,12.5,8.34
同益股份,300538,15.63,18.76,12.5
卓易信息,688258,66.13,80.18,53.46
天承科技,688603,78.12,94.14,62.76
威唐工业,300707,16.28,19.58,13.06
冠石科技,605588,49.9,55.3,45.24
同洲电子,2052,12.2,13.54,11.08
丰林集团,601996,2.38,2.59,2.12
凯美特气,2549,21.61,23.99,19.63
海安集团,1233,59.31,65.25,53.39
宁德时代,300750,372.0,446.21,297.47
久日新材,688199,24.23,29.27,19.51
赢合科技,300457,26.37,31.44,20.96
华特气体,688268,59.39,71.46,47.64
金钼股份,601958,14.99,16.38,13.4
赣锋锂业,2460,65.27,71.8,58.74
*ST张股,430,7.9,8.18,7.4
*ST仁东,2647,7.19,7.56,6.84
合肥城建,2208,10.76,11.89,9.73
中国海油,600938,27.77,30.42,24.89
联芸科技,688449,45.1,53.59,35.73
科捷智能,688455,19.3,23.22,15.48
唯科科技,301196,74.61,90.12,60.08
硕世生物,688399,67.4,80.16,53.44
逸豪新材,301176,24.93,29.88,19.92
江瀚新材,603281,27.27,30.06,24.6
中纺标,920122,34.2,44.34,23.88
硅宝科技,300019,20.7,24.85,16.57
浦发银行,600000,11.67,12.8,10.48
上海谊众,688091,44.12,52.94,35.3
中铝国际,601068,5.53,6.08,4.98
汇隆新材,301057,30.38,35.45,23.63
思泰克,301568,45.68,54.86,36.58
和远气体,2971,30.05,33.06,27.05
山金国际,975,25.21,27.56,22.55
启明星辰,2439,14.41,15.19,12.43
慧翰股份,301600,137.64,165.19,110.13
山科智能,300897,25.85,31.02,20.68
焦作万方,612,10.1,11.11,9.09
宏盛股份,603090,55.09,60.71,49.67
戎美股份,301088,17.01,19.8,13.2
利通电子,603629,26.25,28.81,23.57
中闽能源,600163,5.78,6.35,5.19
国瓷材料,300285,27.05,32.36,21.58
新华保险,601336,71.6,78.76,64.44
兴蓉环境,598,7.17,7.87,6.44
西部黄金,601069,28.9,30.8,25.2
富淼科技,688350,22.61,27.36,18.24
大烨智能,300670,7.79,9.4,6.26
ST雪发,2485,3.92,4.12,3.72
宁波中百,600857,14.38,15.84,12.96
萃华珠宝,2731,13.21,14.44,11.82
ST天瑞,300165,4.59,5.52,3.68
鲁银投资,600784,6.6,7.29,5.97
乐鑫科技,688018,159.8,191.14,127.42
中原内配,2448,12.6,13.9,11.38
朗威股份,301202,40.51,48.95,32.63
聚辰股份,688123,125.0,149.82,99.88
科士达,2518,50.2,54.86,44.88
阿莱德,301419,32.97,39.65,26.43
晨光新材,605399,13.48,14.84,12.14
迪贝电气,603320,18.24,20.06,16.42
ST美晨,300237,2.74,3.25,2.17
鼎龙股份,300054,38.6,46.36,30.9
燕麦科技,688312,32.0,38.28,25.52
平潭发展,592,12.84,14.19,11.61
东宝生物,300239,5.45,6.55,4.37
零点有数,301169,47.36,56.66,37.78
中自科技,688737,22.09,26.5,17.66
福建水泥,600802,6.86,7.59,6.21
匠心家居,301061,104.02,123.61,82.41
江苏国泰,2091,9.0,9.9,8.1
唯捷创芯,688153,36.39,43.36,28.9
广发证券,776,21.61,23.76,19.44
骏鼎达,301538,74.03,88.72,59.14
恒瑞医药,600276,60.85,67.02,54.84
联动科技,301369,137.0,164.82,109.88
四川双马,935,25.24,27.85,22.79
恒星科技,2132,3.53,3.87,3.17
长光华芯,688048,143.26,169.2,112.8
汉钟精机,2158,23.91,26.4,21.6
江顺科技,1400,65.0,71.75,58.71
赛微电子,300456,59.99,72.54,48.36
科泰电源,300153,29.23,35.03,23.35
科安达,2972,12.2,13.37,10.94
山东玻纤,605006,7.12,7.87,6.44
惠城环保,300779,134.88,163.04,108.7
威星智能,2849,15.13,16.63,13.61
宝地矿业,601121,7.24,7.92,6.48
中国平安,601318,68.56,75.39,61.69
三七互娱,2555,22.37,24.62,20.14
雪迪龙,2658,8.67,9.56,7.82
新瀚新材,301076,42.01,50.54,33.7
新光光电,688011,50.16,60.19,40.13
诺思兰德,920047,23.82,31.2,16.8
穗恒运A,531,6.54,7.22,5.9
惠云钛业,300891,8.81,10.51,7.01
海象新材,3011,22.0,24.11,19.73
佳合科技,920392,37.01,48.49,26.11
科兴制药,688136,32.3,38.77,25.85
东田微,301183,167.99,200.16,133.44
苏博特,603916,9.64,10.56,8.64
方邦股份,688020,69.77,83.47,55.65
腾亚精工,301125,17.71,21.34,14.22
生益电子,688183,101.3,120.92,80.62
康众医疗,688607,43.86,51.6,34.4
昊华科技,600378,30.47,33.55,27.45
标准股份,600302,9.7,10.67,8.73
锦波生物,920982,245.86,320.41,172.53
方正科技,600601,11.93,13.23,10.83
中邮科技,688648,58.58,71.32,47.54
