股票代码,market_code,code,所属同花顺行业
300780.SZ,33,300780,机械设备-通用设备-金属制品
301387.SZ,33,301387,电子-消费电子-消费电子零部件及组装
300857.SZ,33,300857,计算机-计算机设备-其他计算机设备
300249.SZ,33,300249,计算机-计算机设备-其他计算机设备
300499.SZ,33,300499,机械设备-专用设备-其他专用设备
920790.BJ,151,920790,计算机-IT服务-IT服务Ⅲ
301188.SZ,33,301188,医药生物-医疗器械-医疗耗材
300634.SZ,33,300634,计算机-IT服务-IT服务Ⅲ
301085.SZ,33,301085,计算机-IT服务-IT服务Ⅲ
301319.SZ,33,301319,电子-电子化学品-电子化学品Ⅲ
300184.SZ,33,300184,电子-其他电子-其他电子Ⅲ
300454.SZ,33,300454,计算机-软件开发-横向通用软件
688123.SH,17,688123,电子-半导体-数字芯片设计
688638.SH,17,688638,电力设备-电池-锂电专用设备
300602.SZ,33,300602,电子-消费电子-消费电子零部件及组装
300308.SZ,33,300308,通信-通信设备-通信网络设备及器件
300900.SZ,33,300900,国防军工-军工装备-航空装备
301181.SZ,33,301181,汽车-汽车零部件-底盘与发动机系统
688456.SH,17,688456,有色金属-金属新材料-其他金属新材料
300418.SZ,33,300418,传媒-游戏-游戏Ⅲ
688226.SH,17,688226,电力设备-电网设备-线缆部件及其他
688141.SH,17,688141,电子-半导体-模拟芯片设计
300975.SZ,33,300975,电子-其他电子-其他电子Ⅲ
688701.SH,17,688701,环保-环境治理-综合环境治理
688531.SH,17,688531,机械设备-专用设备-其他专用设备
301563.SZ,33,301563,电子-其他电子-其他电子Ⅲ
300988.SZ,33,300988,机械设备-专用设备-其他专用设备
688318.SH,17,688318,计算机-软件开发-垂直应用软件
688787.SH,17,688787,计算机-IT服务-IT服务Ⅲ
688355.SH,17,688355,机械设备-通用设备-金属制品
688022.SH,17,688022,机械设备-专用设备-其他专用设备
688455.SH,17,688455,机械设备-通用设备-其他通用设备
301005.SZ,33,301005,汽车-汽车零部件-其他汽车零部件
688536.SH,17,688536,电子-半导体-模拟芯片设计
301362.SZ,33,301362,电子-光学光电子-LED
688530.SH,17,688530,电子-半导体-半导体材料
688387.SH,17,688387,通信-通信设备-通信网络设备及器件
688020.SH,17,688020,电子-电子化学品-电子化学品Ⅲ
301291.SZ,33,301291,电力设备-电网设备-输变电设备
688590.SH,17,688590,计算机-软件开发-垂直应用软件
920227.BJ,151,920227,计算机-IT服务-IT服务Ⅲ
301389.SZ,33,301389,电子-消费电子-消费电子零部件及组装
300617.SZ,33,300617,电力设备-电网设备-输变电设备
688692.SH,17,688692,计算机-软件开发-横向通用软件
920092.BJ,151,920092,计算机-IT服务-IT服务Ⅲ
688272.SH,17,688272,国防军工-军工电子-军工电子Ⅲ
300042.SZ,33,300042,计算机-计算机设备-其他计算机设备
920045.BJ,151,920045,通信-通信设备-通信网络设备及器件
300071.SZ,33,300071,传媒-文化传媒-广告营销
000727.SZ,33,000727,电子-光学光电子-面板
000889.SZ,33,000889,通信-通信服务-通信工程及服务
300065.SZ,33,300065,国防军工-军工装备-航海装备
002421.SZ,33,002421,计算机-IT服务-IT服务Ⅲ
002797.SZ,33,002797,非银金融-证券-证券Ⅲ
688545.SH,17,688545,电子-电子化学品-电子化学品Ⅲ
002348.SZ,33,002348,轻工制造-家居用品-文娱用品
600356.SH,17,600356,轻工制造-造纸-造纸Ⅲ
600984.SH,17,600984,机械设备-工程机械-工程机械Ⅲ
002400.SZ,33,002400,传媒-文化传媒-广告营销
600743.SH,17,600743,商贸零售-零售-商业物业经营
002478.SZ,33,002478,钢铁-钢铁-特钢
000892.SZ,33,000892,传媒-影视院线-影视院线Ⅲ
600126.SH,17,600126,钢铁-钢铁-普钢
000917.SZ,33,000917,传媒-文化传媒-广告营销
002716.SZ,33,002716,有色金属-贵金属-贵金属Ⅲ
002449.SZ,33,002449,电子-光学光电子-LED
603777.SH,17,603777,食品饮料-食品加工制造-休闲食品
603328.SH,17,603328,电子-元件-印制电路板
002361.SZ,33,002361,基础化工-塑料制品-合成树脂
000811.SZ,33,000811,机械设备-通用设备-制冷空调设备
000551.SZ,33,000551,环保-环保设备-环保设备Ⅲ
600986.SH,17,600986,传媒-文化传媒-广告营销
605162.SH,17,605162,公用事业-电力-热力
600589.SH,17,600589,计算机-IT服务-IT服务Ⅲ
600721.SH,17,600721,医药生物-医疗服务-医疗研发外包
000586.SZ,33,000586,通信-通信设备-通信线缆及配套
002051.SZ,33,002051,建筑装饰-建筑装饰-专业工程
601002.SH,17,601002,机械设备-通用设备-金属制品
002484.SZ,33,002484,电子-元件-被动元件
001287.SZ,33,001287,电子-其他电子-其他电子Ⅲ
002899.SZ,33,002899,轻工制造-家居用品-文娱用品
002155.SZ,33,002155,有色金属-贵金属-贵金属Ⅲ
688010.SH,17,688010,电子-光学光电子-光学元件
605016.SH,17,605016,基础化工-化学制品-食品及饲料添加剂
600641.SH,17,600641,电子-半导体-半导体材料
002342.SZ,33,002342,机械设备-通用设备-金属制品
002213.SZ,33,002213,电子-半导体-数字芯片设计
000534.SZ,33,000534,医药生物-生物制品-其他生物制品
002634.SZ,33,002634,纺织服饰-服装家纺-服装
601137.SH,17,601137,有色金属-金属新材料-其他金属新材料
001337.SZ,33,001337,有色金属-贵金属-贵金属Ⅲ
603196.SH,17,603196,纺织服饰-服装家纺-服装
600301.SH,17,600301,有色金属-小金属-其他小金属
605287.SH,17,605287,建筑装饰-建筑装饰-装饰园林
002380.SZ,33,002380,计算机-IT服务-IT服务Ⅲ
000962.SZ,33,000962,有色金属-小金属-其他小金属
603757.SH,17,603757,机械设备-通用设备-其他通用设备
605258.SH,17,605258,电子-元件-印制电路板
605060.SH,17,605060,机械设备-通用设备-其他通用设备
603920.SH,17,603920,电子-元件-印制电路板
603203.SH,17,603203,机械设备-自动化设备-工控设备
605305.SH,17,605305,机械设备-工程机械-工程机械Ⅲ
001267.SZ,33,001267,通信-通信设备-通信网络设备及器件
603890.SH,17,603890,电子-消费电子-消费电子零部件及组装
600869.SH,17,600869,电力设备-电网设备-线缆部件及其他
601069.SH,17,601069,有色金属-贵金属-贵金属Ⅲ
002008.SZ,33,002008,机械设备-自动化设备-激光设备
002957.SZ,33,002957,机械设备-自动化设备-工控设备
603881.SH,17,603881,通信-通信服务-通信应用增值服务
003041.SZ,33,003041,纺织服饰-服装家纺-家纺
605289.SH,17,605289,建筑装饰-建筑装饰-装饰园林
002353.SZ,33,002353,机械设备-专用设备-能源及重型设备
603950.SH,17,603950,汽车-汽车零部件-底盘与发动机系统
603175.SH,17,603175,电子-元件-印制电路板
002046.SZ,33,002046,机械设备-通用设备-磨具磨料
600654.SH,17,600654,社会服务-其他社会服务-专业服务
603629.SH,17,603629,电子-消费电子-消费电子零部件及组装
002902.SZ,33,002902,通信-通信设备-通信网络设备及器件
000919.SZ,33,000919,医药生物-化学制药-化学制剂
002928.SZ,33,002928,交通运输-机场航运-航空运输
605318.SH,17,605318,建筑材料-建筑材料-其他建材
603045.SH,17,603045,电力设备-电网设备-输变电设备
001389.SZ,33,001389,电子-元件-印制电路板
000426.SZ,33,000426,有色金属-小金属-其他小金属
600841.SH,17,600841,汽车-汽车零部件-底盘与发动机系统
603516.SH,17,603516,计算机-计算机设备-其他计算机设备
603138.SH,17,603138,计算机-软件开发-横向通用软件
002384.SZ,33,002384,电子-元件-印制电路板
002916.SZ,33,002916,电子-元件-印制电路板
603083.SH,17,603083,通信-通信设备-通信终端及配件
603308.SH,17,603308,机械设备-通用设备-金属制品
603306.SH,17,603306,汽车-汽车零部件-车身附件及饰件
603538.SH,17,603538,医药生物-化学制药-原料药
002975.SZ,33,002975,机械设备-自动化设备-工控设备
600105.SH,17,600105,通信-通信设备-通信线缆及配套
600114.SH,17,600114,机械设备-通用设备-金属制品
002463.SZ,33,002463,电子-元件-印制电路板
002929.SZ,33,002929,通信-通信服务-通信工程及服务
002921.SZ,33,002921,汽车-汽车零部件-其他汽车零部件
002995.SZ,33,002995,传媒-文化传媒-广告营销
600875.SH,17,600875,电力设备-其他电源设备-其他电源设备Ⅲ
000506.SZ,33,000506,有色金属-贵金属-贵金属Ⅲ
603272.SH,17,603272,轻工制造-家居用品-其他家居用品
603315.SH,17,603315,环保-环境治理-大气治理
002273.SZ,33,002273,电子-光学光电子-光学元件
603211.SH,17,603211,汽车-汽车零部件-其他汽车零部件
002181.SZ,33,002181,传媒-文化传媒-出版
603598.SH,17,603598,传媒-文化传媒-广告营销
002536.SZ,33,002536,汽车-汽车零部件-底盘与发动机系统
002491.SZ,33,002491,通信-通信设备-通信线缆及配套
002188.SZ,33,002188,房地产-房地产-房地产服务
600666.SH,17,600666,电子-电子化学品-电子化学品Ⅲ
002606.SZ,33,002606,电力设备-电网设备-线缆部件及其他
603311.SH,17,603311,家用电器-白色家电-家电零部件
002708.SZ,33,002708,汽车-汽车零部件-底盘与发动机系统
301093.SZ,33,301093,医药生物-医疗器械-医疗耗材
000978.SZ,33,000978,社会服务-旅游及酒店-自然景点
600815.SH,17,600815,机械设备-工程机械-工程机械Ⅲ
688679.SH,17,688679,环保-环境治理-固废治理
002131.SZ,33,002131,机械设备-通用设备-其他通用设备
002663.SZ,33,002663,建筑装饰-建筑装饰-装饰园林
002042.SZ,33,002042,纺织服饰-纺织制造-棉纺
600186.SH,17,600186,食品饮料-食品加工制造-调味发酵品
600115.SH,17,600115,交通运输-机场航运-航空运输
300373.SZ,33,300373,电子-半导体-分立器件
301183.SZ,33,301183,电子-光学光电子-光学元件
688171.SH,17,688171,计算机-软件开发-横向通用软件
300624.SZ,33,300624,计算机-软件开发-横向通用软件
688220.SH,17,688220,电子-半导体-模拟芯片设计
002685.SZ,33,002685,机械设备-工程机械-工程机械Ⅲ
002217.SZ,33,002217,电子-光学光电子-面板
688118.SH,17,688118,计算机-软件开发-垂直应用软件
688228.SH,17,688228,计算机-IT服务-IT服务Ⅲ
688239.SH,17,688239,国防军工-军工装备-航空装备
688669.SH,17,688669,基础化工-塑料制品-改性塑料
603806.SH,17,603806,电力设备-光伏设备-光伏辅材
300604.SZ,33,300604,电子-半导体-半导体设备
688627.SH,17,688627,机械设备-专用设备-其他专用设备
688502.SH,17,688502,电子-光学光电子-光学元件
300943.SZ,33,300943,机械设备-通用设备-金属制品
688107.SH,17,688107,电子-半导体-数字芯片设计
601126.SH,17,601126,电力设备-电网设备-电气自控设备
600531.SH,17,600531,有色金属-工业金属-铅锌
688017.SH,17,688017,机械设备-自动化设备-机器人
688777.SH,17,688777,机械设备-自动化设备-工控设备
301225.SZ,33,301225,汽车-汽车零部件-底盘与发动机系统
301068.SZ,33,301068,环保-环境治理-固废治理
300229.SZ,33,300229,计算机-软件开发-垂直应用软件
301248.SZ,33,301248,计算机-IT服务-IT服务Ⅲ
688386.SH,17,688386,基础化工-塑料制品-膜材料
300731.SZ,33,300731,基础化工-橡胶制品-其他橡胶制品
301309.SZ,33,301309,机械设备-通用设备-金属制品
688709.SH,17,688709,电子-半导体-模拟芯片设计
688375.SH,17,688375,国防军工-军工电子-军工电子Ⅲ
002371.SZ,33,002371,电子-半导体-半导体设备
301202.SZ,33,301202,通信-通信设备-其他通信设备
688380.SH,17,688380,电子-半导体-数字芯片设计
300881.SZ,33,300881,钢铁-钢铁-特钢
300502.SZ,33,300502,通信-通信设备-通信网络设备及器件
300442.SZ,33,300442,通信-通信服务-通信应用增值服务
920493.BJ,151,920493,计算机-IT服务-IT服务Ⅲ
002851.SZ,33,002851,电力设备-其他电源设备-其他电源设备Ⅲ
300153.SZ,33,300153,电力设备-其他电源设备-其他电源设备Ⅲ
688055.SH,17,688055,电子-光学光电子-面板
688661.SH,17,688661,电子-消费电子-消费电子零部件及组装
300696.SZ,33,300696,国防军工-军工装备-航空装备
300236.SZ,33,300236,电子-电子化学品-电子化学品Ⅲ
688691.SH,17,688691,电子-半导体-集成电路制造
300539.SZ,33,300539,基础化工-塑料制品-其他塑料制品
688327.SH,17,688327,计算机-IT服务-IT服务Ⅲ
002922.SZ,33,002922,电子-其他电子-其他电子Ⅲ
920249.BJ,151,920249,通信-通信设备-通信终端及配件
301231.SZ,33,301231,传媒-文化传媒-出版
300716.SZ,33,300716,电力设备-光伏设备-光伏电池组件
601212.SH,17,601212,有色金属-工业金属-铜
300836.SZ,33,300836,机械设备-专用设备-其他专用设备
002283.SZ,33,002283,汽车-汽车零部件-底盘与发动机系统
002947.SZ,33,002947,电子-消费电子-消费电子零部件及组装
603989.SH,17,603989,电子-元件-被动元件
300757.SZ,33,300757,机械设备-自动化设备-其他自动化设备
300580.SZ,33,300580,汽车-汽车零部件-底盘与发动机系统
688025.SH,17,688025,机械设备-自动化设备-激光设备
300378.SZ,33,300378,计算机-软件开发-横向通用软件
301285.SZ,33,301285,电子-消费电子-消费电子零部件及组装
300421.SZ,33,300421,机械设备-通用设备-金属制品
300231.SZ,33,300231,计算机-IT服务-IT服务Ⅲ
002913.SZ,33,002913,电子-元件-印制电路板
301308.SZ,33,301308,电子-半导体-数字芯片设计
688648.SH,17,688648,机械设备-通用设备-其他通用设备
300033.SZ,33,300033,计算机-软件开发-垂直应用软件
300004.SZ,33,300004,机械设备-专用设备-其他专用设备
688008.SH,17,688008,电子-半导体-数字芯片设计
301611.SZ,33,301611,电子-半导体-半导体材料
600410.SH,17,600410,计算机-IT服务-IT服务Ⅲ
002335.SZ,33,002335,电力设备-其他电源设备-其他电源设备Ⅲ
301306.SZ,33,301306,社会服务-其他社会服务-专业服务
301359.SZ,33,301359,电子-其他电子-其他电子Ⅲ
000681.SZ,33,000681,传媒-文化传媒-数字媒体
000510.SZ,33,000510,基础化工-化学原料-氯碱
300131.SZ,33,300131,电子-其他电子-其他电子Ⅲ
688800.SH,17,688800,电子-其他电子-其他电子Ⅲ
688172.SH,17,688172,电子-半导体-分立器件
688807.SH,17,688807,电子-半导体-数字芯片设计
603993.SH,17,603993,有色金属-工业金属-铜
000032.SZ,33,000032,建筑装饰-建筑装饰-专业工程
603701.SH,17,603701,汽车-汽车零部件-底盘与发动机系统
000949.SZ,33,000949,基础化工-化学纤维-氨纶
920026.BJ,151,920026,机械设备-专用设备-其他专用设备
000425.SZ,33,000425,机械设备-工程机械-工程机械Ⅲ
688698.SH,17,688698,机械设备-自动化设备-工控设备
300269.SZ,33,300269,电子-光学光电子-LED
688652.SH,17,688652,电子-半导体-半导体设备
300383.SZ,33,300383,通信-通信服务-通信应用增值服务
688593.SH,17,688593,电子-半导体-数字芯片设计
688261.SH,17,688261,电子-半导体-分立器件
920526.BJ,151,920526,电子-电子化学品-电子化学品Ⅲ
000975.SZ,33,000975,有色金属-贵金属-贵金属Ⅲ
301486.SZ,33,301486,电子-消费电子-消费电子零部件及组装
603979.SH,17,603979,有色金属-工业金属-铜
688551.SH,17,688551,电力设备-其他电源设备-其他电源设备Ⅲ
688072.SH,17,688072,电子-半导体-半导体设备
300136.SZ,33,300136,电子-消费电子-消费电子零部件及组装
002903.SZ,33,002903,机械设备-通用设备-机床工具
603859.SH,17,603859,计算机-IT服务-IT服务Ⅲ
688628.SH,17,688628,机械设备-通用设备-仪器仪表
300684.SZ,33,300684,电子-电子化学品-电子化学品Ⅲ
300840.SZ,33,300840,纺织服饰-服装家纺-服装
301428.SZ,33,301428,通信-通信服务-通信应用增值服务
688200.SH,17,688200,电子-半导体-半导体设备
688099.SH,17,688099,电子-半导体-数字芯片设计
300964.SZ,33,300964,电子-元件-印制电路板
920438.BJ,151,920438,电子-光学光电子-光学元件
920564.BJ,151,920564,计算机-IT服务-IT服务Ⅲ
688002.SH,17,688002,国防军工-军工电子-军工电子Ⅲ
688685.SH,17,688685,国防军工-军工装备-航空装备
300781.SZ,33,300781,传媒-文化传媒-广告营销
603158.SH,17,603158,汽车-汽车零部件-底盘与发动机系统
605123.SH,17,605123,国防军工-军工装备-航空装备
688361.SH,17,688361,电子-半导体-半导体设备
688662.SH,17,688662,电子-其他电子-其他电子Ⅲ
688503.SH,17,688503,电力设备-光伏设备-光伏辅材
300323.SZ,33,300323,电子-光学光电子-LED
688615.SH,17,688615,计算机-软件开发-垂直应用软件
300133.SZ,33,300133,传媒-影视院线-影视院线Ⅲ
300885.SZ,33,300885,机械设备-通用设备-金属制品
000415.SZ,33,000415,非银金融-多元金融-多元金融Ⅲ
688629.SH,17,688629,国防军工-军工电子-军工电子Ⅲ
688416.SH,17,688416,电子-半导体-数字芯片设计
601168.SH,17,601168,有色金属-工业金属-铜
688577.SH,17,688577,机械设备-通用设备-机床工具
002156.SZ,33,002156,电子-半导体-集成电路封测
600988.SH,17,600988,有色金属-贵金属-贵金属Ⅲ
301326.SZ,33,301326,电子-消费电子-消费电子零部件及组装
301120.SZ,33,301120,电力设备-电网设备-输变电设备
920662.BJ,151,920662,机械设备-通用设备-其他通用设备
301279.SZ,33,301279,机械设备-工程机械-工程机械Ⅲ
688419.SH,17,688419,机械设备-专用设备-其他专用设备
300182.SZ,33,300182,传媒-影视院线-影视院线Ⅲ
603773.SH,17,603773,电子-光学光电子-面板
688102.SH,17,688102,有色金属-金属新材料-其他金属新材料
300852.SZ,33,300852,电子-元件-印制电路板
605358.SH,17,605358,电子-半导体-半导体材料
003018.SZ,33,003018,轻工制造-包装印刷-包装
920640.BJ,151,920640,通信-通信设备-通信网络设备及器件
688768.SH,17,688768,机械设备-通用设备-仪器仪表
000960.SZ,33,000960,有色金属-小金属-其他小金属
600893.SH,17,600893,国防军工-军工装备-航空装备
301159.SZ,33,301159,计算机-软件开发-垂直应用软件
000065.SZ,33,000065,建筑装饰-建筑装饰-专业工程
301630.SZ,33,301630,电子-电子化学品-电子化学品Ⅲ
688680.SH,17,688680,电力设备-光伏设备-光伏辅材
688619.SH,17,688619,计算机-计算机设备-安防设备
688233.SH,17,688233,电子-半导体-半导体材料
300594.SZ,33,300594,机械设备-轨交设备-轨交设备Ⅲ
688435.SH,17,688435,计算机-软件开发-横向通用软件
688510.SH,17,688510,国防军工-军工装备-航空装备
301377.SZ,33,301377,机械设备-通用设备-金属制品
300578.SZ,33,300578,通信-通信服务-通信应用增值服务
688012.SH,17,688012,电子-半导体-半导体设备
300242.SZ,33,300242,传媒-文化传媒-广告营销
688093.SH,17,688093,电子-其他电子-其他电子Ⅲ
600489.SH,17,600489,有色金属-贵金属-贵金属Ⅲ
301128.SZ,33,301128,机械设备-专用设备-其他专用设备
002993.SZ,33,002993,电子-消费电子-消费电子零部件及组装
300984.SZ,33,300984,机械设备-通用设备-其他通用设备
301365.SZ,33,301365,建筑装饰-建筑装饰-工程咨询服务
300369.SZ,33,300369,计算机-软件开发-横向通用软件
002757.SZ,33,002757,机械设备-专用设备-其他专用设备
002126.SZ,33,002126,汽车-汽车零部件-底盘与发动机系统
301045.SZ,33,301045,电子-光学光电子-面板
688262.SH,17,688262,电子-半导体-数字芯片设计
600584.SH,17,600584,电子-半导体-集成电路封测
301299.SZ,33,301299,传媒-文化传媒-数字媒体
688083.SH,17,688083,计算机-软件开发-垂直应用软件
300921.SZ,33,300921,通信-通信服务-通信应用增值服务
920670.BJ,151,920670,医药生物-医疗服务-其他医疗服务
300296.SZ,33,300296,电子-光学光电子-LED
688059.SH,17,688059,机械设备-通用设备-金属制品
920953.BJ,151,920953,计算机-IT服务-IT服务Ⅲ
688114.SH,17,688114,医药生物-医疗器械-医疗设备
688027.SH,17,688027,通信-通信设备-通信终端及配件
300417.SZ,33,300417,机械设备-通用设备-仪器仪表
300458.SZ,33,300458,电子-半导体-数字芯片设计
688409.SH,17,688409,电子-半导体-半导体设备
300324.SZ,33,300324,计算机-计算机设备-其他计算机设备
300969.SZ,33,300969,汽车-汽车零部件-其他汽车零部件
301548.SZ,33,301548,机械设备-通用设备-金属制品
920924.BJ,151,920924,通信-通信服务-通信工程及服务
688610.SH,17,688610,机械设备-通用设备-仪器仪表
301421.SZ,33,301421,电子-光学光电子-光学元件
300870.SZ,33,300870,电力设备-其他电源设备-其他电源设备Ⅲ
603738.SH,17,603738,电子-元件-被动元件
601567.SH,17,601567,电力设备-电网设备-输变电设备
300496.SZ,33,300496,计算机-IT服务-IT服务Ⅲ
688523.SH,17,688523,国防军工-军工装备-航天装备
300775.SZ,33,300775,国防军工-军工装备-航空装备
603893.SH,17,603893,电子-半导体-数字芯片设计
688378.SH,17,688378,电子-电子化学品-电子化学品Ⅲ
301536.SZ,33,301536,电子-半导体-数字芯片设计
002475.SZ,33,002475,电子-消费电子-消费电子零部件及组装
688559.SH,17,688559,机械设备-自动化设备-激光设备
688313.SH,17,688313,通信-通信设备-通信网络设备及器件
603588.SH,17,603588,环保-环境治理-固废治理
603533.SH,17,603533,传媒-文化传媒-数字媒体
920130.BJ,151,920130,计算机-IT服务-IT服务Ⅲ
300830.SZ,33,300830,计算机-软件开发-垂直应用软件
301123.SZ,33,301123,电子-消费电子-消费电子零部件及组装
301196.SZ,33,301196,基础化工-塑料制品-其他塑料制品
301345.SZ,33,301345,汽车-汽车服务及其他-其他运输设备
300201.SZ,33,300201,机械设备-工程机械-工程机械Ⅲ
688152.SH,17,688152,计算机-软件开发-横向通用软件
301169.SZ,33,301169,社会服务-其他社会服务-专业服务
300476.SZ,33,300476,电子-元件-印制电路板
000628.SZ,33,000628,建筑装饰-建筑装饰-房屋建设
920036.BJ,151,920036,计算机-计算机设备-安防设备
301568.SZ,33,301568,机械设备-自动化设备-其他自动化设备
688512.SH,17,688512,电子-半导体-模拟芯片设计
688135.SH,17,688135,电子-半导体-集成电路封测
603061.SH,17,603061,电子-半导体-半导体设备
600545.SH,17,600545,机械设备-专用设备-纺织服装设备
688347.SH,17,688347,电子-半导体-集成电路制造
688088.SH,17,688088,计算机-IT服务-IT服务Ⅲ
600482.SH,17,600482,电力设备-其他电源设备-其他电源设备Ⅲ
002837.SZ,33,002837,机械设备-专用设备-其他专用设备
600029.SH,17,600029,交通运输-机场航运-航空运输
688231.SH,17,688231,国防军工-军工装备-航空装备
688207.SH,17,688207,计算机-IT服务-IT服务Ⅲ
603936.SH,17,603936,电子-元件-印制电路板
603228.SH,17,603228,电子-元件-印制电路板
300032.SZ,33,300032,电子-消费电子-消费电子零部件及组装
688035.SH,17,688035,电子-电子化学品-电子化学品Ⅲ
688591.SH,17,688591,电子-半导体-数字芯片设计
688362.SH,17,688362,电子-半导体-集成电路封测
300838.SZ,33,300838,机械设备-通用设备-金属制品
300223.SZ,33,300223,电子-半导体-数字芯片设计
002429.SZ,33,002429,家用电器-黑色家电-彩电
920100.BJ,151,920100,电力设备-电机-电机Ⅲ
002448.SZ,33,002448,汽车-汽车零部件-底盘与发动机系统
000603.SZ,33,000603,有色金属-工业金属-铅锌
301157.SZ,33,301157,电力设备-其他电源设备-其他电源设备Ⅲ
688372.SH,17,688372,电子-半导体-集成电路封测
688611.SH,17,688611,电力设备-电网设备-电气自控设备
002418.SZ,33,002418,家用电器-白色家电-家电零部件
603887.SH,17,603887,通信-通信服务-通信应用增值服务
688191.SH,17,688191,计算机-IT服务-IT服务Ⅲ
300803.SZ,33,300803,计算机-软件开发-垂直应用软件
300520.SZ,33,300520,计算机-软件开发-垂直应用软件
300102.SZ,33,300102,电子-光学光电子-LED
600667.SH,17,600667,建筑装饰-建筑装饰-工程咨询服务
