所属同花顺行业,market_code,code,股票代码
有色金属-工业金属-铜,17,601212,601212.SH
综合-综合-综合Ⅲ,17,600770,600770.SH
机械设备-专用设备-纺织服装设备,17,603095,603095.SH
电子-元件-印制电路板,33,002815,002815.SZ
电子-电子化学品-电子化学品Ⅲ,17,600330,600330.SH
公用事业-电力-热力,33,001376,001376.SZ
商贸零售-贸易-贸易Ⅲ,33,002183,002183.SZ
电力设备-光伏设备-光伏电池组件,17,603778,603778.SH
机械设备-通用设备-金属制品,33,001379,001379.SZ
基础化工-塑料制品-膜材料,17,605488,605488.SH
国防军工-军工装备-航空装备,33,002985,002985.SZ
电子-元件-印制电路板,33,002636,002636.SZ
机械设备-通用设备-金属制品,33,002342,002342.SZ
机械设备-通用设备-金属制品,33,002931,002931.SZ
交通运输-物流-物流Ⅲ,33,001202,001202.SZ
电子-消费电子-消费电子零部件及组装,17,605277,605277.SH
电子-光学光电子-光学元件,33,001373,001373.SZ
电力设备-光伏设备-光伏电池组件,33,002865,002865.SZ
汽车-汽车零部件-底盘与发动机系统,17,603040,603040.SH
电力设备-电网设备-输变电设备,17,600192,600192.SH
机械设备-通用设备-机床工具,33,002943,002943.SZ
石油石化-石油加工贸易-油品石化贸易,33,001316,001316.SZ
电子-元件-印制电路板,33,002938,002938.SZ
有色金属-小金属-其他小金属,33,002149,002149.SZ
通信-通信服务-通信工程及服务,17,603220,603220.SH
通信-通信服务-通信应用增值服务,33,000839,000839.SZ
建筑材料-建筑材料-玻璃玻纤,33,002201,002201.SZ
电子-元件-印制电路板,33,001389,001389.SZ
国防军工-军工装备-航空装备,17,600391,600391.SH
纺织服饰-服装家纺-鞋帽及其他,17,603665,603665.SH
机械设备-专用设备-能源及重型设备,33,001288,001288.SZ
电子-电子化学品-电子化学品Ⅲ,17,603256,603256.SH
轻工制造-包装印刷-包装,33,002969,002969.SZ
商贸零售-贸易-贸易Ⅲ,17,600058,600058.SH
电子-电子化学品-电子化学品Ⅲ,17,603078,603078.SH
计算机-计算机设备-安防设备,17,605118,605118.SH
机械设备-通用设备-其他通用设备,33,000880,000880.SZ
机械设备-通用设备-制冷空调设备,33,002639,002639.SZ
汽车-汽车零部件-底盘与发动机系统,17,603305,603305.SH
国防军工-军工电子-军工电子Ⅲ,33,002519,002519.SZ
电子-半导体-分立器件,17,605111,605111.SH
农林牧渔-养殖业-动物保健,33,002141,002141.SZ
轻工制造-包装印刷-包装,33,002565,002565.SZ
有色金属-贵金属-贵金属Ⅲ,33,002716,002716.SZ
计算机-软件开发-横向通用软件,33,002279,002279.SZ
建筑材料-建筑材料-玻璃玻纤,17,603601,603601.SH
国防军工-军工装备-航空装备,33,002297,002297.SZ
汽车-汽车零部件-车身附件及饰件,33,002420,002420.SZ
公用事业-电力-水电,17,600868,600868.SH
煤炭-煤炭开采加工-煤炭开采,17,600403,600403.SH
建筑装饰-建筑装饰-基础建设,33,002629,002629.SZ
汽车-汽车零部件-底盘与发动机系统,33,002283,002283.SZ
环保-环境治理-固废治理,33,002266,002266.SZ
建筑材料-建筑材料-其他建材,33,002785,002785.SZ
公用事业-燃气-燃气Ⅲ,33,000407,000407.SZ
建筑装饰-建筑装饰-专业工程,17,600477,600477.SH
纺织服饰-服装家纺-鞋帽及其他,17,603001,603001.SH
汽车-汽车零部件-汽车电子电气系统,33,002937,002937.SZ
电力设备-光伏设备-光伏加工设备,33,300751,300751.SZ
计算机-计算机设备-其他计算机设备,33,000066,000066.SZ
机械设备-通用设备-其他通用设备,17,600343,600343.SH
国防军工-军工电子-军工电子Ⅲ,33,002413,002413.SZ
建筑装饰-建筑装饰-工程咨询服务,33,301024,301024.SZ
国防军工-军工装备-航空装备,17,688239,688239.SH
基础化工-化学制品-其他化学制品,17,688196,688196.SH
电力设备-光伏设备-光伏辅材,17,688033,688033.SH
电子-元件-印制电路板,17,688519,688519.SH
汽车-汽车整车-商用载客车,17,600686,600686.SH
电子-半导体-数字芯片设计,17,688047,688047.SH
石油石化-油气开采及服务-油服工程,17,600871,600871.SH
环保-环保设备-环保设备Ⅲ,33,300385,300385.SZ
石油石化-油气开采及服务-油气开采,33,300191,300191.SZ
国防军工-军工装备-航天装备,17,688523,688523.SH
国防军工-军工装备-航空装备,17,688510,688510.SH
基础化工-塑料制品-改性塑料,33,300221,300221.SZ
机械设备-自动化设备-其他自动化设备,33,301200,301200.SZ
电力设备-风电设备-风电零部件,33,301232,301232.SZ
电力设备-光伏设备-光伏加工设备,17,688726,688726.SH
计算机-IT服务-IT服务Ⅲ,33,300440,300440.SZ
基础化工-非金属材料-非金属材料Ⅲ,17,605086,605086.SH
建筑材料-建筑材料-其他建材,33,002271,002271.SZ
国防军工-军工装备-航天装备,17,601698,601698.SH
纺织服饰-纺织制造-其他纺织,33,300819,300819.SZ
建筑装饰-建筑装饰-装饰园林,33,002663,002663.SZ
机械设备-通用设备-磨具磨料,17,688028,688028.SH
电力设备-光伏设备-光伏辅材,17,688680,688680.SH
机械设备-自动化设备-其他自动化设备,17,688003,688003.SH
电子-元件-印制电路板,33,300852,300852.SZ
电子-电子化学品-电子化学品Ⅲ,17,688020,688020.SH
轻工制造-家居用品-定制家居,33,002853,002853.SZ
石油石化-油气开采及服务-油气开采,17,603619,603619.SH
通信-通信设备-通信网络设备及器件,33,300098,300098.SZ
电子-元件-印制电路板,33,002579,002579.SZ
电子-元件-印制电路板,33,002916,002916.SZ
机械设备-通用设备-金属制品,33,300228,300228.SZ
计算机-软件开发-垂直应用软件,33,300935,300935.SZ
国防军工-军工装备-航空装备,33,300777,300777.SZ
国防军工-军工装备-航海装备,17,600685,600685.SH
基础化工-化学原料-无机盐,17,600929,600929.SH
家用电器-白色家电-冰洗,17,600336,600336.SH
传媒-文化传媒-广告营销,17,600986,600986.SH
电子-半导体-模拟芯片设计,17,688045,688045.SH
电力设备-其他电源设备-其他电源设备Ⅲ,17,600482,600482.SH
机械设备-通用设备-金属制品,33,301137,301137.SZ
通信-通信设备-其他通信设备,17,688283,688283.SH
电子-光学光电子-LED,17,603685,603685.SH
钢铁-钢铁-特钢,33,002075,002075.SZ
国防军工-军工装备-航空装备,33,300719,300719.SZ
社会服务-其他社会服务-专业服务,33,300662,300662.SZ
轻工制造-造纸-造纸Ⅲ,151,920394,920394.BJ
电子-元件-印制电路板,17,600183,600183.SH
建筑材料-建筑材料-玻璃玻纤,33,301526,301526.SZ
建筑装饰-建筑装饰-装饰园林,17,605287,605287.SH
基础化工-农化制品-磷肥及磷化工,17,603077,603077.SH
机械设备-通用设备-其他通用设备,17,603090,603090.SH
基础化工-化学制品-涂料油墨,33,300225,300225.SZ
医药生物-化学制药-原料药,17,605177,605177.SH
有色金属-工业金属-铝,33,002824,002824.SZ
机械设备-工程机械-工程机械Ⅲ,151,920706,920706.BJ
基础化工-塑料制品-其他塑料制品,33,300980,300980.SZ
电子-其他电子-其他电子Ⅲ,33,300650,300650.SZ
电力设备-电网设备-电气自控设备,33,300407,300407.SZ
国防军工-军工装备-航空装备,33,000738,000738.SZ
交通运输-物流-物流Ⅲ,17,600603,600603.SH
通信-通信设备-通信网络设备及器件,33,300308,300308.SZ
机械设备-专用设备-能源及重型设备,17,688377,688377.SH
基础化工-化学制品-氟化工,33,002326,002326.SZ
社会服务-其他社会服务-专业服务,17,688757,688757.SH
轻工制造-家居用品-瓷砖地板,33,301356,301356.SZ
建筑装饰-建筑装饰-基础建设,17,601611,601611.SH
机械设备-通用设备-金属制品,33,300402,300402.SZ
建筑装饰-建筑装饰-工程咨询服务,151,920892,920892.BJ
医药生物-生物制品-其他生物制品,33,000534,000534.SZ
医药生物-化学制药-化学制剂,17,688799,688799.SH
国防军工-军工电子-军工电子Ⅲ,17,688552,688552.SH
基础化工-非金属材料-非金属材料Ⅲ,17,603826,603826.SH
电力设备-光伏设备-光伏电池组件,33,300118,300118.SZ
汽车-汽车零部件-底盘与发动机系统,17,603926,603926.SH
轻工制造-造纸-造纸Ⅲ,17,600963,600963.SH
传媒-游戏-游戏Ⅲ,33,002919,002919.SZ
基础化工-化学制品-其他化学制品,33,300072,300072.SZ
电子-消费电子-消费电子零部件及组装,17,603052,603052.SH
通信-通信设备-通信线缆及配套,17,600105,600105.SH
基础化工-化学原料-钛白粉,33,002601,002601.SZ
有色金属-金属新材料-其他金属新材料,17,688102,688102.SH
电力设备-光伏设备-光伏加工设备,33,300316,300316.SZ
电子-半导体-分立器件,17,688498,688498.SH
传媒-影视院线-影视院线Ⅲ,33,001330,001330.SZ
电力设备-电网设备-线缆部件及其他,33,002498,002498.SZ
电力设备-光伏设备-光伏加工设备,151,920368,920368.BJ
通信-通信服务-通信应用增值服务,33,002467,002467.SZ
通信-通信服务-通信工程及服务,33,002115,002115.SZ
医药生物-医药商业-药店,33,301408,301408.SZ
汽车-汽车零部件-其他汽车零部件,17,603239,603239.SH
机械设备-专用设备-能源及重型设备,33,300480,300480.SZ
石油石化-油气开采及服务-油气开采,17,603393,603393.SH
轻工制造-家居用品-定制家居,17,603898,603898.SH
国防军工-军工装备-航天装备,17,600879,600879.SH
国防军工-军工装备-航海装备,33,300008,300008.SZ
社会服务-旅游及酒店-旅游综合,17,603402,603402.SH
计算机-IT服务-IT服务Ⅲ,151,920116,920116.BJ
商贸零售-互联网电商-互联网电商Ⅲ,33,301381,301381.SZ
基础化工-化学制品-其他化学制品,17,603010,603010.SH
食品饮料-饮料制造-其他酒类,17,603779,603779.SH
传媒-文化传媒-电视广播,151,920021,920021.BJ
通信-通信设备-通信网络设备及器件,33,300394,300394.SZ
医药生物-医疗服务-医疗研发外包,17,688710,688710.SH
国防军工-军工装备-航空装备,17,600372,600372.SH
公用事业-燃气-燃气Ⅲ,17,605090,605090.SH
电子-消费电子-消费电子零部件及组装,33,301329,301329.SZ
基础化工-橡胶制品-其他橡胶制品,151,920665,920665.BJ
电力设备-电机-电机Ⅲ,33,301023,301023.SZ
基础化工-化学制品-其他化学制品,151,920957,920957.BJ
国防军工-军工装备-航海装备,33,300065,300065.SZ
有色金属-金属新材料-其他金属新材料,33,301522,301522.SZ
建筑装饰-建筑装饰-专业工程,17,605598,605598.SH
电子-消费电子-消费电子零部件及组装,17,603380,603380.SH
电力设备-光伏设备-光伏加工设备,17,688556,688556.SH
汽车-汽车零部件-其他汽车零部件,33,301005,301005.SZ
国防军工-军工电子-军工电子Ⅲ,33,002414,002414.SZ
公用事业-电力-新能源发电,33,002218,002218.SZ
电子-半导体-数字芯片设计,17,688766,688766.SH
电子-其他电子-其他电子Ⅲ,33,002130,002130.SZ
机械设备-通用设备-金属制品,33,000777,000777.SZ
建筑材料-建筑材料-其他建材,33,002043,002043.SZ
机械设备-专用设备-其他专用设备,33,300382,300382.SZ
电力设备-风电设备-风电整机,33,002202,002202.SZ
电子-其他电子-其他电子Ⅲ,33,301031,301031.SZ
电子-半导体-模拟芯片设计,17,600877,600877.SH
电子-半导体-数字芯片设计,17,688416,688416.SH
汽车-汽车服务及其他-其他运输设备,33,003033,003033.SZ
农林牧渔-种植业与林业-其他种植业,17,603336,603336.SH
煤炭-煤炭开采加工-煤炭开采,17,600985,600985.SH
国防军工-军工电子-军工电子Ⅲ,17,600590,600590.SH
石油石化-油气开采及服务-油服工程,151,920088,920088.BJ
食品饮料-饮料制造-其他酒类,17,600084,600084.SH
机械设备-通用设备-金属制品,33,300985,300985.SZ
机械设备-通用设备-磨具磨料,33,002760,002760.SZ
国防军工-军工电子-军工电子Ⅲ,33,300252,300252.SZ
基础化工-农化制品-氮肥,17,600691,600691.SH
基础化工-农化制品-复合肥,33,002470,002470.SZ
环保-环境治理-综合环境治理,17,688701,688701.SH
汽车-汽车零部件-底盘与发动机系统,33,002363,002363.SZ
建筑装饰-建筑装饰-装饰园林,33,002989,002989.SZ
汽车-汽车整车-商用载货车,17,600166,600166.SH
基础化工-农化制品-农药,33,002258,002258.SZ
基础化工-化学制品-其他化学制品,17,603255,603255.SH
机械设备-专用设备-能源及重型设备,151,920781,920781.BJ
家用电器-白色家电-家电零部件,33,301280,301280.SZ
建筑材料-建筑材料-耐火材料,33,002225,002225.SZ
电力设备-电机-电机Ⅲ,17,603988,603988.SH
通信-通信设备-通信终端及配件,33,301191,301191.SZ
国防军工-军工电子-军工电子Ⅲ,33,000547,000547.SZ
轻工制造-包装印刷-包装,33,002735,002735.SZ
机械设备-自动化设备-其他自动化设备,151,920396,920396.BJ
计算机-IT服务-IT服务Ⅲ,17,600536,600536.SH
煤炭-煤炭开采加工-焦炭加工,17,600792,600792.SH
社会服务-其他社会服务-专业服务,151,920122,920122.BJ
农林牧渔-种植业与林业-其他种植业,33,002772,002772.SZ
石油石化-油气开采及服务-油服工程,17,603727,603727.SH
医药生物-化学制药-化学制剂,17,600851,600851.SH
电子-光学光电子-面板,33,300939,300939.SZ
电子-光学光电子-LED,33,300269,300269.SZ
通信-通信设备-通信网络设备及器件,17,688387,688387.SH
机械设备-专用设备-其他专用设备,33,300540,300540.SZ
纺织服饰-服装家纺-服装,33,300005,300005.SZ
基础化工-化学纤维-其他纤维,33,000782,000782.SZ
国防军工-军工装备-航海装备,33,300589,300589.SZ
基础化工-化学原料-纯碱,17,600586,600586.SH
公用事业-燃气-燃气Ⅲ,17,605368,605368.SH
机械设备-专用设备-其他专用设备,33,300472,300472.SZ
国防军工-军工装备-航空装备,17,600765,600765.SH
社会服务-旅游及酒店-餐饮,33,002306,002306.SZ
传媒-文化传媒-数字媒体,22,600228,600228.SH
国防军工-军工电子-军工电子Ⅲ,33,300397,300397.SZ
有色金属-工业金属-铝,33,000612,000612.SZ
纺织服饰-服装家纺-饰品,22,600735,600735.SH
基础化工-化学原料-煤化工,33,000830,000830.SZ
钢铁-钢铁-普钢,33,000761,000761.SZ
计算机-计算机设备-安防设备,33,301042,301042.SZ
电力设备-光伏设备-光伏电池组件,33,002459,002459.SZ
有色金属-能源金属-镍,17,605376,605376.SH
机械设备-专用设备-楼宇设备,33,002689,002689.SZ
汽车-汽车零部件-底盘与发动机系统,33,002592,002592.SZ
通信-通信设备-通信网络设备及器件,17,688668,688668.SH
汽车-汽车零部件-底盘与发动机系统,17,603009,603009.SH
机械设备-专用设备-纺织服装设备,17,600302,600302.SH
钢铁-钢铁-普钢,17,600307,600307.SH
通信-通信设备-通信网络设备及器件,33,300620,300620.SZ
国防军工-军工电子-军工电子Ⅲ,33,001270,001270.SZ
国防军工-军工装备-航空装备,22,603261,603261.SH
纺织服饰-纺织制造-棉纺,17,601339,601339.SH
计算机-软件开发-横向通用软件,33,000004,000004.SZ
建筑装饰-建筑装饰-基础建设,22,603843,603843.SH
电力设备-电网设备-输变电设备,22,600525,600525.SH
煤炭-煤炭开采加工-焦炭加工,17,601015,601015.SH
环保-环保设备-环保设备Ⅲ,33,000551,000551.SZ
建筑材料-建筑材料-其他建材,33,000786,000786.SZ
纺织服饰-服装家纺-服装,33,002569,002569.SZ
国防军工-军工装备-航空装备,17,600862,600862.SH
建筑装饰-建筑装饰-专业工程,33,000032,000032.SZ
医药生物-化学制药-化学制剂,33,002898,002898.SZ
传媒-文化传媒-出版,33,000793,000793.SZ
电子-光学光电子-LED,33,300102,300102.SZ
通信-通信服务-通信工程及服务,22,603559,603559.SH
电子-半导体-数字芯片设计,17,688521,688521.SH
基础化工-非金属材料-非金属材料Ⅲ,151,920675,920675.BJ
环保-环保设备-环保设备Ⅲ,33,000820,000820.SZ
机械设备-轨交设备-轨交设备Ⅲ,17,688009,688009.SH
电子-半导体-数字芯片设计,17,688008,688008.SH
电子-半导体-数字芯片设计,33,300672,300672.SZ
传媒-文化传媒-出版,33,301231,301231.SZ
食品饮料-白酒-白酒Ⅲ,22,600696,600696.SH
交通运输-物流-物流Ⅲ,33,002485,002485.SZ
电力设备-其他电源设备-其他电源设备Ⅲ,33,002052,002052.SZ
电力设备-光伏设备-光伏电池组件,33,300051,300051.SZ
建筑材料-建筑材料-耐火材料,33,002066,002066.SZ
计算机-软件开发-垂直应用软件,33,002253,002253.SZ
机械设备-专用设备-能源及重型设备,33,002278,002278.SZ
机械设备-专用设备-能源及重型设备,33,300084,300084.SZ
基础化工-化学制品-其他化学制品,17,603051,603051.SH
国防军工-军工装备-航空装备,17,688122,688122.SH
机械设备-专用设备-能源及重型设备,33,001225,001225.SZ
有色金属-能源金属-锂,33,002240,002240.SZ
机械设备-专用设备-能源及重型设备,17,601399,601399.SH
建筑装饰-建筑装饰-工程咨询服务,33,300635,300635.SZ
电子-半导体-模拟芯片设计,17,688368,688368.SH
电子-元件-印制电路板,17,688655,688655.SH
计算机-IT服务-IT服务Ⅲ,17,688191,688191.SH
计算机-计算机设备-其他计算机设备,33,300042,300042.SZ
轻工制造-家居用品-瓷砖地板,33,001386,001386.SZ
传媒-文化传媒-广告营销,33,002291,002291.SZ
家用电器-黑色家电-彩电,33,002429,002429.SZ
基础化工-橡胶制品-其他橡胶制品,17,603033,603033.SH
建筑材料-建筑材料-玻璃玻纤,33,002080,002080.SZ
汽车-汽车零部件-其他汽车零部件,33,301535,301535.SZ
非银金融-多元金融-多元金融Ⅲ,33,000415,000415.SZ
钢铁-钢铁-特钢,17,600399,600399.SH
机械设备-专用设备-其他专用设备,17,603011,603011.SH
通信-通信设备-通信网络设备及器件,151,920640,920640.BJ
建筑装饰-建筑装饰-房屋建设,33,000628,000628.SZ
计算机-IT服务-IT服务Ⅲ,33,301396,301396.SZ
通信-通信设备-通信网络设备及器件,33,002792,002792.SZ
建筑装饰-建筑装饰-装饰园林,33,002963,002963.SZ
社会服务-旅游及酒店-旅游综合,33,002627,002627.SZ
石油石化-油气开采及服务-油服工程,17,600968,600968.SH
医药生物-医药商业-药店,33,301017,301017.SZ
电子-半导体-分立器件,33,300373,300373.SZ
计算机-IT服务-IT服务Ⅲ,17,603918,603918.SH
医药生物-医药商业-医药流通,33,002462,002462.SZ
公用事业-燃气-燃气Ⅲ,151,920010,920010.BJ
基础化工-农化制品-农药,33,002513,002513.SZ
国防军工-军工装备-航空装备,151,920642,920642.BJ
计算机-计算机设备-其他计算机设备,33,002512,002512.SZ
建筑装饰-建筑装饰-装饰园林,22,600193,600193.SH
计算机-软件开发-横向通用软件,17,688561,688561.SH
国防军工-军工装备-航天装备,17,688066,688066.SH
商贸零售-贸易-贸易Ⅲ,17,600725,600725.SH
国防军工-军工装备-航空装备,17,600893,600893.SH
轻工制造-家居用品-成品家居,17,600337,600337.SH
电子-元件-印制电路板,33,301628,301628.SZ
食品饮料-食品加工制造-其他食品,17,600530,600530.SH
电子-消费电子-消费电子零部件及组装,151,920267,920267.BJ
机械设备-专用设备-能源及重型设备,151,920931,920931.BJ
计算机-IT服务-IT服务Ⅲ,33,300044,300044.SZ
国防军工-军工装备-航空装备,17,605123,605123.SH
电子-半导体-半导体材料,17,688233,688233.SH
机械设备-通用设备-金属制品,151,920169,920169.BJ
建筑材料-建筑材料-玻璃玻纤,17,601636,601636.SH
机械设备-通用设备-仪器仪表,33,300445,300445.SZ
计算机-软件开发-横向通用软件,17,688168,688168.SH
电子-元件-印制电路板,33,000823,000823.SZ
汽车-汽车零部件-汽车电子电气系统,17,603633,603633.SH
电子-电子化学品-电子化学品Ⅲ,17,688683,688683.SH
公用事业-燃气-燃气Ⅲ,33,002259,002259.SZ
电子-元件-印制电路板,33,301251,301251.SZ
汽车-汽车零部件-汽车电子电气系统,33,301499,301499.SZ
石油石化-油气开采及服务-油气开采,33,300483,300483.SZ
建筑装饰-建筑装饰-工程咨询服务,17,603017,603017.SH
商贸零售-互联网电商-互联网电商Ⅲ,33,300518,300518.SZ
基础化工-塑料制品-合成树脂,33,002361,002361.SZ
电子-半导体-数字芯片设计,33,301308,301308.SZ
计算机-软件开发-横向通用软件,17,603039,603039.SH
农林牧渔-种植业与林业-林业,33,000663,000663.SZ
机械设备-通用设备-其他通用设备,151,920833,920833.BJ
建筑装饰-建筑装饰-工程咨询服务,33,300977,300977.SZ
有色金属-贵金属-贵金属Ⅲ,33,001337,001337.SZ
建筑材料-建筑材料-其他建材,33,002791,002791.SZ
通信-通信服务-通信应用增值服务,33,300442,300442.SZ
食品饮料-饮料制造-乳品,33,002910,002910.SZ
机械设备-通用设备-制冷空调设备,33,000530,000530.SZ
电子-元件-印制电路板,17,688183,688183.SH
计算机-软件开发-横向通用软件,17,688152,688152.SH
计算机-计算机设备-其他计算机设备,33,001339,001339.SZ
轻工制造-家居用品-文娱用品,33,002899,002899.SZ
钢铁-钢铁-特钢,17,600507,600507.SH
房地产-房地产-商业地产,33,000031,000031.SZ
基础化工-农化制品-钾肥,33,002545,002545.SZ
医药生物-医疗服务-医疗研发外包,33,300683,300683.SZ
通信-通信设备-通信线缆及配套,33,300563,300563.SZ
建筑装饰-建筑装饰-专业工程,33,000065,000065.SZ
电力设备-电网设备-线缆部件及其他,33,002560,002560.SZ
电力设备-光伏设备-光伏加工设备,151,920414,920414.BJ
机械设备-工程机械-工程机械Ⅲ,33,301079,301079.SZ
公用事业-电力-电能综合服务,17,600452,600452.SH
计算机-软件开发-横向通用软件,17,600588,600588.SH
石油石化-石油加工贸易-石油加工,33,002493,002493.SZ
煤炭-煤炭开采加工-焦炭加工,17,601011,601011.SH
环保-环境治理-水务及水治理,17,688565,688565.SH
石油石化-石油加工贸易-油品石化贸易,33,000554,000554.SZ
商贸零售-零售-旅游零售,17,600185,600185.SH
汽车-汽车零部件-底盘与发动机系统,33,002434,002434.SZ
基础化工-化学制品-其他化学制品,17,688269,688269.SH
石油石化-石油加工贸易-石油加工,17,600028,600028.SH
国防军工-军工电子-军工电子Ⅲ,17,688081,688081.SH
电力设备-光伏设备-光伏加工设备,33,300724,300724.SZ
基础化工-化学制品-聚氨酯,33,002165,002165.SZ
电子-消费电子-消费电子零部件及组装,33,300843,300843.SZ
钢铁-钢铁-普钢,17,600231,600231.SH
国防军工-军工电子-军工电子Ⅲ,17,603712,603712.SH
电力设备-电网设备-输变电设备,33,300477,300477.SZ
石油石化-油气开采及服务-油气开采,17,600938,600938.SH
汽车-汽车零部件-底盘与发动机系统,17,603950,603950.SH
电力设备-光伏设备-逆变器,17,688348,688348.SH
国防军工-军工装备-航海装备,33,300810,300810.SZ
商贸零售-零售-商业物业经营,17,603682,603682.SH
电力设备-电网设备-输变电设备,33,002346,002346.SZ
通信-通信设备-通信终端及配件,17,603118,603118.SH
机械设备-专用设备-能源及重型设备,33,300095,300095.SZ
机械设备-自动化设备-其他自动化设备,33,300461,300461.SZ
商贸零售-互联网电商-互联网电商Ⅲ,33,300209,300209.SZ
电力设备-光伏设备-硅料硅片,17,600481,600481.SH
综合-综合-综合Ⅲ,33,000833,000833.SZ
机械设备-自动化设备-激光设备,17,688559,688559.SH
基础化工-化学制品-其他化学制品,33,002637,002637.SZ
社会服务-其他社会服务-专业服务,33,300797,300797.SZ
有色金属-工业金属-铅锌,33,000758,000758.SZ
计算机-软件开发-垂直应用软件,33,300598,300598.SZ
汽车-汽车零部件-底盘与发动机系统,33,002553,002553.SZ
国防军工-军工装备-航空装备,33,300424,300424.SZ
建筑材料-建筑材料-玻璃玻纤,17,600176,600176.SH
环保-环境治理-固废治理,33,300779,300779.SZ
社会服务-其他社会服务-专业服务,33,300938,300938.SZ
通信-通信设备-通信网络设备及器件,17,688205,688205.SH
电力设备-电池-锂电池,17,688388,688388.SH
基础化工-农化制品-农药,33,301035,301035.SZ
机械设备-通用设备-仪器仪表,33,300572,300572.SZ
机械设备-通用设备-金属制品,33,301559,301559.SZ
计算机-IT服务-IT服务Ⅲ,151,920564,920564.BJ
计算机-软件开发-垂直应用软件,33,300561,300561.SZ
基础化工-橡胶制品-其他橡胶制品,151,920694,920694.BJ
食品饮料-食品加工制造-调味发酵品,17,603696,603696.SH
房地产-房地产-住宅开发,17,600773,600773.SH
轻工制造-家居用品-其他家居用品,22,600599,600599.SH
传媒-文化传媒-出版,33,002181,002181.SZ
有色金属-工业金属-铜,17,601609,601609.SH
传媒-影视院线-影视院线Ⅲ,33,300528,300528.SZ
电力设备-光伏设备-光伏电池组件,33,300125,300125.SZ
电力设备-光伏设备-光伏电池组件,17,688599,688599.SH
机械设备-自动化设备-工控设备,151,920885,920885.BJ
电子-半导体-数字芯片设计,33,300053,300053.SZ
机械设备-通用设备-仪器仪表,151,920407,920407.BJ
基础化工-化学纤维-涤纶,33,002998,002998.SZ
汽车-汽车零部件-其他汽车零部件,17,600523,600523.SH
基础化工-农化制品-农药,17,603599,603599.SH
医药生物-中药-中药Ⅲ,17,603896,603896.SH
电力设备-电网设备-输变电设备,151,920046,920046.BJ
建筑材料-建筑材料-玻璃玻纤,17,600819,600819.SH
通信-通信设备-通信网络设备及器件,17,600498,600498.SH
家用电器-白色家电-家电零部件,151,920768,920768.BJ
电力设备-电网设备-输变电设备,33,300932,300932.SZ
基础化工-农化制品-氮肥,17,600426,600426.SH
电子-元件-印制电路板,17,603186,603186.SH
电子-电子化学品-电子化学品Ⅲ,17,688150,688150.SH
基础化工-农化制品-农药,17,600389,600389.SH
机械设备-通用设备-磨具磨料,33,300179,300179.SZ
环保-环境治理-综合环境治理,33,002645,002645.SZ
