code,market_code,所属同花顺行业,股票代码
920970,151,基础化工-化学制品-食品及饲料添加剂,920970.BJ
600206,17,电子-半导体-半导体材料,600206.SH
300398,33,电子-电子化学品-电子化学品Ⅲ,300398.SZ
300717,33,基础化工-塑料制品-其他塑料制品,300717.SZ
301629,33,电子-半导体-半导体设备,301629.SZ
688519,17,电子-元件-印制电路板,688519.SH
000668,33,房地产-房地产-住宅开发,000668.SZ
003036,33,机械设备-专用设备-纺织服装设备,003036.SZ
000004,37,计算机-软件开发-横向通用软件,000004.SZ
688772,17,电力设备-电池-锂电池,688772.SH
688387,17,通信-通信设备-通信网络设备及器件,688387.SH
300212,33,计算机-IT服务-IT服务Ⅲ,300212.SZ
300420,33,机械设备-通用设备-其他通用设备,300420.SZ
600520,17,机械设备-专用设备-其他专用设备,600520.SH
300666,33,电子-半导体-半导体材料,300666.SZ
002617,33,公用事业-电力-新能源发电,002617.SZ
301188,33,医药生物-医疗器械-医疗耗材,301188.SZ
301232,33,电力设备-风电设备-风电零部件,301232.SZ
603661,17,轻工制造-家居用品-成品家居,603661.SH
301392,33,机械设备-专用设备-其他专用设备,301392.SZ
000703,33,基础化工-化学纤维-涤纶,000703.SZ
603256,17,电子-电子化学品-电子化学品Ⅲ,603256.SH
002208,33,房地产-房地产-住宅开发,002208.SZ
301046,33,建筑装饰-建筑装饰-基础建设,301046.SZ
603281,17,基础化工-化学制品-有机硅,603281.SH
688605,17,电子-半导体-半导体设备,688605.SH
002787,33,轻工制造-包装印刷-包装,002787.SZ
600619,17,家用电器-白色家电-家电零部件,600619.SH
002668,33,家用电器-白色家电-冰洗,002668.SZ
603010,17,基础化工-化学制品-其他化学制品,603010.SH
605376,17,有色金属-能源金属-镍,605376.SH
002579,33,电子-元件-印制电路板,002579.SZ
601636,17,建筑材料-建筑材料-玻璃玻纤,601636.SH
002225,33,建筑材料-建筑材料-耐火材料,002225.SZ
688361,17,电子-半导体-半导体设备,688361.SH
605358,17,电子-半导体-半导体材料,605358.SH
300293,33,机械设备-专用设备-其他专用设备,300293.SZ
300801,33,基础化工-化学制品-其他化学制品,300801.SZ
688720,17,电子-半导体-半导体材料,688720.SH
002859,33,电子-其他电子-其他电子Ⅲ,002859.SZ
603324,17,环保-环保设备-环保设备Ⅲ,603324.SH
300780,33,机械设备-通用设备-金属制品,300780.SZ
301138,33,机械设备-专用设备-印刷包装机械,301138.SZ
001309,33,电子-半导体-数字芯片设计,001309.SZ
688603,17,电子-电子化学品-电子化学品Ⅲ,688603.SH
600193,21,建筑装饰-建筑装饰-装饰园林,600193.SH
688037,17,电子-半导体-半导体设备,688037.SH
002202,33,电力设备-风电设备-风电整机,002202.SZ
000920,33,基础化工-塑料制品-膜材料,000920.SZ
003009,33,国防军工-军工装备-航天装备,003009.SZ
688516,17,电力设备-光伏设备-光伏加工设备,688516.SH
300320,33,基础化工-橡胶制品-其他橡胶制品,300320.SZ
000551,33,环保-环保设备-环保设备Ⅲ,000551.SZ
300440,33,计算机-IT服务-IT服务Ⅲ,300440.SZ
600667,17,建筑装饰-建筑装饰-工程咨询服务,600667.SH
920576,151,有色金属-金属新材料-其他金属新材料,920576.BJ
688507,17,计算机-软件开发-垂直应用软件,688507.SH
688110,17,电子-半导体-数字芯片设计,688110.SH
002741,33,电子-电子化学品-电子化学品Ⅲ,002741.SZ
300506,33,建筑装饰-建筑装饰-装饰园林,300506.SZ
301421,33,电子-光学光电子-光学元件,301421.SZ
301095,33,计算机-软件开发-垂直应用软件,301095.SZ
002182,33,有色金属-小金属-其他小金属,002182.SZ
002635,33,电子-消费电子-消费电子零部件及组装,002635.SZ
605020,17,基础化工-化学制品-氟化工,605020.SH
300301,33,电子-光学光电子-LED,300301.SZ
688115,17,机械设备-通用设备-仪器仪表,688115.SH
688669,17,基础化工-塑料制品-改性塑料,688669.SH
001322,33,轻工制造-家居用品-其他家居用品,001322.SZ
002587,33,电子-光学光电子-LED,002587.SZ
002783,33,基础化工-化学制品-民爆用品,002783.SZ
300259,33,机械设备-通用设备-仪器仪表,300259.SZ
300901,33,纺织服饰-服装家纺-鞋帽及其他,300901.SZ
002983,33,电子-光学光电子-LED,002983.SZ
002937,33,汽车-汽车零部件-汽车电子电气系统,002937.SZ
603678,17,国防军工-军工电子-军工电子Ⅲ,603678.SH
002871,33,机械设备-通用设备-金属制品,002871.SZ
300840,33,纺织服饰-服装家纺-服装,300840.SZ
300323,33,电子-光学光电子-LED,300323.SZ
600879,17,国防军工-军工装备-航天装备,600879.SH
301005,33,汽车-汽车零部件-其他汽车零部件,301005.SZ
600459,17,有色金属-小金属-其他小金属,600459.SH
688550,17,电子-电子化学品-电子化学品Ⅲ,688550.SH
688426,17,医药生物-医疗器械-体外诊断,688426.SH
002655,33,电子-消费电子-消费电子零部件及组装,002655.SZ
688079,17,电子-光学光电子-光学元件,688079.SH
601226,17,建筑装饰-建筑装饰-专业工程,601226.SH
689009,17,汽车-汽车服务及其他-其他运输设备,689009.SH
002132,33,机械设备-通用设备-金属制品,002132.SZ
600770,17,综合-综合-综合Ⅲ,600770.SH
688233,17,电子-半导体-半导体材料,688233.SH
603004,17,基础化工-化学制品-其他化学制品,603004.SH
300670,33,电力设备-电网设备-输变电设备,300670.SZ
300027,33,传媒-影视院线-影视院线Ⅲ,300027.SZ
688375,17,国防军工-军工电子-军工电子Ⅲ,688375.SH
300446,33,汽车-汽车零部件-车身附件及饰件,300446.SZ
688656,17,医药生物-医疗器械-体外诊断,688656.SH
920077,151,基础化工-化学纤维-其他纤维,920077.BJ
300219,33,电子-光学光电子-LED,300219.SZ
600783,17,非银金融-多元金融-多元金融Ⅲ,600783.SH
688170,17,机械设备-自动化设备-激光设备,688170.SH
605006,17,建筑材料-建筑材料-玻璃玻纤,605006.SH
300093,33,电力设备-光伏设备-光伏电池组件,300093.SZ
300721,33,基础化工-化学制品-其他化学制品,300721.SZ
300537,33,电子-电子化学品-电子化学品Ⅲ,300537.SZ
603002,17,电子-电子化学品-电子化学品Ⅲ,603002.SH
300342,33,家用电器-白色家电-家电零部件,300342.SZ
002080,33,建筑材料-建筑材料-玻璃玻纤,002080.SZ
301257,33,医药生物-医疗服务-医疗研发外包,301257.SZ
000056,33,商贸零售-零售-商业物业经营,000056.SZ
002822,33,房地产-房地产-房地产服务,002822.SZ
000609,33,房地产-房地产-住宅开发,000609.SZ
600007,17,房地产-房地产-商业地产,600007.SH
600660,17,汽车-汽车零部件-车身附件及饰件,600660.SH
920015,151,基础化工-化学制品-有机硅,920015.BJ
000838,33,房地产-房地产-住宅开发,000838.SZ
002816,33,机械设备-专用设备-其他专用设备,002816.SZ
600730,22,社会服务-教育-教育Ⅲ,600730.SH
603595,22,电子-消费电子-消费电子零部件及组装,603595.SH
300751,33,电力设备-光伏设备-光伏加工设备,300751.SZ
600745,22,电子-半导体-分立器件,600745.SH
002713,33,建筑装饰-建筑装饰-装饰园林,002713.SZ
002538,33,基础化工-农化制品-复合肥,002538.SZ
603377,22,社会服务-教育-教育Ⅲ,603377.SH
603297,17,电子-光学光电子-光学元件,603297.SH
600568,22,医药生物-医疗服务-医院,600568.SH
601698,17,国防军工-军工装备-航天装备,601698.SH
603983,17,美容护理-美容护理-化妆品,603983.SH
603313,17,轻工制造-家居用品-成品家居,603313.SH
300395,33,国防军工-军工装备-航空装备,300395.SZ
920001,151,电子-光学光电子-面板,920001.BJ
002427,33,基础化工-化学纤维-涤纶,002427.SZ
301295,33,电力设备-电网设备-输变电设备,301295.SZ
600176,17,建筑材料-建筑材料-玻璃玻纤,600176.SH
920116,151,计算机-IT服务-IT服务Ⅲ,920116.BJ
920078,151,有色金属-金属新材料-其他金属新材料,920078.BJ
688138,17,电子-半导体-半导体材料,688138.SH
688126,17,电子-半导体-半导体材料,688126.SH
600525,22,电力设备-电网设备-输变电设备,600525.SH
600180,22,交通运输-物流-物流Ⅲ,600180.SH
301321,33,电子-光学光电子-面板,301321.SZ
603005,17,电子-半导体-集成电路封测,603005.SH
688093,17,电子-其他电子-其他电子Ⅲ,688093.SH
301030,33,环保-环保设备-环保设备Ⅲ,301030.SZ
300567,33,机械设备-通用设备-仪器仪表,300567.SZ
688459,17,机械设备-轨交设备-轨交设备Ⅲ,688459.SH
300346,33,电子-电子化学品-电子化学品Ⅲ,300346.SZ
688376,17,环保-环保设备-环保设备Ⅲ,688376.SH
603078,17,电子-电子化学品-电子化学品Ⅲ,603078.SH
300214,33,基础化工-化学制品-其他化学制品,300214.SZ
300285,33,电子-电子化学品-电子化学品Ⅲ,300285.SZ
600107,22,纺织服饰-服装家纺-服装,600107.SH
603091,17,轻工制造-家居用品-其他家居用品,603091.SH
300013,33,交通运输-物流-物流Ⅲ,300013.SZ
605277,17,电子-消费电子-消费电子零部件及组装,605277.SH
688120,17,电子-半导体-半导体设备,688120.SH
688783,17,电子-半导体-半导体材料,688783.SH
300938,33,社会服务-其他社会服务-专业服务,300938.SZ
688525,17,电子-半导体-数字芯片设计,688525.SH
920693,151,机械设备-通用设备-金属制品,920693.BJ
688066,22,国防军工-军工装备-航天装备,688066.SH
300655,33,电子-电子化学品-电子化学品Ⅲ,300655.SZ
688061,17,电子-半导体-模拟芯片设计,688061.SH
600178,17,汽车-汽车零部件-底盘与发动机系统,600178.SH
603989,17,电子-元件-被动元件,603989.SH
002409,33,电子-半导体-半导体材料,002409.SZ
688652,17,电子-半导体-半导体设备,688652.SH
603800,17,机械设备-专用设备-其他专用设备,603800.SH
603139,17,医药生物-中药-中药Ⅲ,603139.SH
301345,33,汽车-汽车服务及其他-其他运输设备,301345.SZ
300480,33,机械设备-专用设备-能源及重型设备,300480.SZ
300566,33,电子-光学光电子-光学元件,300566.SZ
301045,33,电子-光学光电子-面板,301045.SZ
002323,33,建筑装饰-建筑装饰-专业工程,002323.SZ
300200,33,基础化工-化学制品-聚氨酯,300200.SZ
603848,17,轻工制造-家居用品-成品家居,603848.SH
603203,17,机械设备-自动化设备-工控设备,603203.SH
600895,17,房地产-房地产-产业地产,600895.SH
300472,33,机械设备-专用设备-其他专用设备,300472.SZ
600596,17,基础化工-农化制品-农药,600596.SH
300656,33,电子-其他电子-其他电子Ⅲ,300656.SZ
300545,33,电子-光学光电子-面板,300545.SZ
300498,33,农林牧渔-养殖业-生猪养殖,300498.SZ
603061,17,电子-半导体-半导体设备,603061.SH
300759,33,医药生物-医疗服务-医疗研发外包,300759.SZ
301178,33,计算机-IT服务-IT服务Ⅲ,301178.SZ
301618,33,基础化工-化学制品-纺织化学用品,301618.SZ
300345,33,电力设备-光伏设备-硅料硅片,300345.SZ
002714,33,农林牧渔-养殖业-生猪养殖,002714.SZ
001269,33,电力设备-光伏设备-光伏辅材,001269.SZ
301186,33,汽车-汽车零部件-其他汽车零部件,301186.SZ
600289,22,通信-通信服务-通信工程及服务,600289.SH
603657,17,家用电器-白色家电-家电零部件,603657.SH
603688,17,基础化工-非金属材料-非金属材料Ⅲ,603688.SH
300650,33,电子-其他电子-其他电子Ⅲ,300650.SZ
600935,17,基础化工-化学原料-氯碱,600935.SH
000925,33,机械设备-轨交设备-轨交设备Ⅲ,000925.SZ
000725,33,电子-光学光电子-面板,000725.SZ
000962,33,有色金属-小金属-其他小金属,000962.SZ
002990,33,计算机-计算机设备-其他计算机设备,002990.SZ
688231,17,国防军工-军工装备-航空装备,688231.SH
600184,17,国防军工-军工装备-地面兵装,600184.SH
600603,17,交通运输-物流-物流Ⅲ,600603.SH
688700,17,机械设备-专用设备-其他专用设备,688700.SH
301348,33,电子-半导体-集成电路封测,301348.SZ
002715,33,汽车-汽车零部件-底盘与发动机系统,002715.SZ
688502,17,电子-光学光电子-光学元件,688502.SH
300710,33,通信-通信设备-通信网络设备及器件,300710.SZ
002833,33,机械设备-专用设备-其他专用设备,002833.SZ
003004,33,计算机-计算机设备-安防设备,003004.SZ
002860,33,家用电器-白色家电-家电零部件,002860.SZ
603773,17,电子-光学光电子-面板,603773.SH
688012,17,电子-半导体-半导体设备,688012.SH
600382,17,钢铁-钢铁-冶钢原料,600382.SH
688175,17,国防军工-军工电子-军工电子Ⅲ,688175.SH
300820,33,电力设备-其他电源设备-其他电源设备Ⅲ,300820.SZ
300761,33,农林牧渔-养殖业-肉鸡养殖,300761.SZ
688721,17,电子-半导体-半导体材料,688721.SH
605009,17,美容护理-美容护理-个护用品,605009.SH
300812,33,电子-消费电子-消费电子零部件及组装,300812.SZ
688216,17,电子-半导体-集成电路封测,688216.SH
603378,22,建筑材料-建筑材料-其他建材,603378.SH
688486,17,电子-半导体-数字芯片设计,688486.SH
301197,33,机械设备-通用设备-仪器仪表,301197.SZ
603386,17,电子-元件-印制电路板,603386.SH
001324,33,机械设备-轨交设备-轨交设备Ⅲ,001324.SZ
300316,33,电力设备-光伏设备-光伏加工设备,300316.SZ
688582,17,电子-半导体-模拟芯片设计,688582.SH
301269,33,计算机-软件开发-垂直应用软件,301269.SZ
300460,33,电子-元件-被动元件,300460.SZ
603668,17,农林牧渔-农产品加工-水产饲料,603668.SH
002541,33,建筑装饰-建筑装饰-专业工程,002541.SZ
600337,22,轻工制造-家居用品-成品家居,600337.SH
301585,33,基础化工-化学制品-纺织化学用品,301585.SZ
002335,33,电力设备-其他电源设备-其他电源设备Ⅲ,002335.SZ
600500,17,基础化工-化学制品-其他化学制品,600500.SH
600239,22,商贸零售-零售-商业物业经营,600239.SH
688386,17,基础化工-塑料制品-膜材料,688386.SH
688206,17,计算机-软件开发-垂直应用软件,688206.SH
688785,17,电子-半导体-半导体设备,688785.SH
603757,17,机械设备-通用设备-其他通用设备,603757.SH
001229,33,计算机-计算机设备-其他计算机设备,001229.SZ
688523,17,国防军工-军工装备-航天装备,688523.SH
002641,33,建筑材料-建筑材料-管材,002641.SZ
600012,17,交通运输-公路铁路运输-高速公路,600012.SH
688200,17,电子-半导体-半导体设备,688200.SH
688219,17,基础化工-塑料制品-改性塑料,688219.SH
603057,17,食品饮料-食品加工制造-休闲食品,603057.SH
300019,33,基础化工-化学制品-有机硅,300019.SZ
300021,33,农林牧渔-种植业与林业-农业综合,300021.SZ
300196,33,建筑材料-建筑材料-玻璃玻纤,300196.SZ
300319,33,电子-元件-被动元件,300319.SZ
300095,33,机械设备-专用设备-能源及重型设备,300095.SZ
688776,17,国防军工-军工电子-军工电子Ⅲ,688776.SH
603806,17,电力设备-光伏设备-光伏辅材,603806.SH
002586,33,建筑装饰-建筑装饰-基础建设,002586.SZ
600857,17,商贸零售-零售-百货零售,600857.SH
002137,33,电子-光学光电子-LED,002137.SZ
605081,21,环保-环境治理-水务及水治理,605081.SH
600630,17,纺织服饰-服装家纺-服装,600630.SH
600641,17,电子-半导体-半导体材料,600641.SH
605111,17,电子-半导体-分立器件,605111.SH
301128,33,机械设备-专用设备-其他专用设备,301128.SZ
300236,33,电子-电子化学品-电子化学品Ⅲ,300236.SZ
300041,33,基础化工-化学制品-有机硅,300041.SZ
603350,17,电力设备-电机-电机Ⅲ,603350.SH
600141,17,基础化工-农化制品-磷肥及磷化工,600141.SH
300080,33,电力设备-光伏设备-光伏辅材,300080.SZ
920186,151,电子-半导体-半导体设备,920186.BJ
605258,17,电子-元件-印制电路板,605258.SH
300347,33,医药生物-医疗服务-医疗研发外包,300347.SZ
600151,17,汽车-汽车零部件-底盘与发动机系统,600151.SH
000935,33,非银金融-多元金融-多元金融Ⅲ,000935.SZ
000333,33,家用电器-白色家电-空调,000333.SZ
605090,17,公用事业-燃气-燃气Ⅲ,605090.SH
603690,17,电子-半导体-半导体设备,603690.SH
603823,17,基础化工-化学制品-涂料油墨,603823.SH
600179,17,交通运输-港口航运-航运,600179.SH
300125,33,公用事业-电力-新能源发电,300125.SZ
300547,33,汽车-汽车零部件-底盘与发动机系统,300547.SZ
600973,17,电力设备-电网设备-线缆部件及其他,600973.SH
300241,33,电子-光学光电子-LED,300241.SZ
002292,33,传媒-影视院线-影视院线Ⅲ,002292.SZ
000025,33,综合-综合-综合Ⅲ,000025.SZ
688270,22,电子-半导体-模拟芯片设计,688270.SH
605178,17,建筑装饰-建筑装饰-装饰园林,605178.SH
300772,33,电力设备-风电设备-风电整机,300772.SZ
300555,33,通信-通信设备-通信终端及配件,300555.SZ
600707,17,电子-光学光电子-面板,600707.SH
300786,33,环保-环保设备-环保设备Ⅲ,300786.SZ
603129,17,汽车-汽车服务及其他-其他运输设备,603129.SH
300745,33,汽车-汽车零部件-汽车电子电气系统,300745.SZ
603477,17,农林牧渔-养殖业-生猪养殖,603477.SH
688531,17,机械设备-专用设备-其他专用设备,688531.SH
603867,17,基础化工-化学制品-其他化学制品,603867.SH
688022,22,机械设备-专用设备-其他专用设备,688022.SH
600586,17,基础化工-化学原料-纯碱,600586.SH
301276,33,纺织服饰-服装家纺-服装,301276.SZ
301306,33,社会服务-其他社会服务-专业服务,301306.SZ
002861,33,电子-消费电子-消费电子零部件及组装,002861.SZ
002183,33,商贸零售-贸易-贸易Ⅲ,002183.SZ
002899,33,轻工制造-家居用品-文娱用品,002899.SZ
688147,17,电子-半导体-半导体设备,688147.SH
601066,17,非银金融-证券-证券Ⅲ,601066.SH
600735,22,纺织服饰-服装家纺-饰品,600735.SH
688627,17,机械设备-专用设备-其他专用设备,688627.SH
603060,17,社会服务-其他社会服务-专业服务,603060.SH
920642,151,国防军工-军工装备-航空装备,920642.BJ
688036,17,电子-消费电子-品牌消费电子,688036.SH
603929,17,建筑装饰-建筑装饰-专业工程,603929.SH
300833,33,机械设备-专用设备-其他专用设备,300833.SZ
600133,17,环保-环境治理-综合环境治理,600133.SH
000591,33,公用事业-电力-新能源发电,000591.SZ
688055,17,电子-光学光电子-面板,688055.SH
603869,22,计算机-IT服务-IT服务Ⅲ,603869.SH
002637,33,基础化工-化学制品-其他化学制品,002637.SZ
688019,17,电子-电子化学品-电子化学品Ⅲ,688019.SH
600567,17,轻工制造-造纸-造纸Ⅲ,600567.SH
300455,33,计算机-计算机设备-其他计算机设备,300455.SZ
003015,33,电子-光学光电子-光学元件,003015.SZ
688352,17,电子-半导体-集成电路封测,688352.SH
000541,33,电子-光学光电子-LED,000541.SZ
301043,33,机械设备-通用设备-制冷空调设备,301043.SZ
300052,33,传媒-游戏-游戏Ⅲ,300052.SZ
002717,33,环保-环境治理-综合环境治理,002717.SZ
688450,17,电力设备-电网设备-电气自控设备,688450.SH
000595,33,公用事业-电力-新能源发电,000595.SZ
600671,17,医药生物-中药-中药Ⅲ,600671.SH
301319,33,电子-电子化学品-电子化学品Ⅲ,301319.SZ
002306,33,社会服务-旅游及酒店-餐饮,002306.SZ
603120,17,基础化工-化学制品-其他化学制品,603120.SH
002733,33,电力设备-电池-其他电池,002733.SZ
603391,17,机械设备-专用设备-能源及重型设备,603391.SH
002546,33,电力设备-电网设备-电气自控设备,002546.SZ
600461,17,环保-环境治理-水务及水治理,600461.SH
688103,17,电子-其他电子-其他电子Ⅲ,688103.SH
300849,33,美容护理-美容护理-化妆品,300849.SZ
920476,151,机械设备-通用设备-仪器仪表,920476.BJ
300429,33,电子-电子化学品-电子化学品Ⅲ,300429.SZ
000002,33,房地产-房地产-住宅开发,000002.SZ
603156,17,食品饮料-饮料制造-软饮料,603156.SH
301337,33,计算机-软件开发-垂直应用软件,301337.SZ
000876,33,农林牧渔-农产品加工-畜禽饲料,000876.SZ
300708,33,电子-光学光电子-LED,300708.SZ
002149,33,有色金属-小金属-其他小金属,002149.SZ
000909,33,房地产-房地产-产业地产,000909.SZ
688035,17,电子-电子化学品-电子化学品Ⅲ,688035.SH
600350,17,交通运输-公路铁路运输-高速公路,600350.SH
300040,33,公用事业-电力-电能综合服务,300040.SZ
600075,17,基础化工-化学原料-氯碱,600075.SH
301678,33,电子-半导体-半导体材料,301678.SZ
300010,33,社会服务-教育-教育Ⅲ,300010.SZ
603212,17,电力设备-光伏设备-光伏辅材,603212.SH
920981,151,电子-元件-被动元件,920981.BJ
300005,33,纺织服饰-服装家纺-服装,300005.SZ
002371,33,电子-半导体-半导体设备,002371.SZ
605128,17,汽车-汽车零部件-车身附件及饰件,605128.SH
300985,33,机械设备-通用设备-金属制品,300985.SZ
300416,33,社会服务-其他社会服务-专业服务,300416.SZ
002643,33,电子-电子化学品-电子化学品Ⅲ,002643.SZ
000417,33,商贸零售-零售-百货零售,000417.SZ
600198,17,电子-半导体-数字芯片设计,600198.SH
600071,17,电子-光学光电子-光学元件,600071.SH
600497,17,有色金属-工业金属-铅锌,600497.SH
003026,33,电子-半导体-半导体材料,003026.SZ
300401,33,医药生物-化学制药-原料药,300401.SZ
001359,33,基础化工-非金属材料-非金属材料Ⅲ,001359.SZ
300689,33,通信-通信设备-通信终端及配件,300689.SZ
000547,33,国防军工-军工电子-军工电子Ⅲ,000547.SZ
920083,151,基础化工-非金属材料-非金属材料Ⅲ,920083.BJ
301115,33,社会服务-其他社会服务-专业服务,301115.SZ
920179,151,电子-半导体-半导体材料,920179.BJ
600510,17,房地产-房地产-住宅开发,600510.SH
301511,33,电力设备-电池-锂电池,301511.SZ
688289,17,医药生物-医疗器械-体外诊断,688289.SH
003013,33,建筑装饰-建筑装饰-工程咨询服务,003013.SZ
603726,17,家用电器-白色家电-家电零部件,603726.SH
300304,33,汽车-汽车零部件-汽车电子电气系统,300304.SZ
688046,17,医药生物-医疗服务-医疗研发外包,688046.SH
600678,22,建筑材料-建筑材料-水泥,600678.SH
000700,33,汽车-汽车零部件-车身附件及饰件,000700.SZ
300072,33,基础化工-化学制品-其他化学制品,300072.SZ
301366,33,电子-元件-印制电路板,301366.SZ
600237,17,电子-元件-被动元件,600237.SH
