所属同花顺行业,code,market_code,股票代码
医药生物-中药-中药Ⅲ,603139,17,603139.SH
公用事业-燃气-燃气Ⅲ,603689,17,603689.SH
石油石化-油气开采及服务-油气开采,600938,17,600938.SH
电力设备-电网设备-电气自控设备,002980,33,002980.SZ
公用事业-燃气-燃气Ⅲ,603706,17,603706.SH
电力设备-电网设备-输变电设备,002350,33,002350.SZ
机械设备-自动化设备-工控设备,002957,33,002957.SZ
石油石化-油气开采及服务-油气开采,603619,17,603619.SH
公用事业-燃气-燃气Ⅲ,600903,17,600903.SH
电力设备-光伏设备-光伏电池组件,603778,17,603778.SH
公用事业-燃气-燃气Ⅲ,603053,17,603053.SH
电子-光学光电子-面板,002952,33,002952.SZ
石油石化-油气开采及服务-油服工程,603727,17,603727.SH
石油石化-石油加工贸易-油品石化贸易,603353,17,603353.SH
石油石化-石油加工贸易-石油加工,600028,17,600028.SH
石油石化-油气开采及服务-油服工程,002207,33,002207.SZ
交通运输-港口航运-航运,600026,17,600026.SH
通信-通信设备-通信线缆及配套,002491,33,002491.SZ
基础化工-化学原料-煤化工,600722,17,600722.SH
交通运输-港口航运-航运,601022,17,601022.SH
公用事业-燃气-燃气Ⅲ,603318,17,603318.SH
公用事业-燃气-燃气Ⅲ,002267,33,002267.SZ
公用事业-燃气-燃气Ⅲ,600333,17,600333.SH
石油石化-油气开采及服务-油服工程,600583,17,600583.SH
建筑材料-建筑材料-水泥,603616,17,603616.SH
公用事业-燃气-燃气Ⅲ,000421,33,000421.SZ
石油石化-油气开采及服务-油气开采,600759,17,600759.SH
交通运输-港口航运-航运,601975,17,601975.SH
交通运输-港口航运-航运,600798,17,600798.SH
公用事业-燃气-燃气Ⅲ,002700,33,002700.SZ
公用事业-燃气-燃气Ⅲ,000407,33,000407.SZ
公用事业-燃气-燃气Ⅲ,600917,17,600917.SH
公用事业-燃气-燃气Ⅲ,600681,17,600681.SH
石油石化-油气开采及服务-油服工程,600968,17,600968.SH
石油石化-油气开采及服务-油服工程,600871,17,600871.SH
交通运输-港口航运-航运,601919,17,601919.SH
交通运输-港口航运-航运,600428,17,600428.SH
机械设备-专用设备-能源及重型设备,920931,151,920931.BJ
煤炭-煤炭开采加工-焦炭加工,600792,17,600792.SH
公用事业-电力-新能源发电,600956,17,600956.SH
农林牧渔-种植业与林业-种子生产,920087,151,920087.BJ
石油石化-油气开采及服务-油气开采,603393,17,603393.SH
环保-环境治理-固废治理,301500,33,301500.SZ
公用事业-电力-热力,300335,33,300335.SZ
交通运输-港口航运-港口,001872,33,001872.SZ
电力设备-电池-锂电池,300438,33,300438.SZ
煤炭-煤炭开采加工-煤炭开采,600188,17,600188.SH
电子-光学光电子-光学元件,688307,17,688307.SH
基础化工-化学原料-煤化工,600989,17,600989.SH
交通运输-港口航运-航运,000520,33,000520.SZ
石油石化-石油加工贸易-石油加工,000985,33,000985.SZ
机械设备-通用设备-金属制品,920943,151,920943.BJ
电力设备-光伏设备-逆变器,688390,17,688390.SH
基础化工-农化制品-复合肥,920159,151,920159.BJ
交通运输-港口航运-港口,601008,17,601008.SH
汽车-汽车零部件-其他汽车零部件,301613,33,301613.SZ
基础化工-化学制品-其他化学制品,920519,151,920519.BJ
石油石化-石油加工贸易-石油加工,002221,33,002221.SZ
公用事业-燃气-燃气Ⅲ,000593,33,000593.SZ
电力设备-电网设备-电气自控设备,301179,33,301179.SZ
石油石化-石油加工贸易-石油加工,600800,17,600800.SH
基础化工-农化制品-氮肥,600691,17,600691.SH
农林牧渔-养殖业-肉鸡养殖,300967,33,300967.SZ
农林牧渔-农产品加工-其他农产品加工,000911,33,000911.SZ
环保-环境治理-大气治理,920263,151,920263.BJ
轻工制造-包装印刷-包装,920204,151,920204.BJ
基础化工-非金属材料-非金属材料Ⅲ,603663,17,603663.SH
电力设备-光伏设备-逆变器,605117,17,605117.SH
电子-消费电子-消费电子零部件及组装,301626,33,301626.SZ
交通运输-物流-物流Ⅲ,300350,33,300350.SZ
电子-半导体-分立器件,688048,17,688048.SH
石油石化-石油加工贸易-石油加工,300055,33,300055.SZ
公用事业-电力-新能源发电,300317,33,300317.SZ
钢铁-钢铁-冶钢原料,601969,17,601969.SH
机械设备-专用设备-纺织服装设备,603095,17,603095.SH
公用事业-燃气-燃气Ⅲ,605090,17,605090.SH
机械设备-通用设备-金属制品,301268,33,301268.SZ
煤炭-煤炭开采加工-煤炭开采,601898,17,601898.SH
通信-通信设备-通信网络设备及器件,301577,33,301577.SZ
电力设备-电池-锂电池,688063,17,688063.SH
计算机-IT服务-IT服务Ⅲ,688191,17,688191.SH
汽车-汽车零部件-其他汽车零部件,300816,33,300816.SZ
煤炭-煤炭开采加工-煤炭开采,600123,17,600123.SH
交通运输-物流-物流Ⅲ,603836,17,603836.SH
交通运输-港口航运-航运,001205,33,001205.SZ
电力设备-光伏设备-逆变器,688032,17,688032.SH
电力设备-光伏设备-光伏电池组件,300393,33,300393.SZ
机械设备-专用设备-能源及重型设备,300084,33,300084.SZ
基础化工-农化制品-农药,920866,151,920866.BJ
石油石化-石油加工贸易-石油加工,000059,33,000059.SZ
电力设备-光伏设备-逆变器,300763,33,300763.SZ
煤炭-煤炭开采加工-焦炭加工,601011,17,601011.SH
银行-银行-城商行,601963,17,601963.SH
石油石化-石油加工贸易-石油加工,000637,33,000637.SZ
公用事业-电力-火电,600744,17,600744.SH
煤炭-煤炭开采加工-焦炭加工,600408,17,600408.SH
基础化工-化学制品-其他化学制品,300072,33,300072.SZ
基础化工-化学制品-其他化学制品,920974,151,920974.BJ
煤炭-煤炭开采加工-煤炭开采,600508,17,600508.SH
机械设备-通用设备-制冷空调设备,002639,33,002639.SZ
电子-光学光电子-光学元件,002808,33,002808.SZ
基础化工-化学制品-有机硅,605366,17,605366.SH
石油石化-油气开采及服务-油气开采,600777,22,600777.SH
轻工制造-包装印刷-包装,920163,151,920163.BJ
食品饮料-食品加工制造-其他食品,600381,22,600381.SH
交通运输-港口航运-港口,000507,33,000507.SZ
基础化工-农化制品-氮肥,600227,17,600227.SH
汽车-汽车零部件-其他汽车零部件,002921,33,002921.SZ
计算机-软件开发-垂直应用软件,002261,33,002261.SZ
交通运输-物流-物流Ⅲ,002485,33,002485.SZ
非银金融-多元金融-多元金融Ⅲ,603123,17,603123.SH
电力设备-电池-锂电池,301327,33,301327.SZ
基础化工-化学制品-其他化学制品,920832,151,920832.BJ
公用事业-电力-热力,600149,17,600149.SH
农林牧渔-种植业与林业-农业综合,920964,151,920964.BJ
电力设备-风电设备-风电零部件,002531,33,002531.SZ
交通运输-港口航运-航运,600179,17,600179.SH
轻工制造-包装印刷-包装,003018,33,003018.SZ
煤炭-煤炭开采加工-煤炭开采,600997,17,600997.SH
机械设备-专用设备-其他专用设备,300471,33,300471.SZ
基础化工-化学原料-纯碱,000822,33,000822.SZ
通信-通信设备-通信网络设备及器件,300565,33,300565.SZ
机械设备-通用设备-金属制品,002843,33,002843.SZ
医药生物-化学制药-原料药,002001,33,002001.SZ
基础化工-化学制品-其他化学制品,300437,33,300437.SZ
煤炭-煤炭开采加工-焦炭加工,600740,17,600740.SH
电子-元件-印制电路板,002384,33,002384.SZ
基础化工-化学原料-其他化学原料,920304,151,920304.BJ
基础化工-化学制品-食品及饲料添加剂,300829,33,300829.SZ
汽车-汽车零部件-车身附件及饰件,001278,33,001278.SZ
电子-光学光电子-光学元件,002036,33,002036.SZ
建筑装饰-建筑装饰-装饰园林,001267,33,001267.SZ
煤炭-煤炭开采加工-焦炭加工,000723,33,000723.SZ
计算机-计算机设备-其他计算机设备,920090,151,920090.BJ
食品饮料-饮料制造-啤酒,000729,33,000729.SZ
石油石化-石油加工贸易-油品石化贸易,603223,17,603223.SH
机械设备-专用设备-能源及重型设备,920703,151,920703.BJ
基础化工-化学制品-其他化学制品,688196,17,688196.SH
交通运输-港口航运-航运,603209,17,603209.SH
交通运输-港口航运-港口,600279,17,600279.SH
电子-光学光电子-LED,300303,33,300303.SZ
通信-通信服务-通信工程及服务,002929,33,002929.SZ
公用事业-电力-电能综合服务,600979,17,600979.SH
医药生物-化学制药-化学制剂,600513,17,600513.SH
机械设备-专用设备-其他专用设备,300540,33,300540.SZ
银行-银行-国有大型银行,601288,17,601288.SH
基础化工-塑料制品-膜材料,301565,33,301565.SZ
机械设备-专用设备-印刷包装机械,920553,151,920553.BJ
计算机-IT服务-IT服务Ⅲ,002401,33,002401.SZ
农林牧渔-种植业与林业-种子生产,300087,33,300087.SZ
石油石化-石油加工贸易-石油加工,000819,33,000819.SZ
石油石化-石油加工贸易-石油加工,002986,33,002986.SZ
社会服务-其他社会服务-专业服务,300962,33,300962.SZ
汽车-汽车零部件-轮胎轮毂,002725,33,002725.SZ
机械设备-自动化设备-其他自动化设备,603960,17,603960.SH
机械设备-通用设备-其他通用设备,920455,151,920455.BJ
机械设备-通用设备-磨具磨料,300606,33,300606.SZ
计算机-计算机设备-安防设备,002528,33,002528.SZ
机械设备-专用设备-农用机械,920608,151,920608.BJ
医药生物-医疗器械-医疗设备,002432,33,002432.SZ
电子-消费电子-品牌消费电子,300866,33,300866.SZ
煤炭-煤炭开采加工-煤炭开采,600121,17,600121.SH
医药生物-医疗器械-体外诊断,300832,33,300832.SZ
电子-元件-被动元件,300319,33,300319.SZ
电子-元件-印制电路板,688655,17,688655.SH
机械设备-通用设备-制冷空调设备,603187,17,603187.SH
公用事业-电力-电能综合服务,600644,17,600644.SH
银行-银行-农商行,601077,17,601077.SH
国防军工-军工电子-军工电子Ⅲ,301213,33,301213.SZ
机械设备-专用设备-能源及重型设备,603169,17,603169.SH
综合-综合-综合Ⅲ,000833,33,000833.SZ
基础化工-化学制品-其他化学制品,301286,33,301286.SZ
电力设备-光伏设备-光伏电池组件,920770,151,920770.BJ
公用事业-电力-新能源发电,002015,33,002015.SZ
轻工制造-家居用品-其他家居用品,002094,33,002094.SZ
电子-消费电子-品牌消费电子,301606,33,301606.SZ
农林牧渔-农产品加工-其他农产品加工,600737,17,600737.SH
环保-环境治理-大气治理,002549,33,002549.SZ
食品饮料-饮料制造-其他酒类,600084,17,600084.SH
机械设备-专用设备-能源及重型设备,000852,33,000852.SZ
煤炭-煤炭开采加工-煤炭开采,600758,17,600758.SH
纺织服饰-纺织制造-棉纺,601339,17,601339.SH
机械设备-专用设备-其他专用设备,605259,17,605259.SH
食品饮料-饮料制造-乳品,600429,17,600429.SH
石油石化-石油加工贸易-石油加工,002476,33,002476.SZ
电子-电子化学品-电子化学品Ⅲ,688106,17,688106.SH
交通运输-物流-物流Ⅲ,603967,17,603967.SH
农林牧渔-种植业与林业-种子生产,920403,151,920403.BJ
计算机-IT服务-IT服务Ⅲ,920748,151,920748.BJ
医药生物-化学制药-原料药,688076,22,688076.SH
食品饮料-食品加工制造-休闲食品,603057,17,603057.SH
电力设备-光伏设备-光伏电池组件,600732,17,600732.SH
商贸零售-零售-百货零售,601086,17,601086.SH
煤炭-煤炭开采加工-煤炭开采,600546,17,600546.SH
有色金属-贵金属-贵金属Ⅲ,300139,33,300139.SZ
基础化工-化学制品-其他化学制品,920957,151,920957.BJ
农林牧渔-种植业与林业-种子生产,300189,33,300189.SZ
农林牧渔-种植业与林业-种子生产,600313,17,600313.SH
基础化工-化学原料-煤化工,600844,17,600844.SH
交通运输-物流-物流Ⅲ,603128,17,603128.SH
农林牧渔-农产品加工-畜禽饲料,002385,33,002385.SZ
有色金属-贵金属-贵金属Ⅲ,601069,17,601069.SH
交通运输-物流-物流Ⅲ,300240,33,300240.SZ
轻工制造-家居用品-成品家居,920132,151,920132.BJ
电力设备-光伏设备-光伏加工设备,920414,151,920414.BJ
交通运输-物流-物流Ⅲ,001228,33,001228.SZ
基础化工-化学制品-食品及饲料添加剂,920422,151,920422.BJ
电子-光学光电子-LED,301362,33,301362.SZ
基础化工-化学原料-煤化工,600623,17,600623.SH
电力设备-电池-电池化学品,002805,33,002805.SZ
电子-光学光电子-LED,300708,33,300708.SZ
计算机-计算机设备-其他计算机设备,001339,33,001339.SZ
机械设备-自动化设备-其他自动化设备,300757,33,300757.SZ
银行-银行-国有大型银行,601328,17,601328.SH
煤炭-煤炭开采加工-煤炭开采,601088,17,601088.SH
社会服务-旅游及酒店-自然景点,002159,33,002159.SZ
家用电器-厨卫电器-厨卫电器Ⅲ,603551,17,603551.SH
建筑装饰-建筑装饰-专业工程,002135,33,002135.SZ
电子-半导体-分立器件,688498,17,688498.SH
国防军工-军工装备-地面兵装,688543,17,688543.SH
纺织服饰-纺织制造-辅料,920527,151,920527.BJ
银行-银行-国有大型银行,601398,17,601398.SH
农林牧渔-种植业与林业-其他种植业,600359,17,600359.SH
建筑材料-建筑材料-管材,300599,33,300599.SZ
基础化工-橡胶制品-其他橡胶制品,920098,151,920098.BJ
汽车-汽车零部件-底盘与发动机系统,603950,17,603950.SH
机械设备-专用设备-农用机械,920895,151,920895.BJ
计算机-IT服务-IT服务Ⅲ,301638,33,301638.SZ
家用电器-黑色家电-其他黑色家电,688696,17,688696.SH
基础化工-化学制品-食品及饲料添加剂,600299,17,600299.SH
交通运输-港口航运-港口,000905,33,000905.SZ
电力设备-电机-电机Ⅲ,603489,17,603489.SH
机械设备-通用设备-其他通用设备,600243,22,600243.SH
银行-银行-国有大型银行,601939,17,601939.SH
通信-通信设备-通信线缆及配套,603042,17,603042.SH
基础化工-塑料制品-其他塑料制品,688087,17,688087.SH
煤炭-煤炭开采加工-煤炭开采,000983,33,000983.SZ
基础化工-农化制品-农药,603810,17,603810.SH
电力设备-电网设备-线缆部件及其他,603618,17,603618.SH
煤炭-煤炭开采加工-煤炭开采,601101,17,601101.SH
轻工制造-造纸-造纸Ⅲ,605007,17,605007.SH
基础化工-化学制品-其他化学制品,600727,17,600727.SH
银行-银行-国有大型银行,601988,17,601988.SH
煤炭-煤炭开采加工-煤炭开采,000937,33,000937.SZ
房地产-房地产-住宅开发,600683,17,600683.SH
医药生物-中药-中药Ⅲ,600566,17,600566.SH
农林牧渔-养殖业-肉鸡养殖,002982,33,002982.SZ
机械设备-通用设备-其他通用设备,920833,151,920833.BJ
食品饮料-白酒-白酒Ⅲ,600809,17,600809.SH
食品饮料-食品加工制造-预加工食品,002216,33,002216.SZ
电子-消费电子-消费电子零部件及组装,301180,33,301180.SZ
国防军工-军工电子-军工电子Ⅲ,002383,33,002383.SZ
通信-通信设备-通信网络设备及器件,603421,17,603421.SH
煤炭-煤炭开采加工-煤炭开采,601225,17,601225.SH
电子-光学光电子-LED,002638,33,002638.SZ
机械设备-自动化设备-其他自动化设备,688312,17,688312.SH
电力设备-风电设备-风电零部件,300850,33,300850.SZ
有色金属-贵金属-贵金属Ⅲ,001337,33,001337.SZ
煤炭-煤炭开采加工-煤炭开采,601918,17,601918.SH
非银金融-证券-证券Ⅲ,002670,33,002670.SZ
纺织服饰-服装家纺-鞋帽及其他,603665,17,603665.SH
农林牧渔-农产品加工-其他农产品加工,920371,151,920371.BJ
交通运输-港口航运-航运,603167,17,603167.SH
机械设备-通用设备-仪器仪表,920879,151,920879.BJ
机械设备-通用设备-金属制品,603699,17,603699.SH
社会服务-旅游及酒店-自然景点,603199,17,603199.SH
基础化工-塑料制品-合成树脂,300487,33,300487.SZ
环保-环境治理-固废治理,301109,33,301109.SZ
环保-环保设备-环保设备Ⅲ,920802,151,920802.BJ
公用事业-电力-水电,600025,17,600025.SH
汽车-汽车零部件-轮胎轮毂,920020,151,920020.BJ
电子-电子化学品-电子化学品Ⅲ,600330,17,600330.SH
建筑装饰-建筑装饰-专业工程,920057,151,920057.BJ
电力设备-电网设备-电气自控设备,920556,151,920556.BJ
机械设备-专用设备-其他专用设备,920475,151,920475.BJ
通信-通信设备-通信网络设备及器件,301314,33,301314.SZ
电子-半导体-集成电路封测,600584,17,600584.SH
基础化工-塑料制品-其他塑料制品,920871,151,920871.BJ
汽车-汽车零部件-汽车电子电气系统,688667,17,688667.SH
公用事业-电力-火电,600642,17,600642.SH
机械设备-通用设备-仪器仪表,300370,33,300370.SZ
机械设备-通用设备-其他通用设备,920855,151,920855.BJ
机械设备-专用设备-楼宇设备,603356,17,603356.SH
公用事业-电力-热力,605028,17,605028.SH
电力设备-光伏设备-光伏辅材,300080,33,300080.SZ
纺织服饰-服装家纺-饰品,300945,33,300945.SZ
农林牧渔-农产品加工-粮油加工,000505,33,000505.SZ
交通运输-公路铁路运输-铁路运输,600125,17,600125.SH
建筑装饰-建筑装饰-工程咨询服务,920149,151,920149.BJ
汽车-汽车零部件-其他汽车零部件,603358,17,603358.SH
农林牧渔-养殖业-海洋捕捞,000798,33,000798.SZ
基础化工-化学原料-钛白粉,300891,33,300891.SZ
交通运输-公路铁路运输-铁路运输,601816,17,601816.SH
机械设备-工程机械-工程机械Ⅲ,920706,151,920706.BJ
电子-电子化学品-电子化学品Ⅲ,301319,33,301319.SZ
基础化工-橡胶制品-其他橡胶制品,920665,151,920665.BJ
电子-光学光电子-光学元件,688195,17,688195.SH
银行-银行-股份制银行,601998,17,601998.SH
机械设备-专用设备-其他专用设备,600579,17,600579.SH
非银金融-保险-保险Ⅲ,601336,17,601336.SH
计算机-IT服务-IT服务Ⅲ,300339,33,300339.SZ
机械设备-专用设备-印刷包装机械,920810,151,920810.BJ
公用事业-电力-水电,600900,17,600900.SH
电力设备-电池-电池化学品,002812,33,002812.SZ
房地产-房地产-住宅开发,000909,33,000909.SZ
石油石化-石油加工贸易-石油加工,600506,17,600506.SH
非银金融-证券-证券Ⅲ,002797,33,002797.SZ
轻工制造-包装印刷-包装,002846,33,002846.SZ
农林牧渔-农产品加工-畜禽饲料,603363,17,603363.SH
计算机-计算机设备-安防设备,300449,33,300449.SZ
公用事业-电力-水电,600674,17,600674.SH
农林牧渔-养殖业-生猪养殖,603477,17,603477.SH
农林牧渔-农产品加工-其他农产品加工,000930,33,000930.SZ
非银金融-多元金融-多元金融Ⅲ,600318,17,600318.SH
食品饮料-食品加工制造-肉制品,000895,33,000895.SZ
商贸零售-零售-百货零售,000759,33,000759.SZ
机械设备-通用设备-其他通用设备,920950,151,920950.BJ
电力设备-电池-锂电池,002245,33,002245.SZ
煤炭-煤炭开采加工-煤炭开采,600395,17,600395.SH
机械设备-通用设备-金属制品,920679,151,920679.BJ
机械设备-轨交设备-轨交设备Ⅲ,605298,17,605298.SH
银行-银行-股份制银行,600036,17,600036.SH
机械设备-通用设备-其他通用设备,688251,17,688251.SH
食品饮料-白酒-白酒Ⅲ,000995,33,000995.SZ
医药生物-中药-中药Ⅲ,605199,22,605199.SH
医药生物-医疗器械-医疗耗材,300595,33,300595.SZ
医药生物-中药-中药Ⅲ,000999,33,000999.SZ
医药生物-医疗器械-医疗耗材,920180,151,920180.BJ
机械设备-专用设备-其他专用设备,300415,33,300415.SZ
基础化工-化学制品-食品及饲料添加剂,920970,151,920970.BJ
医药生物-化学制药-原料药,920230,151,920230.BJ
农林牧渔-农产品加工-粮油加工,600127,17,600127.SH
交通运输-公路铁路运输-高速公路,601107,17,601107.SH
食品饮料-饮料制造-啤酒,002461,33,002461.SZ
交通运输-港口航运-航运,603565,17,603565.SH
汽车-汽车零部件-底盘与发动机系统,920146,151,920146.BJ
农林牧渔-养殖业-生猪养殖,300498,33,300498.SZ
美容护理-美容护理-个护用品,003006,33,003006.SZ
电力设备-电网设备-线缆部件及其他,920118,151,920118.BJ
交通运输-物流-物流Ⅲ,600794,17,600794.SH
社会服务-旅游及酒店-自然景点,000888,33,000888.SZ
非银金融-保险-保险Ⅲ,601628,17,601628.SH
医药生物-化学制药-原料药,603235,17,603235.SH
食品饮料-饮料制造-啤酒,600132,17,600132.SH
食品饮料-食品加工制造-调味发酵品,920726,151,920726.BJ
交通运输-物流-物流Ⅲ,600755,17,600755.SH
农林牧渔-种植业与林业-种子生产,000998,33,000998.SZ
电力设备-电网设备-输变电设备,603070,17,603070.SH
交通运输-港口航运-港口,600018,17,600018.SH
建筑装饰-建筑装饰-专业工程,000065,33,000065.SZ
食品饮料-食品加工制造-调味发酵品,603288,17,603288.SH
社会服务-旅游及酒店-自然景点,600054,17,600054.SH
交通运输-港口航运-港口,601880,17,601880.SH
煤炭-煤炭开采加工-煤炭开采,000552,33,000552.SZ
基础化工-非金属材料-非金属材料Ⅲ,920719,151,920719.BJ
电力设备-电池-锂电池,300750,33,300750.SZ
银行-银行-城商行,601229,17,601229.SH
医药生物-医疗器械-医疗设备,920504,151,920504.BJ
机械设备-工程机械-工程机械Ⅲ,920839,151,920839.BJ
机械设备-工程机械-工程机械Ⅲ,920174,151,920174.BJ
建筑材料-建筑材料-水泥,002302,33,002302.SZ
轻工制造-家居用品-瓷砖地板,002162,33,002162.SZ
建筑装饰-建筑装饰-房屋建设,600248,17,600248.SH
计算机-计算机设备-安防设备,301042,33,301042.SZ
汽车-汽车零部件-其他汽车零部件,301186,33,301186.SZ
轻工制造-家居用品-其他家居用品,603195,17,603195.SH
交通运输-公路铁路运输-高速公路,600377,17,600377.SH
非银金融-保险-保险Ⅲ,601319,17,601319.SH
交通运输-港口航运-港口,600717,17,600717.SH
煤炭-煤炭开采加工-煤炭开采,600925,17,600925.SH
公用事业-电力-水电,600886,17,600886.SH
电子-其他电子-其他电子Ⅲ,002782,33,002782.SZ
医药生物-生物制品-其他生物制品,600867,17,600867.SH
农林牧渔-农产品加工-宠物食品,002891,33,002891.SZ
电子-电子化学品-电子化学品Ⅲ,920402,151,920402.BJ
国防军工-军工装备-地面兵装,300875,33,300875.SZ
交通运输-物流-物流Ⅲ,603813,22,603813.SH
汽车-汽车零部件-底盘与发动机系统,920378,151,920378.BJ
银行-银行-国有大型银行,601658,17,601658.SH
社会服务-旅游及酒店-人工景点,300144,33,300144.SZ
交通运输-公路铁路运输-铁路运输,000557,33,000557.SZ
农林牧渔-种植业与林业-种子生产,600354,17,600354.SH
交通运输-物流-物流Ⅲ,300013,33,300013.SZ
通信-通信设备-通信网络设备及器件,301205,33,301205.SZ
家用电器-白色家电-家电零部件,920718,151,920718.BJ
交通运输-公路铁路运输-铁路运输,601006,17,601006.SH
电力设备-电池-锂电池,688388,17,688388.SH
商贸零售-零售-百货零售,601933,17,601933.SH
交通运输-公路铁路运输-高速公路,600012,17,600012.SH
交通运输-公路铁路运输-铁路运输,601333,17,601333.SH
纺织服饰-服装家纺-服装,600398,17,600398.SH
医药生物-化学制药-化学制剂,301075,33,301075.SZ
基础化工-非金属材料-非金属材料Ⅲ,920175,151,920175.BJ
医药生物-生物制品-血液制品,688765,17,688765.SH
基础化工-农化制品-氮肥,000912,33,000912.SZ
医药生物-医疗器械-医疗耗材,300677,33,300677.SZ
医药生物-化学制药-化学制剂,600420,17,600420.SH
家用电器-白色家电-冰洗,600983,17,600983.SH
汽车-汽车整车-乘用车,000625,33,000625.SZ
公用事业-电力-新能源发电,002053,33,002053.SZ
通信-通信设备-通信网络设备及器件,688313,17,688313.SH
有色金属-小金属-钨,600549,17,600549.SH
机械设备-自动化设备-激光设备,000988,33,000988.SZ
农林牧渔-农产品加工-畜禽饲料,920275,151,920275.BJ
电力设备-电网设备-输变电设备,301388,33,301388.SZ
电力设备-光伏设备-逆变器,688348,17,688348.SH
轻工制造-家居用品-其他家居用品,605099,17,605099.SH
电子-电子化学品-电子化学品Ⅲ,688268,17,688268.SH
电子-半导体-分立器件,300831,33,300831.SZ
电力设备-光伏设备-光伏辅材,920167,151,920167.BJ
通信-通信设备-通信终端及配件,300504,33,300504.SZ
农林牧渔-养殖业-生猪养殖,605296,17,605296.SH
社会服务-旅游及酒店-自然景点,300859,33,300859.SZ
食品饮料-白酒-白酒Ⅲ,000799,33,000799.SZ
医药生物-化学制药-化学制剂,300254,33,300254.SZ
交通运输-港口航运-港口,601326,17,601326.SH
公用事业-电力-水电,600236,17,600236.SH
电力设备-光伏设备-光伏电池组件,301278,33,301278.SZ
基础化工-化学原料-纯碱,600409,17,600409.SH
汽车-汽车服务及其他-其他运输设备,920058,151,920058.BJ
建筑装饰-建筑装饰-工程咨询服务,600846,17,600846.SH
