股票代码,code,market_code,所属同花顺行业
300136.SZ,300136,33,电子-消费电子-消费电子零部件及组装
920368.BJ,920368,151,电力设备-光伏设备-光伏加工设备
920394.BJ,920394,151,轻工制造-造纸-造纸Ⅲ
301002.SZ,301002,33,电子-光学光电子-LED
920914.BJ,920914,151,有色金属-能源金属-镍
300632.SZ,300632,33,电子-光学光电子-LED
600776.SH,600776,17,通信-通信设备-其他通信设备
300735.SZ,300735,33,电子-消费电子-消费电子零部件及组装
000967.SZ,000967,33,环保-环保设备-环保设备Ⅲ
920116.BJ,920116,151,计算机-IT服务-IT服务Ⅲ
002723.SZ,002723,33,电子-光学光电子-LED
301270.SZ,301270,33,计算机-软件开发-横向通用软件
688399.SH,688399,17,医药生物-医疗器械-体外诊断
920510.BJ,920510,151,机械设备-通用设备-金属制品
300747.SZ,300747,33,机械设备-自动化设备-激光设备
920961.BJ,920961,151,机械设备-通用设备-仪器仪表
688678.SH,688678,17,电子-消费电子-消费电子零部件及组装
300773.SZ,300773,33,非银金融-多元金融-多元金融Ⅲ
301183.SZ,301183,33,电子-光学光电子-光学元件
002963.SZ,002963,33,建筑装饰-建筑装饰-装饰园林
002708.SZ,002708,33,汽车-汽车零部件-底盘与发动机系统
920139.BJ,920139,151,电子-半导体-集成电路封测
920640.BJ,920640,151,通信-通信设备-通信网络设备及器件
688611.SH,688611,17,电力设备-电网设备-电气自控设备
920060.BJ,920060,151,电子-元件-印制电路板
603130.SH,603130,17,纺织服饰-纺织制造-其他纺织
300473.SZ,300473,33,汽车-汽车零部件-其他汽车零部件
300809.SZ,300809,33,机械设备-通用设备-机床工具
605222.SH,605222,17,电力设备-电网设备-线缆部件及其他
301148.SZ,301148,33,环保-环境治理-水务及水治理
688518.SH,688518,17,机械设备-自动化设备-激光设备
300394.SZ,300394,33,通信-通信设备-通信网络设备及器件
300561.SZ,300561,33,计算机-软件开发-垂直应用软件
002565.SZ,002565,33,轻工制造-包装印刷-包装
000973.SZ,000973,33,基础化工-塑料制品-膜材料
920346.BJ,920346,151,电子-消费电子-消费电子零部件及组装
920690.BJ,920690,151,汽车-汽车零部件-车身附件及饰件
920011.BJ,920011,151,电力设备-电机-电机Ⅲ
688226.SH,688226,17,电力设备-电网设备-线缆部件及其他
688375.SH,688375,17,国防军工-军工电子-军工电子Ⅲ
688416.SH,688416,17,电子-半导体-数字芯片设计
600773.SH,600773,17,房地产-房地产-住宅开发
300456.SZ,300456,33,电子-半导体-集成电路制造
920932.BJ,920932,151,计算机-软件开发-垂直应用软件
920578.BJ,920578,151,机械设备-自动化设备-机器人
000819.SZ,000819,33,石油石化-石油加工贸易-石油加工
688170.SH,688170,17,机械设备-自动化设备-激光设备
600577.SH,600577,17,电力设备-电网设备-线缆部件及其他
605286.SH,605286,17,机械设备-专用设备-楼宇设备
688205.SH,688205,17,通信-通信设备-通信网络设备及器件
300629.SZ,300629,33,国防军工-军工电子-军工电子Ⅲ
920274.BJ,920274,151,轻工制造-包装印刷-包装
688667.SH,688667,17,汽车-汽车零部件-汽车电子电气系统
301479.SZ,301479,33,电子-光学光电子-光学元件
688585.SH,688585,17,基础化工-塑料制品-合成树脂
688115.SH,688115,17,机械设备-通用设备-仪器仪表
300970.SZ,300970,33,农林牧渔-种植业与林业-其他种植业
603829.SH,603829,17,电力设备-电网设备-输变电设备
300351.SZ,300351,33,机械设备-轨交设备-轨交设备Ⅲ
605255.SH,605255,17,汽车-汽车零部件-底盘与发动机系统
603090.SH,603090,17,机械设备-通用设备-其他通用设备
301617.SZ,301617,33,基础化工-化学制品-其他化学制品
688697.SH,688697,17,机械设备-通用设备-机床工具
920055.BJ,920055,151,汽车-汽车零部件-底盘与发动机系统
688655.SH,688655,17,电子-元件-印制电路板
002222.SZ,002222,33,电子-光学光电子-光学元件
600103.SH,600103,17,轻工制造-造纸-造纸Ⅲ
603212.SH,603212,17,电力设备-光伏设备-光伏辅材
601231.SH,601231,17,电子-消费电子-消费电子零部件及组装
300845.SZ,300845,33,计算机-计算机设备-其他计算机设备
300184.SZ,300184,33,电子-其他电子-其他电子Ⅲ
920943.BJ,920943,151,机械设备-通用设备-金属制品
600338.SH,600338,17,有色金属-工业金属-铅锌
300489.SZ,300489,33,电子-光学光电子-光学元件
603165.SH,603165,17,轻工制造-造纸-造纸Ⅲ
688005.SH,688005,17,电力设备-电池-电池化学品
920223.BJ,920223,151,机械设备-通用设备-金属制品
000889.SZ,000889,33,通信-通信服务-通信工程及服务
688559.SH,688559,17,机械设备-自动化设备-激光设备
300331.SZ,300331,33,电子-光学光电子-光学元件
603950.SH,603950,17,汽车-汽车零部件-底盘与发动机系统
000030.SZ,000030,33,汽车-汽车零部件-底盘与发动机系统
600590.SH,600590,17,国防军工-军工电子-军工电子Ⅲ
920175.BJ,920175,151,基础化工-非金属材料-非金属材料Ⅲ
300147.SZ,300147,33,医药生物-中药-中药Ⅲ
300539.SZ,300539,33,基础化工-塑料制品-其他塑料制品
603618.SH,603618,17,电力设备-电网设备-线缆部件及其他
300303.SZ,300303,33,电子-光学光电子-LED
300103.SZ,300103,33,机械设备-专用设备-其他专用设备
002192.SZ,002192,33,有色金属-能源金属-锂
002290.SZ,002290,33,家用电器-白色家电-家电零部件
920418.BJ,920418,151,汽车-汽车零部件-底盘与发动机系统
920089.BJ,920089,151,基础化工-塑料制品-改性塑料
300593.SZ,300593,33,电力设备-其他电源设备-其他电源设备Ⅲ
300757.SZ,300757,33,机械设备-自动化设备-其他自动化设备
688135.SH,688135,17,电子-半导体-集成电路封测
920414.BJ,920414,151,电力设备-光伏设备-光伏加工设备
920267.BJ,920267,151,电子-消费电子-消费电子零部件及组装
688700.SH,688700,17,机械设备-专用设备-其他专用设备
600497.SH,600497,17,有色金属-工业金属-铅锌
688283.SH,688283,17,通信-通信设备-其他通信设备
000301.SZ,000301,33,石油石化-石油加工贸易-石油加工
920892.BJ,920892,151,建筑装饰-建筑装饰-工程咨询服务
688499.SH,688499,17,电力设备-电池-锂电专用设备
920533.BJ,920533,151,汽车-汽车零部件-车身附件及饰件
300740.SZ,300740,33,美容护理-美容护理-化妆品
600207.SH,600207,17,电力设备-光伏设备-光伏辅材
605589.SH,605589,17,基础化工-塑料制品-合成树脂
002062.SZ,002062,33,建筑装饰-建筑装饰-基础建设
920751.BJ,920751,151,有色金属-金属新材料-其他金属新材料
002810.SZ,002810,33,基础化工-化学制品-其他化学制品
001268.SZ,001268,33,家用电器-白色家电-家电零部件
002023.SZ,002023,33,国防军工-军工装备-航空装备
000751.SZ,000751,33,有色金属-工业金属-铅锌
920028.BJ,920028,151,基础化工-塑料制品-其他塑料制品
920086.BJ,920086,151,汽车-汽车零部件-底盘与发动机系统
920896.BJ,920896,151,汽车-汽车零部件-底盘与发动机系统
920207.BJ,920207,151,计算机-软件开发-垂直应用软件
002414.SZ,002414,33,国防军工-军工电子-军工电子Ⅲ
920001.BJ,920001,151,电子-光学光电子-面板
920454.BJ,920454,151,汽车-汽车零部件-底盘与发动机系统
301552.SZ,301552,33,汽车-汽车零部件-车身附件及饰件
920519.BJ,920519,151,基础化工-化学制品-其他化学制品
920580.BJ,920580,151,建筑材料-建筑材料-耐火材料
688379.SH,688379,17,机械设备-通用设备-金属制品
300503.SZ,300503,33,机械设备-通用设备-其他通用设备
600288.SH,600288,17,计算机-软件开发-横向通用软件
002630.SZ,002630,33,电力设备-其他电源设备-其他电源设备Ⅲ
920779.BJ,920779,151,电力设备-电池-锂电专用设备
603005.SH,603005,17,电子-半导体-集成电路封测
688006.SH,688006,17,电力设备-电池-锂电专用设备
000997.SZ,000997,33,计算机-计算机设备-其他计算机设备
920634.BJ,920634,151,有色金属-工业金属-铅锌
300900.SZ,300900,33,国防军工-军工装备-航空装备
000711.SZ,000711,33,环保-环境治理-综合环境治理
605058.SH,605058,17,电子-元件-印制电路板
002124.SZ,002124,33,农林牧渔-养殖业-生猪养殖
920010.BJ,920010,151,公用事业-燃气-燃气Ⅲ
301053.SZ,301053,33,机械设备-专用设备-纺织服装设备
300308.SZ,300308,33,通信-通信设备-通信网络设备及器件
600151.SH,600151,17,汽车-汽车零部件-底盘与发动机系统
002875.SZ,002875,33,纺织服饰-服装家纺-服装
688811.SH,688811,17,有色金属-金属新材料-其他金属新材料
920642.BJ,920642,151,国防军工-军工装备-航空装备
002528.SZ,002528,33,计算机-计算机设备-安防设备
300132.SZ,300132,33,美容护理-美容护理-化妆品
300217.SZ,300217,33,电力设备-光伏设备-光伏加工设备
301077.SZ,301077,33,基础化工-化学制品-其他化学制品
603038.SH,603038,17,建筑材料-建筑材料-其他建材
603322.SH,603322,17,计算机-IT服务-IT服务Ⅲ
301392.SZ,301392,33,机械设备-专用设备-其他专用设备
920068.BJ,920068,151,有色金属-小金属-其他小金属
600360.SH,600360,22,电子-半导体-分立器件
688020.SH,688020,17,电子-电子化学品-电子化学品Ⅲ
920171.BJ,920171,151,计算机-IT服务-IT服务Ⅲ
300337.SZ,300337,33,有色金属-工业金属-铝
301489.SZ,301489,33,电子-电子化学品-电子化学品Ⅲ
600977.SH,600977,17,传媒-影视院线-影视院线Ⅲ
920425.BJ,920425,151,机械设备-自动化设备-工控设备
920037.BJ,920037,151,电力设备-电网设备-线缆部件及其他
300236.SZ,300236,33,电子-电子化学品-电子化学品Ⅲ
300570.SZ,300570,33,通信-通信设备-通信网络设备及器件
688638.SH,688638,17,电力设备-电池-锂电专用设备
688178.SH,688178,17,环保-环境治理-综合环境治理
300096.SZ,300096,33,计算机-软件开发-垂直应用软件
688368.SH,688368,17,电子-半导体-模拟芯片设计
688253.SH,688253,17,医药生物-医疗器械-体外诊断
002669.SZ,002669,33,基础化工-化学制品-其他化学制品
920720.BJ,920720,151,汽车-汽车零部件-其他汽车零部件
301511.SZ,301511,33,电力设备-电池-锂电池
600539.SH,600539,17,商贸零售-互联网电商-互联网电商Ⅲ
002429.SZ,002429,33,家用电器-黑色家电-彩电
920018.BJ,920018,151,电力设备-电网设备-线缆部件及其他
603557.SH,603557,22,纺织服饰-服装家纺-服装
600955.SH,600955,17,基础化工-化学原料-其他化学原料
920593.BJ,920593,151,机械设备-自动化设备-机器人
002436.SZ,002436,33,电子-元件-印制电路板
002951.SZ,002951,33,电力设备-其他电源设备-其他电源设备Ⅲ
603678.SH,603678,17,国防军工-军工电子-军工电子Ⅲ
920753.BJ,920753,151,社会服务-其他社会服务-专业服务
688610.SH,688610,17,机械设备-通用设备-仪器仪表
002824.SZ,002824,33,有色金属-工业金属-铝
920799.BJ,920799,151,计算机-软件开发-垂直应用软件
920895.BJ,920895,151,机械设备-专用设备-农用机械
600696.SH,600696,22,食品饮料-白酒-白酒Ⅲ
603655.SH,603655,17,汽车-汽车零部件-其他汽车零部件
688721.SH,688721,17,电子-半导体-半导体材料
688183.SH,688183,17,电子-元件-印制电路板
300393.SZ,300393,33,电力设备-光伏设备-光伏电池组件
001298.SZ,001298,33,电子-其他电子-其他电子Ⅲ
603016.SH,603016,17,电力设备-电网设备-输变电设备
002559.SZ,002559,33,机械设备-通用设备-机床工具
002916.SZ,002916,33,电子-元件-印制电路板
002564.SZ,002564,33,机械设备-专用设备-能源及重型设备
920665.BJ,920665,151,基础化工-橡胶制品-其他橡胶制品
920183.BJ,920183,151,电子-消费电子-品牌消费电子
920091.BJ,920091,151,机械设备-专用设备-其他专用设备
920427.BJ,920427,151,建筑装饰-建筑装饰-工程咨询服务
600487.SH,600487,17,通信-通信设备-通信线缆及配套
688573.SH,688573,17,电力设备-电池-锂电专用设备
603389.SH,603389,22,轻工制造-家居用品-成品家居
920106.BJ,920106,151,汽车-汽车零部件-底盘与发动机系统
688045.SH,688045,17,电子-半导体-模拟芯片设计
605081.SH,605081,22,环保-环境治理-水务及水治理
001300.SZ,001300,33,轻工制造-家居用品-文娱用品
603776.SH,603776,17,汽车-汽车服务及其他-其他运输设备
920204.BJ,920204,151,轻工制造-包装印刷-包装
300897.SZ,300897,33,机械设备-通用设备-仪器仪表
920833.BJ,920833,151,机械设备-通用设备-其他通用设备
000628.SZ,000628,33,建筑装饰-建筑装饰-房屋建设
300511.SZ,300511,33,农林牧渔-种植业与林业-其他种植业
920491.BJ,920491,151,机械设备-通用设备-仪器仪表
300058.SZ,300058,33,传媒-文化传媒-广告营销
920870.BJ,920870,151,机械设备-通用设备-机床工具
920475.BJ,920475,151,机械设备-专用设备-其他专用设备
603186.SH,603186,17,电子-元件-印制电路板
920662.BJ,920662,151,机械设备-通用设备-其他通用设备
600105.SH,600105,17,通信-通信设备-通信线缆及配套
920237.BJ,920237,151,电力设备-电池-锂电池
002585.SZ,002585,33,基础化工-塑料制品-膜材料
920002.BJ,920002,151,机械设备-工程机械-工程机械Ⅲ
688195.SH,688195,17,电子-光学光电子-光学元件
920152.BJ,920152,151,有色金属-金属新材料-其他金属新材料
920122.BJ,920122,151,社会服务-其他社会服务-专业服务
688052.SH,688052,17,电子-半导体-模拟芯片设计
301395.SZ,301395,33,基础化工-塑料制品-合成树脂
688646.SH,688646,22,机械设备-自动化设备-激光设备
301030.SZ,301030,33,环保-环保设备-环保设备Ⅲ
688401.SH,688401,17,电子-半导体-半导体材料
000595.SZ,000595,33,公用事业-电力-新能源发电
001220.SZ,001220,33,交通运输-物流-物流Ⅲ
688275.SH,688275,17,电力设备-电池-电池化学品
920035.BJ,920035,151,机械设备-通用设备-仪器仪表
300739.SZ,300739,33,电子-元件-印制电路板
920069.BJ,920069,151,医药生物-医疗器械-医疗耗材
002795.SZ,002795,33,机械设备-通用设备-金属制品
002025.SZ,002025,33,国防军工-军工电子-军工电子Ⅲ
920239.BJ,920239,151,电力设备-电池-其他电池
301603.SZ,301603,33,机械设备-通用设备-机床工具
920469.BJ,920469,151,基础化工-塑料制品-改性塑料
920169.BJ,920169,151,机械设备-通用设备-金属制品
603228.SH,603228,17,电子-元件-印制电路板
920547.BJ,920547,151,医药生物-化学制药-原料药
300093.SZ,300093,33,电力设备-光伏设备-光伏电池组件
920855.BJ,920855,151,机械设备-通用设备-其他通用设备
920100.BJ,920100,151,电力设备-电机-电机Ⅲ
920066.BJ,920066,151,基础化工-塑料制品-改性塑料
688079.SH,688079,17,电子-光学光电子-光学元件
300586.SZ,300586,33,基础化工-塑料制品-改性塑料
300283.SZ,300283,33,电力设备-电网设备-输变电设备
688516.SH,688516,17,电力设备-光伏设备-光伏加工设备
300912.SZ,300912,33,汽车-汽车零部件-其他汽车零部件
301366.SZ,301366,33,电子-元件-印制电路板
920523.BJ,920523,151,电力设备-电池-锂电池
920395.BJ,920395,151,计算机-计算机设备-安防设备
920627.BJ,920627,151,电力设备-电池-其他电池
000420.SZ,000420,33,基础化工-化学纤维-粘胶
688686.SH,688686,17,机械设备-自动化设备-其他自动化设备
301421.SZ,301421,33,电子-光学光电子-光学元件
603285.SH,603285,17,基础化工-化学制品-其他化学制品
301528.SZ,301528,33,机械设备-通用设备-仪器仪表
920374.BJ,920374,151,通信-通信设备-其他通信设备
301517.SZ,301517,33,国防军工-军工电子-军工电子Ⅲ
920957.BJ,920957,151,基础化工-化学制品-其他化学制品
300720.SZ,300720,33,机械设备-通用设备-仪器仪表
920856.BJ,920856,151,机械设备-专用设备-其他专用设备
300270.SZ,300270,33,计算机-计算机设备-安防设备
920906.BJ,920906,151,汽车-汽车零部件-车身附件及饰件
920080.BJ,920080,151,机械设备-专用设备-其他专用设备
301256.SZ,301256,33,基础化工-化学原料-无机盐
300450.SZ,300450,33,电力设备-电池-锂电专用设备
920699.BJ,920699,151,家用电器-白色家电-家电零部件
300020.SZ,300020,33,计算机-IT服务-IT服务Ⅲ
920765.BJ,920765,151,轻工制造-家居用品-成品家居
920123.BJ,920123,151,美容护理-美容护理-化妆品
920195.BJ,920195,151,汽车-汽车零部件-底盘与发动机系统
920405.BJ,920405,151,机械设备-自动化设备-工控设备
920363.BJ,920363,151,机械设备-通用设备-仪器仪表
920252.BJ,920252,151,电力设备-电池-锂电池
300188.SZ,300188,33,计算机-软件开发-横向通用软件
920016.BJ,920016,151,基础化工-化学制品-食品及饲料添加剂
600206.SH,600206,17,电子-半导体-半导体材料
920212.BJ,920212,151,汽车-汽车零部件-汽车电子电气系统
601702.SH,601702,17,有色金属-工业金属-铝
000035.SZ,000035,33,环保-环境治理-固废治理
603281.SH,603281,17,基础化工-化学制品-有机硅
920641.BJ,920641,151,电子-元件-被动元件
301538.SZ,301538,33,基础化工-塑料制品-改性塑料
603666.SH,603666,17,机械设备-自动化设备-机器人
920689.BJ,920689,151,机械设备-通用设备-其他通用设备
002837.SZ,002837,33,机械设备-专用设备-其他专用设备
920576.BJ,920576,151,有色金属-金属新材料-其他金属新材料
300569.SZ,300569,33,电力设备-风电设备-风电零部件
301387.SZ,301387,33,电子-消费电子-消费电子零部件及组装
688403.SH,688403,17,电子-半导体-集成电路封测
301041.SZ,301041,33,电子-元件-印制电路板
600531.SH,600531,17,有色金属-工业金属-铅锌
600885.SH,600885,17,电力设备-电网设备-输变电设备
002353.SZ,002353,33,机械设备-专用设备-能源及重型设备
301021.SZ,301021,33,机械设备-自动化设备-激光设备
920030.BJ,920030,151,汽车-汽车服务及其他-汽车服务
688359.SH,688359,17,电子-电子化学品-电子化学品Ⅲ
920271.BJ,920271,151,汽车-汽车零部件-底盘与发动机系统
920679.BJ,920679,151,机械设备-通用设备-金属制品
920992.BJ,920992,151,医药生物-医疗器械-医疗设备
920950.BJ,920950,151,机械设备-通用设备-其他通用设备
301193.SZ,301193,33,轻工制造-家居用品-其他家居用品
301285.SZ,301285,33,电子-消费电子-消费电子零部件及组装
300918.SZ,300918,33,纺织服饰-纺织制造-其他纺织
920478.BJ,920478,151,医药生物-化学制药-原料药
300834.SZ,300834,33,基础化工-塑料制品-改性塑料
002586.SZ,002586,33,建筑装饰-建筑装饰-基础建设
300464.SZ,300464,33,商贸零售-互联网电商-互联网电商Ⅲ
920953.BJ,920953,151,计算机-IT服务-IT服务Ⅲ
002338.SZ,002338,33,国防军工-军工电子-军工电子Ⅲ
300492.SZ,300492,33,社会服务-教育-教育Ⅲ
603103.SH,603103,17,传媒-影视院线-影视院线Ⅲ
688312.SH,688312,17,机械设备-自动化设备-其他自动化设备
600562.SH,600562,17,国防军工-军工电子-军工电子Ⅲ
002244.SZ,002244,33,房地产-房地产-住宅开发
300382.SZ,300382,33,机械设备-专用设备-其他专用设备
920781.BJ,920781,151,机械设备-专用设备-能源及重型设备
002787.SZ,002787,33,轻工制造-包装印刷-包装
