code,股票代码,所属同花顺行业,market_code
600397,600397.SH,机械设备-专用设备-能源及重型设备,17
002498,002498.SZ,电力设备-电网设备-线缆部件及其他,33
000657,000657.SZ,有色金属-小金属-钨,33
603279,603279.SH,机械设备-通用设备-其他通用设备,17
002568,002568.SZ,食品饮料-饮料制造-其他酒类,33
603937,603937.SH,有色金属-工业金属-铝,17
603773,603773.SH,电子-光学光电子-面板,17
002645,002645.SZ,环保-环境治理-综合环境治理,33
603738,603738.SH,电子-元件-被动元件,17
603017,603017.SH,建筑装饰-建筑装饰-工程咨询服务,17
000039,000039.SZ,机械设备-通用设备-金属制品,33
600338,600338.SH,有色金属-工业金属-铅锌,17
002847,002847.SZ,食品饮料-食品加工制造-休闲食品,33
603026,603026.SH,电力设备-电池-电池化学品,17
603489,603489.SH,电力设备-电机-电机Ⅲ,17
002903,002903.SZ,机械设备-通用设备-机床工具,33
002842,002842.SZ,有色金属-小金属-钨,33
002655,002655.SZ,电子-消费电子-消费电子零部件及组装,33
603345,603345.SH,食品饮料-食品加工制造-预加工食品,17
000831,000831.SZ,有色金属-小金属-稀土,33
600392,600392.SH,有色金属-小金属-稀土,17
600111,600111.SH,有色金属-小金属-稀土,17
000901,000901.SZ,汽车-汽车零部件-汽车电子电气系统,33
600367,600367.SH,基础化工-化学原料-无机盐,17
605099,605099.SH,轻工制造-家居用品-其他家居用品,17
603013,603013.SH,汽车-汽车零部件-底盘与发动机系统,17
002709,002709.SZ,电力设备-电池-电池化学品,33
603317,603317.SH,食品饮料-食品加工制造-调味发酵品,17
001266,001266.SZ,机械设备-自动化设备-工控设备,33
001203,001203.SZ,钢铁-钢铁-冶钢原料,33
002378,002378.SZ,有色金属-小金属-钨,33
603353,603353.SH,石油石化-石油加工贸易-油品石化贸易,17
002497,002497.SZ,基础化工-化学制品-民爆用品,33
001336,001336.SZ,环保-环保设备-环保设备Ⅲ,33
603139,603139.SH,医药生物-中药-中药Ⅲ,17
000818,000818.SZ,基础化工-化学原料-氯碱,33
002136,002136.SZ,基础化工-化学原料-钛白粉,33
603803,603803.SH,通信-通信设备-通信终端及配件,17
002818,002818.SZ,商贸零售-零售-商业物业经营,33
000567,000567.SZ,非银金融-多元金融-多元金融Ⅲ,33
002354,002354.SZ,传媒-文化传媒-广告营销,33
603399,603399.SH,有色金属-能源金属-锂,17
002176,002176.SZ,电力设备-电机-电机Ⅲ,33
000551,000551.SZ,环保-环保设备-环保设备Ⅲ,33
000716,000716.SZ,食品饮料-食品加工制造-休闲食品,33
000692,000692.SZ,公用事业-电力-热力,33
605006,605006.SH,建筑材料-建筑材料-玻璃玻纤,17
605158,605158.SH,有色金属-金属新材料-其他金属新材料,17
002079,002079.SZ,电力设备-光伏设备-光伏辅材,33
002348,002348.SZ,轻工制造-家居用品-文娱用品,33
002210,002210.SZ,环保-环境治理-固废治理,33
002652,002652.SZ,建筑材料-建筑材料-其他建材,33
600186,600186.SH,食品饮料-食品加工制造-调味发酵品,17
002548,002548.SZ,农林牧渔-农产品加工-畜禽饲料,33
002520,002520.SZ,机械设备-通用设备-机床工具,33
000402,000402.SZ,房地产-房地产-住宅开发,33
600545,600545.SH,机械设备-专用设备-纺织服装设备,17
300477,300477.SZ,电力设备-电网设备-输变电设备,33
301638,301638.SZ,计算机-IT服务-IT服务Ⅲ,33
920627,920627.BJ,电力设备-电池-其他电池,151
600881,600881.SH,综合-综合-综合Ⅲ,17
600606,600606.SH,房地产-房地产-住宅开发,17
300161,300161.SZ,机械设备-通用设备-机床工具,33
300098,300098.SZ,通信-通信设备-通信网络设备及器件,33
300381,300381.SZ,医药生物-化学制药-原料药,33
603306,603306.SH,汽车-汽车零部件-车身附件及饰件,17
002738,002738.SZ,有色金属-小金属-其他小金属,33
300436,300436.SZ,医药生物-化学制药-化学制剂,33
300571,300571.SZ,通信-通信服务-通信应用增值服务,33
300825,300825.SZ,汽车-汽车服务及其他-汽车服务,33
301513,301513.SZ,电力设备-电池-锂电专用设备,33
603275,603275.SH,机械设备-自动化设备-工控设备,17
688095,688095.SH,计算机-软件开发-横向通用软件,17
600259,600259.SH,有色金属-小金属-稀土,17
301487,301487.SZ,电力设备-电池-电池化学品,33
300511,300511.SZ,农林牧渔-种植业与林业-其他种植业,33
600258,600258.SH,社会服务-旅游及酒店-酒店,17
688411,688411.SH,电力设备-其他电源设备-其他电源设备Ⅲ,17
601208,601208.SH,基础化工-塑料制品-膜材料,17
603538,603538.SH,医药生物-化学制药-原料药,17
000703,000703.SZ,基础化工-化学纤维-涤纶,33
301308,301308.SZ,电子-半导体-数字芯片设计,33
688148,688148.SH,电力设备-电池-电池化学品,17
688032,688032.SH,电力设备-光伏设备-逆变器,17
688005,688005.SH,电力设备-电池-电池化学品,17
301326,301326.SZ,电子-消费电子-消费电子零部件及组装,33
688308,688308.SH,机械设备-通用设备-金属制品,17
603778,603778.SH,电力设备-光伏设备-光伏电池组件,17
688063,688063.SH,电力设备-电池-锂电池,17
600549,600549.SH,有色金属-小金属-钨,17
000890,000890.SZ,环保-环保设备-环保设备Ⅲ,33
300074,300074.SZ,计算机-软件开发-垂直应用软件,33
300709,300709.SZ,电子-消费电子-消费电子零部件及组装,33
300748,300748.SZ,有色金属-金属新材料-磁性材料,33
688353,688353.SH,电力设备-电池-电池化学品,17
300057,300057.SZ,有色金属-工业金属-铝,33
001337,001337.SZ,有色金属-贵金属-贵金属Ⅲ,33
600188,600188.SH,煤炭-煤炭开采加工-煤炭开采,17
002340,002340.SZ,电力设备-电池-电池化学品,33
300881,300881.SZ,钢铁-钢铁-特钢,33
000589,000589.SZ,汽车-汽车零部件-轮胎轮毂,33
605589,605589.SH,基础化工-塑料制品-合成树脂,17
300380,300380.SZ,计算机-软件开发-垂直应用软件,33
002780,002780.SZ,纺织服饰-服装家纺-服装,33
300428,300428.SZ,汽车-汽车零部件-轮胎轮毂,33
001896,001896.SZ,公用事业-电力-火电,33
002812,002812.SZ,电力设备-电池-电池化学品,33
300069,300069.SZ,电力设备-电网设备-线缆部件及其他,33
688400,688400.SH,机械设备-自动化设备-其他自动化设备,17
000688,000688.SZ,有色金属-小金属-钼,33
688805,688805.SH,医药生物-医疗器械-医疗设备,17
000709,000709.SZ,钢铁-钢铁-普钢,33
300738,300738.SZ,通信-通信服务-通信应用增值服务,33
300307,300307.SZ,机械设备-专用设备-纺织服装设备,33
300459,300459.SZ,传媒-游戏-游戏Ⅲ,33
300688,300688.SZ,社会服务-教育-教育Ⅲ,33
600539,600539.SH,商贸零售-互联网电商-互联网电商Ⅲ,17
600736,600736.SH,房地产-房地产-住宅开发,17
300405,300405.SZ,基础化工-化学制品-其他化学制品,33
601969,601969.SH,钢铁-钢铁-冶钢原料,17
301486,301486.SZ,通信-通信设备-通信网络设备及器件,33
605389,605389.SH,机械设备-工程机械-工程机械Ⅲ,17
300815,300815.SZ,环保-环境治理-固废治理,33
002667,002667.SZ,有色金属-能源金属-锂,33
688808,688808.SH,机械设备-通用设备-仪器仪表,17
601858,601858.SH,传媒-文化传媒-出版,17
300919,300919.SZ,电力设备-电池-电池化学品,33
600884,600884.SH,电子-光学光电子-面板,17
688420,688420.SH,机械设备-专用设备-能源及重型设备,17
688778,688778.SH,电力设备-电池-电池化学品,17
301291,301291.SZ,电力设备-电网设备-输变电设备,33
301222,301222.SZ,电力设备-电池-其他电池,33
688307,688307.SH,电子-光学光电子-光学元件,17
002948,002948.SZ,银行-银行-城商行,33
920090,920090.BJ,计算机-计算机设备-其他计算机设备,151
002240,002240.SZ,有色金属-能源金属-锂,33
688319,688319.SH,医药生物-生物制品-疫苗,17
301526,301526.SZ,建筑材料-建筑材料-玻璃玻纤,33
601975,601975.SH,交通运输-港口航运-航运,17
920802,920802.BJ,环保-环保设备-环保设备Ⅲ,151
603369,603369.SH,食品饮料-白酒-白酒Ⅲ,17
688409,688409.SH,电子-半导体-半导体设备,17
600455,600455.SH,社会服务-教育-教育Ⅲ,17
002394,002394.SZ,纺织服饰-纺织制造-棉纺,33
300056,300056.SZ,环保-环保设备-环保设备Ⅲ,33
002037,002037.SZ,基础化工-化学制品-民爆用品,33
301152,301152.SZ,电力设备-电池-电池化学品,33
002259,002259.SZ,公用事业-燃气-燃气Ⅲ,33
688320,688320.SH,机械设备-自动化设备-工控设备,17
603329,603329.SH,交通运输-物流-物流Ⅲ,17
300850,300850.SZ,电力设备-风电设备-风电零部件,33
603880,603880.SH,医药生物-医疗器械-医疗耗材,17
300554,300554.SZ,机械设备-通用设备-磨具磨料,33
688323,688323.SH,基础化工-塑料制品-膜材料,17
000792,000792.SZ,基础化工-农化制品-钾肥,33
600198,600198.SH,电子-半导体-数字芯片设计,17
300323,300323.SZ,电子-光学光电子-LED,33
920069,920069.BJ,医药生物-医疗器械-医疗耗材,151
000599,000599.SZ,汽车-汽车零部件-轮胎轮毂,33
300476,300476.SZ,电子-元件-印制电路板,33
300037,300037.SZ,电力设备-电池-电池化学品,33
688257,688257.SH,机械设备-通用设备-金属制品,17
603458,603458.SH,建筑装饰-建筑装饰-工程咨询服务,17
002237,002237.SZ,有色金属-贵金属-贵金属Ⅲ,33
002080,002080.SZ,建筑材料-建筑材料-玻璃玻纤,33
601958,601958.SH,有色金属-小金属-钼,17
000600,000600.SZ,公用事业-电力-火电,33
300789,300789.SZ,计算机-计算机设备-其他计算机设备,33
300490,300490.SZ,电力设备-其他电源设备-其他电源设备Ⅲ,33
000036,000036.SZ,房地产-房地产-住宅开发,33
600785,600785.SH,商贸零售-零售-百货零售,17
002043,002043.SZ,建筑材料-建筑材料-其他建材,33
300457,300457.SZ,电力设备-电池-锂电专用设备,33
600513,600513.SH,医药生物-化学制药-化学制剂,17
920505,920505.BJ,机械设备-通用设备-金属制品,151
300197,300197.SZ,环保-环境治理-综合环境治理,33
301378,301378.SZ,计算机-软件开发-垂直应用软件,33
920045,920045.BJ,通信-通信设备-通信网络设备及器件,151
688101,688101.SH,环保-环境治理-水务及水治理,17
300861,300861.SZ,机械设备-通用设备-磨具磨料,33
301511,301511.SZ,电力设备-电池-锂电池,33
301329,301329.SZ,电子-消费电子-消费电子零部件及组装,33
603211,603211.SH,汽车-汽车零部件-其他汽车零部件,17
920436,920436.BJ,汽车-汽车零部件-汽车电子电气系统,151
300274,300274.SZ,电力设备-光伏设备-逆变器,33
600383,600383.SH,房地产-房地产-住宅开发,17
002755,002755.SZ,医药生物-化学制药-化学制剂,33
301176,301176.SZ,电子-元件-印制电路板,33
300469,300469.SZ,计算机-软件开发-垂直应用软件,33
002086,002086.SZ,医药生物-医疗器械-体外诊断,33
002067,002067.SZ,轻工制造-造纸-造纸Ⅲ,33
300736,300736.SZ,电子-其他电子-其他电子Ⅲ,33
002407,002407.SZ,基础化工-化学制品-氟化工,33
600337,600337.SH,轻工制造-家居用品-成品家居,17
920227,920227.BJ,计算机-IT服务-IT服务Ⅲ,151
301029,301029.SZ,机械设备-自动化设备-其他自动化设备,33
002444,002444.SZ,机械设备-通用设备-其他通用设备,33
601991,601991.SH,公用事业-电力-火电,17
688615,688615.SH,计算机-软件开发-垂直应用软件,17
601168,601168.SH,有色金属-工业金属-铜,17
688480,688480.SH,环保-环境治理-综合环境治理,17
600331,600331.SH,基础化工-农化制品-磷肥及磷化工,17
002157,002157.SZ,农林牧渔-养殖业-生猪养殖,33
300168,300168.SZ,计算机-IT服务-IT服务Ⅲ,33
002125,002125.SZ,电力设备-电池-电池化学品,33
688203,688203.SH,基础化工-塑料制品-改性塑料,17
300814,300814.SZ,电子-元件-印制电路板,33
688099,688099.SH,电子-半导体-数字芯片设计,17
301219,301219.SZ,有色金属-能源金属-钴,33
605133,605133.SH,汽车-汽车零部件-底盘与发动机系统,17
301210,301210.SZ,电力设备-电池-锂电池,33
300933,300933.SZ,电力设备-电网设备-线缆部件及其他,33
002225,002225.SZ,建筑材料-建筑材料-耐火材料,33
300749,300749.SZ,轻工制造-家居用品-定制家居,33
605499,605499.SH,食品饮料-饮料制造-软饮料,17
603659,603659.SH,电力设备-电池-电池化学品,17
001400,001400.SZ,机械设备-专用设备-其他专用设备,33
603381,603381.SH,电力设备-光伏设备-光伏辅材,17
002563,002563.SZ,纺织服饰-服装家纺-服装,33
301141,301141.SZ,有色金属-金属新材料-磁性材料,33
601882,601882.SH,机械设备-通用设备-机床工具,17
688222,688222.SH,医药生物-医疗服务-医疗研发外包,17
300584,300584.SZ,医药生物-化学制药-化学制剂,33
688130,688130.SH,电子-半导体-模拟芯片设计,17
920699,920699.BJ,家用电器-白色家电-家电零部件,151
002759,002759.SZ,电力设备-电池-电池化学品,33
000762,000762.SZ,钢铁-钢铁-冶钢原料,33
603337,603337.SH,机械设备-专用设备-纺织服装设备,17
002090,002090.SZ,电力设备-电网设备-电气自控设备,33
002291,002291.SZ,传媒-文化传媒-广告营销,33
002266,002266.SZ,环保-环境治理-固废治理,33
300299,300299.SZ,传媒-游戏-游戏Ⅲ,33
688726,688726.SH,电力设备-光伏设备-光伏加工设备,17
603045,603045.SH,电力设备-电网设备-输变电设备,17
601133,601133.SH,建筑装饰-建筑装饰-专业工程,17
002460,002460.SZ,有色金属-能源金属-锂,33
300341,300341.SZ,医药生物-医疗器械-医疗设备,33
002960,002960.SZ,机械设备-专用设备-楼宇设备,33
000517,000517.SZ,房地产-房地产-住宅开发,33
601588,601588.SH,社会服务-其他社会服务-专业服务,17
002150,002150.SZ,电力设备-光伏设备-逆变器,33
688633,688633.SH,机械设备-专用设备-能源及重型设备,17
301387,301387.SZ,电子-消费电子-消费电子零部件及组装,33
603719,603719.SH,食品饮料-食品加工制造-休闲食品,17
603477,603477.SH,农林牧渔-养殖业-生猪养殖,17
603507,603507.SH,电力设备-风电设备-风电零部件,17
002310,002310.SZ,公用事业-电力-新能源发电,33
603186,603186.SH,电子-元件-印制电路板,17
300432,300432.SZ,汽车-汽车零部件-底盘与发动机系统,33
000510,000510.SZ,基础化工-化学原料-氯碱,33
600158,600158.SH,社会服务-其他社会服务-体育,17
603318,603318.SH,公用事业-燃气-燃气Ⅲ,17
300568,300568.SZ,电力设备-电池-电池化学品,33
600251,600251.SH,农林牧渔-农产品加工-果蔬加工,17
002146,002146.SZ,房地产-房地产-住宅开发,33
688021,688021.SH,汽车-汽车零部件-其他汽车零部件,17
301362,301362.SZ,电子-光学光电子-LED,33
000151,000151.SZ,商贸零售-贸易-贸易Ⅲ,33
920055,920055.BJ,汽车-汽车零部件-底盘与发动机系统,151
300210,300210.SZ,机械设备-专用设备-其他专用设备,33
688116,688116.SH,电力设备-电池-电池化学品,17
603162,603162.SH,交通运输-港口航运-航运,17
002857,002857.SZ,电力设备-电网设备-电气自控设备,33
300236,300236.SZ,电子-电子化学品-电子化学品Ⅲ,33
300440,300440.SZ,计算机-IT服务-IT服务Ⅲ,33
688667,688667.SH,汽车-汽车零部件-汽车电子电气系统,17
002865,002865.SZ,电力设备-光伏设备-光伏电池组件,33
600037,600037.SH,传媒-文化传媒-电视广播,17
605117,605117.SH,电力设备-光伏设备-逆变器,17
301193,301193.SZ,轻工制造-家居用品-其他家居用品,33
300366,300366.SZ,计算机-软件开发-垂直应用软件,33
000503,000503.SZ,计算机-软件开发-垂直应用软件,33
603270,603270.SH,机械设备-通用设备-金属制品,17
002318,002318.SZ,钢铁-钢铁-特钢,33
600712,600712.SH,商贸零售-零售-百货零售,17
603092,603092.SH,电力设备-风电设备-风电零部件,17
300966,300966.SZ,医药生物-化学制药-原料药,33
300842,300842.SZ,电力设备-光伏设备-光伏辅材,33
002193,002193.SZ,纺织服饰-服装家纺-服装,33
603100,603100.SH,机械设备-通用设备-仪器仪表,17
002273,002273.SZ,电子-光学光电子-光学元件,33
301321,301321.SZ,电子-光学光电子-面板,33
001309,001309.SZ,电子-半导体-数字芯片设计,33
002145,002145.SZ,基础化工-化学原料-钛白粉,33
002622,002622.SZ,医药生物-医疗服务-医院,33
920078,920078.BJ,有色金属-金属新材料-其他金属新材料,151
300821,300821.SZ,基础化工-化学制品-有机硅,33
300618,300618.SZ,有色金属-能源金属-钴,33
920204,920204.BJ,轻工制造-包装印刷-包装,151
603257,603257.SH,建筑装饰-建筑装饰-工程咨询服务,17
002283,002283.SZ,汽车-汽车零部件-底盘与发动机系统,33
300255,300255.SZ,医药生物-化学制药-化学制剂,33
000651,000651.SZ,家用电器-白色家电-空调,33
920422,920422.BJ,基础化工-化学制品-食品及饲料添加剂,151
301053,301053.SZ,机械设备-专用设备-纺织服装设备,33
605003,605003.SH,纺织服饰-服装家纺-家纺,17
002921,002921.SZ,汽车-汽车零部件-其他汽车零部件,33
300747,300747.SZ,机械设备-自动化设备-激光设备,33
300890,300890.SZ,电力设备-电池-电池化学品,33
002027,002027.SZ,传媒-文化传媒-广告营销,33
688107,688107.SH,电子-半导体-数字芯片设计,17
000009,000009.SZ,电力设备-电池-电池化学品,33
688517,688517.SH,电力设备-电网设备-输变电设备,17
300014,300014.SZ,电力设备-电池-锂电池,33
300781,300781.SZ,传媒-文化传媒-广告营销,33
600754,600754.SH,社会服务-旅游及酒店-酒店,17
002517,002517.SZ,传媒-游戏-游戏Ⅲ,33
688556,688556.SH,电力设备-光伏设备-光伏加工设备,17
300241,300241.SZ,电子-光学光电子-LED,33
603355,603355.SH,家用电器-小家电-小家电Ⅲ,17
001301,001301.SZ,电力设备-电池-电池化学品,33
920076,920076.BJ,建筑材料-建筑材料-耐火材料,151
601038,601038.SH,机械设备-专用设备-农用机械,17
603833,603833.SH,轻工制造-家居用品-定制家居,17
002078,002078.SZ,轻工制造-造纸-造纸Ⅲ,33
301123,301123.SZ,电子-消费电子-消费电子零部件及组装,33
688147,688147.SH,电子-半导体-半导体设备,17
600423,600423.SH,基础化工-化学原料-其他化学原料,22
000676,000676.SZ,传媒-文化传媒-广告营销,33
300016,300016.SZ,医药生物-化学制药-化学制剂,33
300073,300073.SZ,电力设备-电池-电池化学品,33
688388,688388.SH,电力设备-电池-锂电池,17
300670,300670.SZ,电力设备-电网设备-输变电设备,33
002512,002512.SZ,计算机-计算机设备-其他计算机设备,33
688227,688227.SH,计算机-IT服务-IT服务Ⅲ,17
688348,688348.SH,电力设备-光伏设备-逆变器,17
688286,688286.SH,电子-半导体-模拟芯片设计,17
688119,688119.SH,建筑材料-建筑材料-耐火材料,17
000049,000049.SZ,电力设备-电池-锂电池,33
300612,300612.SZ,传媒-文化传媒-广告营销,33
000155,000155.SZ,公用事业-电力-新能源发电,33
000926,000926.SZ,房地产-房地产-住宅开发,33
600608,600608.SH,商贸零售-贸易-贸易Ⅲ,22
002227,002227.SZ,电力设备-其他电源设备-其他电源设备Ⅲ,33
603843,603843.SH,建筑装饰-建筑装饰-基础建设,22
600730,600730.SH,社会服务-教育-教育Ⅲ,22
688155,688155.SH,电力设备-电池-锂电池,17
600058,600058.SH,商贸零售-贸易-贸易Ⅲ,17
600082,600082.SH,房地产-房地产-产业地产,22
002199,002199.SZ,电子-元件-被动元件,33
000691,000691.SZ,基础化工-化学原料-其他化学原料,33
301111,301111.SZ,医药生物-中药-中药Ⅲ,33
300929,300929.SZ,环保-环境治理-水务及水治理,33
300619,300619.SZ,电力设备-电池-锂电专用设备,33
301216,301216.SZ,基础化工-塑料制品-其他塑料制品,33
603272,603272.SH,轻工制造-家居用品-其他家居用品,22
002872,002872.SZ,医药生物-化学制药-化学制剂,33
301015,301015.SZ,医药生物-医药商业-医药流通,33
600593,600593.SH,社会服务-旅游及酒店-人工景点,17
688498,688498.SH,电子-半导体-分立器件,17
301528,301528.SZ,机械设备-通用设备-仪器仪表,33
002289,002289.SZ,通信-通信服务-通信应用增值服务,33
300340,300340.SZ,电力设备-电池-电池化学品,33
000593,000593.SZ,公用事业-燃气-燃气Ⅲ,33
000833,000833.SZ,基础化工-非金属材料-非金属材料Ⅲ,33
600735,600735.SH,纺织服饰-服装家纺-饰品,22
600289,600289.SH,通信-通信服务-通信工程及服务,22
002634,002634.SZ,纺织服饰-服装家纺-服装,33
600243,600243.SH,机械设备-通用设备-其他通用设备,22
000609,000609.SZ,房地产-房地产-住宅开发,33
605577,605577.SH,传媒-文化传媒-出版,17
688129,688129.SH,基础化工-化学制品-涂料油墨,17
603757,603757.SH,机械设备-通用设备-其他通用设备,17
603150,603150.SH,家用电器-白色家电-家电零部件,17
603116,603116.SH,纺织服饰-服装家纺-鞋帽及其他,17
600078,600078.SH,基础化工-农化制品-磷肥及磷化工,17
600816,600816.SH,非银金融-多元金融-多元金融Ⅲ,17
002135,002135.SZ,建筑装饰-建筑装饰-专业工程,33
603113,603113.SH,基础化工-化学原料-其他化学原料,17
603155,603155.SH,基础化工-化学制品-有机硅,17
688651,688651.SH,计算机-软件开发-横向通用软件,17
300207,300207.SZ,电力设备-电池-锂电池,33
688408,688408.SH,电力设备-光伏设备-光伏辅材,17
600381,600381.SH,食品饮料-食品加工制造-其他食品,22
300577,300577.SZ,纺织服饰-服装家纺-鞋帽及其他,33
603307,603307.SH,纺织服饰-服装家纺-鞋帽及其他,17
000820,000820.SZ,环保-环保设备-环保设备Ⅲ,33
002115,002115.SZ,通信-通信服务-通信工程及服务,33
000681,000681.SZ,传媒-文化传媒-数字媒体,33
002927,002927.SZ,电力设备-电网设备-输变电设备,33
002345,002345.SZ,纺织服饰-服装家纺-饰品,33
603319,603319.SH,汽车-汽车零部件-底盘与发动机系统,17
920570,920570.BJ,机械设备-通用设备-其他通用设备,151
688179,688179.SH,基础化工-化学制品-其他化学制品,17
002140,002140.SZ,建筑装饰-建筑装饰-专业工程,33
688228,688228.SH,计算机-IT服务-IT服务Ⅲ,17
601872,601872.SH,交通运输-港口航运-航运,17
600980,600980.SH,机械设备-专用设备-能源及重型设备,17
000856,000856.SZ,机械设备-专用设备-其他专用设备,33
603248,603248.SH,电力设备-风电设备-风电零部件,17
603118,603118.SH,通信-通信设备-通信终端及配件,17
603027,603027.SH,食品饮料-食品加工制造-调味发酵品,17
920642,920642.BJ,国防军工-军工装备-航空装备,151
300651,300651.SZ,轻工制造-家居用品-文娱用品,33
002801,002801.SZ,电力设备-电机-电机Ⅲ,33
300491,300491.SZ,电力设备-其他电源设备-其他电源设备Ⅲ,33
002132,002132.SZ,机械设备-通用设备-金属制品,33
300120,300120.SZ,电子-光学光电子-面板,33
002386,002386.SZ,基础化工-化学原料-氯碱,33
600362,600362.SH,有色金属-工业金属-铜,17
301073,301073.SZ,社会服务-旅游及酒店-酒店,33
688193,688193.SH,医药生物-医疗器械-体外诊断,17
603156,603156.SH,食品饮料-饮料制造-软饮料,17
003026,003026.SZ,电子-半导体-半导体材料,33
300755,300755.SZ,商贸零售-零售-专业连锁,33
603305,603305.SH,汽车-汽车零部件-底盘与发动机系统,17
002077,002077.SZ,电子-半导体-集成电路封测,33
002785,002785.SZ,建筑材料-建筑材料-其他建材,33
688178,688178.SH,环保-环境治理-综合环境治理,17
600366,600366.SH,有色金属-金属新材料-磁性材料,17
002493,002493.SZ,石油石化-石油加工贸易-石油加工,33
600325,600325.SH,房地产-房地产-住宅开发,17
603050,603050.SH,电力设备-电网设备-电气自控设备,17
002068,002068.SZ,基础化工-橡胶制品-炭黑,33
603171,603171.SH,计算机-IT服务-IT服务Ⅲ,17
920726,920726.BJ,食品饮料-食品加工制造-调味发酵品,151
688077,688077.SH,有色金属-金属新材料-磁性材料,17
688818,688818.SH,国防军工-军工装备-航天装备,17
001368,001368.SZ,轻工制造-家居用品-文娱用品,33
603955,603955.SH,建筑装饰-建筑装饰-装饰园林,17
