所属同花顺行业,股票代码,market_code,code
机械设备-自动化设备-激光设备,002008.SZ,33,002008
轻工制造-家居用品-其他家居用品,301595.SZ,33,301595
纺织服饰-服装家纺-鞋帽及其他,300901.SZ,33,300901
基础化工-化学制品-其他化学制品,603010.SH,17,603010
机械设备-通用设备-金属制品,300946.SZ,33,300946
建筑装饰-建筑装饰-专业工程,003001.SZ,33,003001
建筑装饰-建筑装饰-专业工程,605598.SH,17,605598
机械设备-轨交设备-轨交设备Ⅲ,300594.SZ,33,300594
有色金属-金属新材料-其他金属新材料,688456.SH,17,688456
美容护理-美容护理-化妆品,300849.SZ,33,300849
汽车-汽车零部件-车身附件及饰件,603418.SH,17,603418
计算机-软件开发-垂直应用软件,300561.SZ,33,300561
通信-通信设备-通信网络设备及器件,300570.SZ,33,300570
机械设备-通用设备-金属制品,301261.SZ,33,301261
房地产-房地产-住宅开发,002244.SZ,33,002244
建筑装饰-建筑装饰-专业工程,603637.SH,17,603637
电子-半导体-数字芯片设计,002213.SZ,33,002213
汽车-汽车零部件-车身附件及饰件,920663.BJ,151,920663
汽车-汽车零部件-车身附件及饰件,001278.SZ,33,001278
医药生物-生物制品-疫苗,301207.SZ,33,301207
机械设备-通用设备-机床工具,301603.SZ,33,301603
计算机-IT服务-IT服务Ⅲ,688568.SH,17,688568
计算机-软件开发-横向通用软件,688692.SH,17,688692
医药生物-化学制药-原料药,301089.SZ,33,301089
汽车-汽车零部件-其他汽车零部件,301680.SZ,33,301680
国防军工-军工装备-航空装备,300900.SZ,33,300900
机械设备-通用设备-制冷空调设备,301525.SZ,33,301525
电子-其他电子-其他电子Ⅲ,301328.SZ,33,301328
计算机-计算机设备-安防设备,300790.SZ,33,300790
基础化工-塑料制品-膜材料,301687.SZ,33,301687
电子-消费电子-品牌消费电子,920183.BJ,151,920183
基础化工-化学制品-其他化学制品,688350.SH,17,688350
纺织服饰-服装家纺-服装,301088.SZ,33,301088
机械设备-自动化设备-其他自动化设备,300461.SZ,33,300461
机械设备-通用设备-金属制品,603915.SH,17,603915
医药生物-医疗器械-医疗耗材,920180.BJ,151,920180
电子-电子化学品-电子化学品Ⅲ,301319.SZ,33,301319
汽车-汽车零部件-底盘与发动机系统,603950.SH,17,603950
商贸零售-互联网电商-互联网电商Ⅲ,300518.SZ,33,300518
有色金属-小金属-其他小金属,002428.SZ,33,002428
电力设备-电网设备-线缆部件及其他,605222.SH,17,605222
电子-半导体-半导体设备,301629.SZ,33,301629
医药生物-化学制药-原料药,688076.SH,22,688076
汽车-汽车零部件-底盘与发动机系统,300507.SZ,33,300507
国防军工-军工电子-军工电子Ⅲ,301682.SZ,33,301682
基础化工-塑料制品-改性塑料,688203.SH,17,688203
机械设备-通用设备-仪器仪表,301413.SZ,33,301413
纺织服饰-服装家纺-鞋帽及其他,603608.SH,17,603608
计算机-IT服务-IT服务Ⅲ,920953.BJ,151,920953
计算机-IT服务-IT服务Ⅲ,688229.SH,17,688229
美容护理-美容护理-个护用品,600249.SH,17,600249
国防军工-军工装备-航空装备,000697.SZ,33,000697
汽车-汽车零部件-车身附件及饰件,000700.SZ,33,000700
商贸零售-零售-商业物业经营,600743.SH,17,600743
汽车-汽车零部件-底盘与发动机系统,603037.SH,17,603037
医药生物-化学制药-化学制剂,688799.SH,17,688799
传媒-游戏-游戏Ⅲ,300052.SZ,33,300052
电子-半导体-数字芯片设计,688807.SH,17,688807
环保-环境治理-综合环境治理,688178.SH,17,688178
社会服务-其他社会服务-专业服务,688757.SH,17,688757
国防军工-军工装备-航空装备,688510.SH,17,688510
电力设备-电网设备-输变电设备,920111.BJ,151,920111
电子-元件-印制电路板,300852.SZ,33,300852
农林牧渔-农产品加工-水产饲料,001313.SZ,33,001313
电子-电子化学品-电子化学品Ⅲ,688545.SH,17,688545
机械设备-通用设备-机床工具,002943.SZ,33,002943
电子-半导体-数字芯片设计,300672.SZ,33,300672
机械设备-通用设备-仪器仪表,300572.SZ,33,300572
电子-半导体-集成电路封测,688820.SH,17,688820
环保-环境治理-综合环境治理,688485.SH,17,688485
机械设备-自动化设备-机器人,920578.BJ,151,920578
公用事业-燃气-燃气Ⅲ,001331.SZ,33,001331
汽车-汽车零部件-汽车电子电气系统,603293.SH,17,603293
通信-通信设备-其他通信设备,688418.SH,17,688418
基础化工-化学制品-食品及饲料添加剂,301220.SZ,33,301220
机械设备-通用设备-金属制品,300718.SZ,33,300718
机械设备-通用设备-金属制品,300421.SZ,33,300421
计算机-计算机设备-其他计算机设备,300508.SZ,33,300508
机械设备-通用设备-机床工具,601882.SH,17,601882
建筑装饰-建筑装饰-装饰园林,603030.SH,17,603030
通信-通信设备-通信线缆及配套,600522.SH,17,600522
电子-光学光电子-面板,688781.SH,17,688781
机械设备-工程机械-工程机械Ⅲ,301079.SZ,33,301079
交通运输-港口航运-航运,603162.SH,17,603162
电子-半导体-模拟芯片设计,688061.SH,17,688061
美容护理-美容护理-化妆品,300955.SZ,33,300955
机械设备-专用设备-其他专用设备,603289.SH,17,603289
电子-半导体-分立器件,605111.SH,17,605111
国防军工-军工装备-航天装备,600118.SH,17,600118
机械设备-专用设备-能源及重型设备,300865.SZ,33,300865
建筑装饰-建筑装饰-工程咨询服务,920873.BJ,151,920873
钢铁-钢铁-普钢,601003.SH,17,601003
环保-环境治理-综合环境治理,300948.SZ,33,300948
电力设备-电池-电池化学品,688184.SH,22,688184
基础化工-塑料制品-改性塑料,301003.SZ,33,301003
纺织服饰-服装家纺-饰品,000026.SZ,33,000026
环保-环境治理-固废治理,300854.SZ,33,300854
电力设备-电机-电机Ⅲ,920011.BJ,151,920011
社会服务-其他社会服务-专业服务,301115.SZ,33,301115
家用电器-白色家电-家电零部件,920124.BJ,151,920124
计算机-IT服务-IT服务Ⅲ,920116.BJ,151,920116
机械设备-通用设备-金属制品,300828.SZ,33,300828
汽车-汽车零部件-底盘与发动机系统,920055.BJ,151,920055
有色金属-能源金属-锂,603399.SH,17,603399
电力设备-光伏设备-硅料硅片,300345.SZ,33,300345
国防军工-军工电子-军工电子Ⅲ,002189.SZ,33,002189
医药生物-化学制药-原料药,300381.SZ,33,300381
机械设备-通用设备-其他通用设备,603331.SH,17,603331
国防军工-军工装备-航天装备,003009.SZ,33,003009
汽车-汽车零部件-底盘与发动机系统,920418.BJ,151,920418
计算机-计算机设备-其他计算机设备,300845.SZ,33,300845
交通运输-物流-物流Ⅲ,002800.SZ,33,002800
电子-元件-印制电路板,300476.SZ,33,300476
石油石化-石油加工贸易-油品石化贸易,603353.SH,17,603353
电子-光学光电子-面板,603773.SH,17,603773
基础化工-化学原料-无机盐,600929.SH,17,600929
基础化工-化学制品-民爆用品,002827.SZ,33,002827
纺织服饰-纺织制造-其他纺织,001312.SZ,33,001312
有色金属-金属新材料-其他金属新材料,688811.SH,17,688811
计算机-IT服务-IT服务Ⅲ,300872.SZ,33,300872
汽车-汽车零部件-轮胎轮毂,300695.SZ,33,300695
电力设备-电网设备-电气自控设备,601126.SH,17,601126
计算机-软件开发-垂直应用软件,300469.SZ,33,300469
轻工制造-家居用品-成品家居,002489.SZ,33,002489
电子-光学光电子-LED,300102.SZ,33,300102
计算机-计算机设备-安防设备,300270.SZ,33,300270
医药生物-化学制药-化学制剂,002755.SZ,33,002755
基础化工-化学制品-其他化学制品,603334.SH,17,603334
机械设备-自动化设备-其他自动化设备,688816.SH,17,688816
家用电器-黑色家电-其他黑色家电,000801.SZ,33,000801
计算机-IT服务-IT服务Ⅲ,603629.SH,17,603629
家用电器-白色家电-家电零部件,603657.SH,17,603657
有色金属-金属新材料-其他金属新材料,688102.SH,17,688102
通信-通信设备-通信网络设备及器件,002396.SZ,33,002396
交通运输-港口航运-航运,600751.SH,17,600751
有色金属-工业金属-铜,002203.SZ,33,002203
钢铁-钢铁-特钢,002075.SZ,33,002075
国防军工-军工电子-军工电子Ⅲ,603488.SH,17,603488
国防军工-军工装备-航空装备,000738.SZ,33,000738
电子-光学光电子-LED,300301.SZ,33,300301
电力设备-光伏设备-光伏电池组件,688223.SH,17,688223
轻工制造-家居用品-其他家居用品,301055.SZ,33,301055
交通运输-港口航运-航运,601872.SH,17,601872
公用事业-电力-火电,000791.SZ,33,000791
轻工制造-包装印刷-包装,601515.SH,17,601515
电子-光学光电子-光学元件,688127.SH,17,688127
汽车-汽车零部件-底盘与发动机系统,603960.SH,17,603960
房地产-房地产-住宅开发,000042.SZ,33,000042
电子-消费电子-消费电子零部件及组装,603296.SH,17,603296
计算机-软件开发-垂直应用软件,688109.SH,17,688109
基础化工-塑料制品-其他塑料制品,300920.SZ,33,300920
家用电器-小家电-小家电Ⅲ,603868.SH,17,603868
汽车-汽车零部件-汽车电子电气系统,300863.SZ,33,300863
基础化工-农化制品-磷肥及磷化工,600331.SH,17,600331
交通运输-公路铁路运输-高速公路,600368.SH,17,600368
基础化工-化学制品-民爆用品,002683.SZ,33,002683
机械设备-专用设备-农用机械,300159.SZ,33,300159
建筑装饰-建筑装饰-基础建设,301046.SZ,33,301046
计算机-IT服务-IT服务Ⅲ,688191.SH,17,688191
农林牧渔-农产品加工-粮油加工,603231.SH,17,603231
电子-元件-印制电路板,920821.BJ,151,920821
石油石化-石油加工贸易-油品石化贸易,603223.SH,17,603223
电子-消费电子-消费电子零部件及组装,603380.SH,17,603380
机械设备-工程机械-工程机械Ⅲ,603298.SH,17,603298
国防军工-军工电子-军工电子Ⅲ,688552.SH,17,688552
汽车-汽车零部件-底盘与发动机系统,301225.SZ,33,301225
医药生物-医疗器械-体外诊断,300639.SZ,33,300639
计算机-计算机设备-其他计算机设备,300302.SZ,33,300302
通信-通信设备-通信终端及配件,003031.SZ,33,003031
交通运输-公路铁路运输-公交,002357.SZ,33,002357
电子-元件-印制电路板,002134.SZ,33,002134
轻工制造-包装印刷-印刷,002599.SZ,33,002599
汽车-汽车零部件-汽车电子电气系统,002664.SZ,33,002664
医药生物-医疗器械-医疗耗材,688085.SH,17,688085
基础化工-农化制品-农药,600389.SH,17,600389
国防军工-军工装备-航天装备,688066.SH,22,688066
汽车-汽车零部件-车身附件及饰件,605068.SH,17,605068
医药生物-医疗器械-医疗耗材,605369.SH,17,605369
商贸零售-贸易-贸易Ⅲ,000626.SZ,33,000626
机械设备-自动化设备-机器人,920593.BJ,151,920593
电子-半导体-半导体材料,688432.SH,17,688432
电子-消费电子-消费电子零部件及组装,002861.SZ,33,002861
基础化工-化学原料-氯碱,600319.SH,17,600319
计算机-IT服务-IT服务Ⅲ,300536.SZ,33,300536
计算机-软件开发-垂直应用软件,300075.SZ,33,300075
基础化工-塑料制品-合成树脂,601026.SH,17,601026
电子-其他电子-其他电子Ⅲ,300516.SZ,33,300516
商贸零售-零售-商业物业经营,600790.SH,17,600790
交通运输-物流-物流Ⅲ,603117.SH,17,603117
基础化工-化学制品-其他化学制品,603681.SH,17,603681
建筑材料-建筑材料-其他建材,300234.SZ,33,300234
计算机-计算机设备-其他计算机设备,600100.SH,17,600100
国防军工-军工装备-航天装备,600879.SH,17,600879
纺织服饰-纺织制造-其他纺织,301066.SZ,33,301066
汽车-汽车零部件-底盘与发动机系统,603007.SH,17,603007
有色金属-金属新材料-其他金属新材料,920576.BJ,151,920576
交通运输-机场航运-航空运输,600221.SH,17,600221
医药生物-医疗器械-医疗耗材,688712.SH,17,688712
机械设备-通用设备-金属制品,301368.SZ,33,301368
家用电器-白色家电-家电零部件,300342.SZ,33,300342
传媒-影视院线-影视院线Ⅲ,300027.SZ,33,300027
医药生物-医疗器械-体外诊断,603392.SH,17,603392
国防军工-军工装备-航天装备,601698.SH,17,601698
汽车-汽车零部件-其他汽车零部件,301005.SZ,33,301005
基础化工-化学制品-其他化学制品,002669.SZ,33,002669
环保-环境治理-大气治理,003027.SZ,33,003027
电子-消费电子-消费电子零部件及组装,603341.SH,17,603341
基础化工-化学制品-食品及饲料添加剂,300858.SZ,33,300858
国防军工-军工电子-军工电子Ⅲ,301213.SZ,33,301213
通信-通信设备-通信网络设备及器件,688387.SH,17,688387
机械设备-专用设备-其他专用设备,920080.BJ,151,920080
纺织服饰-服装家纺-鞋帽及其他,603665.SH,17,603665
计算机-IT服务-IT服务Ⅲ,300044.SZ,33,300044
基础化工-塑料制品-合成树脂,301395.SZ,33,301395
环保-环保设备-环保设备Ⅲ,688309.SH,17,688309
建筑装饰-建筑装饰-工程咨询服务,603257.SH,17,603257
家用电器-白色家电-冰洗,600336.SH,17,600336
电力设备-光伏设备-光伏辅材,600207.SH,17,600207
汽车-汽车零部件-其他汽车零部件,301613.SZ,33,301613
汽车-汽车零部件-其他汽车零部件,002976.SZ,33,002976
医药生物-医疗器械-医疗耗材,688581.SH,17,688581
机械设备-通用设备-仪器仪表,300349.SZ,33,300349
家用电器-白色家电-冰洗,000016.SZ,33,000016
社会服务-其他社会服务-专业服务,600826.SH,17,600826
通信-通信设备-通信线缆及配套,600105.SH,17,600105
基础化工-化学制品-其他化学制品,603916.SH,17,603916
农林牧渔-农产品加工-其他农产品加工,000911.SZ,33,000911
汽车-汽车零部件-车身附件及饰件,002048.SZ,33,002048
商贸零售-贸易-贸易Ⅲ,002183.SZ,33,002183
基础化工-化学原料-钛白粉,000545.SZ,33,000545
电子-消费电子-消费电子零部件及组装,920857.BJ,151,920857
传媒-文化传媒-数字媒体,600228.SH,22,600228
电子-半导体-数字芯片设计,688279.SH,17,688279
食品饮料-食品加工制造-其他食品,600381.SH,22,600381
环保-环境治理-综合环境治理,000826.SZ,33,000826
家用电器-黑色家电-彩电,002429.SZ,33,002429
医药生物-生物制品-其他生物制品,002693.SZ,33,002693
计算机-软件开发-垂直应用软件,603189.SH,22,603189
电力设备-电池-其他电池,603031.SH,17,603031
建筑装饰-建筑装饰-基础建设,603843.SH,22,603843
家用电器-厨卫电器-厨卫电器Ⅲ,605336.SH,22,605336
机械设备-自动化设备-机器人,301199.SZ,33,301199
石油石化-油气开采及服务-油服工程,002207.SZ,33,002207
环保-环保设备-环保设备Ⅲ,301288.SZ,33,301288
社会服务-教育-教育Ⅲ,003032.SZ,33,003032
计算机-计算机设备-安防设备,003004.SZ,33,003004
传媒-游戏-游戏Ⅲ,600892.SH,22,600892
通信-通信服务-通信应用增值服务,002289.SZ,33,002289
基础化工-塑料制品-其他塑料制品,603580.SH,22,603580
纺织服饰-服装家纺-服装,002569.SZ,33,002569
机械设备-通用设备-磨具磨料,688028.SH,17,688028
建筑装饰-建筑装饰-专业工程,603959.SH,22,603959
国防军工-军工电子-军工电子Ⅲ,002519.SZ,33,002519
基础化工-化学制品-有机硅,002211.SZ,33,002211
计算机-IT服务-IT服务Ⅲ,603869.SH,22,603869
计算机-IT服务-IT服务Ⅲ,600476.SH,22,600476
轻工制造-家居用品-成品家居,600337.SH,22,600337
房地产-房地产-住宅开发,000668.SZ,33,000668
电子-元件-被动元件,002199.SZ,33,002199
机械设备-专用设备-能源及重型设备,002691.SZ,33,002691
机械设备-工程机械-工程机械Ⅲ,600761.SH,17,600761
基础化工-塑料制品-膜材料,002522.SZ,33,002522
社会服务-教育-教育Ⅲ,600730.SH,22,600730
计算机-IT服务-IT服务Ⅲ,600734.SH,22,600734
国防军工-军工电子-军工电子Ⅲ,688375.SH,17,688375
交通运输-物流-物流Ⅲ,920351.BJ,151,920351
机械设备-工程机械-工程机械Ⅲ,603194.SH,17,603194
机械设备-通用设备-仪器仪表,300553.SZ,33,300553
机械设备-通用设备-其他通用设备,688448.SH,17,688448
建筑装饰-建筑装饰-装饰园林,603828.SH,22,603828
房地产-房地产-产业地产,000909.SZ,33,000909
美容护理-美容护理-化妆品,301371.SZ,33,301371
电子-半导体-半导体材料,688584.SH,17,688584
轻工制造-家居用品-成品家居,603709.SH,17,603709
机械设备-通用设备-机床工具,300809.SZ,33,300809
有色金属-贵金属-贵金属Ⅲ,600988.SH,17,600988
交通运输-港口航运-港口,002040.SZ,33,002040
轻工制造-包装印刷-印刷,001279.SZ,33,001279
医药生物-医疗服务-其他医疗服务,688315.SH,17,688315
汽车-汽车零部件-汽车电子电气系统,301499.SZ,33,301499
基础化工-塑料制品-其他塑料制品,301196.SZ,33,301196
机械设备-自动化设备-其他自动化设备,688306.SH,17,688306
通信-通信设备-通信线缆及配套,000070.SZ,33,000070
电子-光学光电子-面板,300076.SZ,33,300076
医药生物-医疗器械-医疗耗材,301234.SZ,33,301234
汽车-汽车零部件-其他汽车零部件,603119.SH,17,603119
汽车-汽车零部件-车身附件及饰件,601799.SH,17,601799
机械设备-自动化设备-工控设备,301312.SZ,33,301312
美容护理-美容护理-化妆品,600223.SH,17,600223
机械设备-专用设备-能源及重型设备,002490.SZ,33,002490
基础化工-化学制品-涂料油墨,301683.SZ,33,301683
机械设备-自动化设备-工控设备,688160.SH,17,688160
汽车-汽车零部件-车身附件及饰件,920168.BJ,151,920168
电力设备-电网设备-输变电设备,002350.SZ,33,002350
基础化工-塑料制品-合成树脂,688585.SH,17,688585
机械设备-自动化设备-工控设备,002334.SZ,33,002334
国防军工-军工装备-航空装备,300581.SZ,33,300581
国防军工-军工电子-军工电子Ⅲ,301517.SZ,33,301517
医药生物-医疗器械-医疗耗材,301188.SZ,33,301188
国防军工-军工电子-军工电子Ⅲ,002214.SZ,33,002214
医药生物-医疗器械-体外诊断,688298.SH,17,688298
电子-光学光电子-面板,300939.SZ,33,300939
机械设备-专用设备-印刷包装机械,301105.SZ,33,301105
汽车-汽车零部件-底盘与发动机系统,603982.SH,17,603982
电力设备-电网设备-输变电设备,920046.BJ,151,920046
家用电器-小家电-小家电Ⅲ,603355.SH,17,603355
社会服务-其他社会服务-专业服务,001396.SZ,33,001396
电子-元件-印制电路板,002913.SZ,33,002913
纺织服饰-服装家纺-鞋帽及其他,603001.SH,17,603001
计算机-计算机设备-其他计算机设备,000997.SZ,33,000997
计算机-IT服务-IT服务Ⅲ,002401.SZ,33,002401
汽车-汽车零部件-车身附件及饰件,920690.BJ,151,920690
机械设备-通用设备-仪器仪表,300354.SZ,33,300354
汽车-汽车零部件-底盘与发动机系统,002472.SZ,33,002472
机械设备-通用设备-金属制品,300780.SZ,33,300780
通信-通信设备-其他通信设备,600776.SH,17,600776
电力设备-风电设备-风电整机,601615.SH,17,601615
汽车-汽车零部件-车身附件及饰件,301398.SZ,33,301398
计算机-软件开发-垂直应用软件,688562.SH,17,688562
环保-环保设备-环保设备Ⅲ,920145.BJ,151,920145
机械设备-专用设备-其他专用设备,920177.BJ,151,920177
建筑装饰-建筑装饰-工程咨询服务,301027.SZ,33,301027
家用电器-白色家电-家电零部件,300403.SZ,33,300403
传媒-文化传媒-广告营销,600358.SH,17,600358
机械设备-通用设备-金属制品,920693.BJ,151,920693
有色金属-金属新材料-磁性材料,301323.SZ,33,301323
基础化工-化学原料-其他化学原料,600610.SH,17,600610
机械设备-通用设备-金属制品,300943.SZ,33,300943
电子-光学光电子-光学元件,301479.SZ,33,301479
家用电器-厨卫电器-厨卫电器Ⅲ,002677.SZ,33,002677
计算机-软件开发-横向通用软件,688201.SH,22,688201
计算机-计算机设备-其他计算机设备,000977.SZ,33,000977
环保-环境治理-综合环境治理,000711.SZ,33,000711
机械设备-专用设备-其他专用设备,300540.SZ,33,300540
电子-光学光电子-LED,300303.SZ,33,300303
社会服务-其他社会服务-专业服务,300668.SZ,33,300668
商贸零售-互联网电商-互联网电商Ⅲ,300592.SZ,33,300592
