market_code,股票代码,code,涨停原因类别[20260413]
22,603021.SH,603021,ST博弈+日用玻璃+轻量化技术
17,600166.SH,600166,固态电池+新能源重卡+出口第一+北京国资
17,600815.SH,600815,绿色装备+雅鲁藏布江水电+厦门国资
22,600243.SH,600243,退市博弈+减速器+电梯配件
33,002943.SZ,002943,扭亏为盈+海外光伏+碳化硅设备+消费电子
33,002436.SZ,002436,光模块+FCBGA封装基板+存储芯片
33,000010.SZ,000010,算力+庭外重组+市政基建
22,600599.SH,600599,
33,002080.SZ,002080,AI纤维布+风电叶片+央企背景
33,002517.SZ,002517,
33,002240.SZ,002240,锂盐产能+固态电池+木绒锂矿
17,688135.SH,688135,存储芯片+HBM测试+芯片测试
33,001270.SZ,001270,T/R芯片+商业航天+扭亏为盈+摘帽预期
33,301667.SZ,301667,储能+宁德时代概念+电池液冷板+数据中心液冷
17,600152.SH,600152,钠离子电池+定增+消费电子
33,000889.SZ,000889,
33,002678.SZ,002678,文旅转型+智能钢琴+机器人合作+广州国资
17,603682.SH,603682,城市更新+租售同权+轻资产运营
33,001203.SZ,001203,锂矿放量+固态电池+铁矿龙头
17,603350.SH,603350,机器人+两轮车+越南产能+业绩增长
17,600527.SH,600527,复合短纤维+涤纶毛条
33,002929.SZ,002929,算力出海+AI智能体+中标光伏
33,000752.SZ,000752,ST重整+拟全资控股拉萨啤酒+业绩预增
33,000026.SZ,000026,拟收购长空齿轮+中航工业旗下
22,603721.SH,603721,AI微短剧+长沙国资+扭亏
22,600696.SH,600696,
22,603389.SH,603389,ST板块+锆钛选矿+世博家具
17,603897.SH,603897,机器人+电磁线+新能源汽车
22,603813.SH,603813,退市博弈+氢能物流+电商物流
17,600396.SH,600396,火电+氢能+央企
17,600337.SH,600337,重整预期+AI智家+拟收购万德溙（铜缆）
17,600423.SH,600423,
33,003004.SZ,003004,亏损收窄+安消一体化+ST博弈
17,603177.SH,603177,钠离子电池+超超临界发电+大气治理
17,600773.SH,600773,盐湖提锂+年报落地+上海国资
22,600238.SH,600238,保壳博弈+保健酒+海南国资
22,603580.SH,603580,退市博弈+轻型输送带+新能源电池配件
33,002512.SZ,002512,商业航天+卫星通信+显示主板
33,002124.SZ,002124,猪肉+预重整+销量增长
33,002047.SZ,002047,年报扭亏+申请摘帽+珠海国资+光耦合器
33,002005.SZ,002005,ST摘帽预期+LED封装+小家电出口
33,001299.SZ,001299,燃气+综合能源转型+年报增长+西部大开发
33,002876.SZ,002876,柔性屏+大尺寸TV+国产化
33,002902.SZ,002902,800G光模块+AI算力+车载磁性元器件
17,603738.SH,603738,625MHz晶振+光模块+石英晶体+人形机器人
33,002364.SZ,002364,宁德时代入股+HVDC+数据中心电源
17,600032.SH,600032,绿电+氢能+浙江国资
22,603843.SH,603843,
33,003018.SZ,003018,液冷收购+瓶盖龙头+饮料供应链
33,002199.SZ,002199,碳酸锂+石英晶体+退市博弈
17,688813.SH,688813,PCB+铜箔+陕西国资+次新股
17,600176.SH,600176,电子布涨价+风电纱+央企
33,002528.SZ,002528,庭外重组+深圳国资+智慧城市+AI安防
22,603557.SH,603557,童装童鞋+三胎概念+此前获赠资产+ST板块
33,000402.SZ,000402,商业地产+城市更新+减债+北京国资
