code,涨停原因类别[20260701],股票代码,market_code
000520,干散货航运+船舶购置+一季度扭亏,000520.SZ,33
603718,氧化锆+收购并表+ST板块,603718.SH,22
002698,机器人+电石炉改造+人形机器人,002698.SZ,33
002455,TMP产品+精细化工+供给缺口,002455.SZ,33
002268,商业航天+密码安全+央企,002268.SZ,33
600725,资产重组+煤炭贸易+云南国资,600725.SH,17
603538,减肥药+机器人+定增CDMO,603538.SH,17
600119,现代物流+ST板块+上海国资,600119.SH,22
002635,收购苏州志烽51%股权+光模块+消费电子,002635.SZ,33
002548,生猪养殖+饲料+机器人,002548.SZ,33
920090,ST板块+算力+AI应用,920090.BJ,151
600423,电子级双氧水+芯片概念+一季报增长+柳州国资,600423.SH,22
300852,PCB+1.6T光模块+定增加码AI,300852.SZ,33
002200,摘帽+资产注入预期+一季报扭亏+云南国资,002200.SZ,33
603758,人形机器人+真空镀膜+发动机核心零部件+回购注销,603758.SH,17
002053,风电+压缩空气储能+国企改革,002053.SZ,33
603272,GPU模组贸易+装修业务拓展+*ST,603272.SH,22
603859,定增落地+具身智能+商业航天+工业AI,603859.SH,17
603429,拟购慧聚药业+固态电池+烟标,603429.SH,22
600658,AI数智化+量子科技+城市更新+北京国资,600658.SH,17
605155,跨境电商+市值管理+遮阳龙头,605155.SH,17
600337,,600337.SH,22
002468,智能物流+双网协同+回购,002468.SZ,33
002313,控股权划转+无线通信模组+AI模组+一季度扭亏,002313.SZ,33
603353,存储芯片+半导体IP+成品油,603353.SH,17
300487,超纯水+存储芯片+盐湖提锂+生命科学,300487.SZ,33
600641,减持终止+铋材料+离子注入机,600641.SH,17
601162,证券+研究能力+湖北国资,601162.SH,17
002667,ST板块+碳酸锂+一季报扭亏,002667.SZ,33
002407,半导体级氢氟酸涨价+六氟磷酸锂+大圆柱电池,002407.SZ,33
002808,退市复核+OPC感光鼓+分布式光伏,002808.SZ,37
000078,摘帽预期+miRNA肿瘤早筛+医药工业,000078.SZ,33
002005,一季报扭亏+LED封装+ST摘帽+小家电,002005.SZ,33
000925,磷化铟+半导体材料+商业航天+低空经济,000925.SZ,33
605199,创新药+儿科药+ST摘帽进展,605199.SH,22
002981,电声产品+AI眼镜+机器人概念,002981.SZ,33
603325,气力输送系统+合成树脂+在手订单充足,603325.SH,17
600581,资产剥离+定增+中亚钢铁出口+央企,600581.SH,22
603738,涨价+光模块晶振+CPO+人形机器人,603738.SH,17
600233,中报预增+行业反内卷+AI应用+快递物流,600233.SH,17
002109,子公司复产+股东增持+煤化工+陕西国资,002109.SZ,33
000639,高管增持+玉米油龙头+控制权或变更+资产剥离,000639.SZ,33
300518,拟控股鑫兴光电+锂矿+电商直销,300518.SZ,33
600734,算力合同+智算中心+福建国资+一季报减亏,600734.SH,22
002199,ST摘帽+石英晶体元器件+碳酸锂,002199.SZ,33
600080,创新药+ST板块+摘帽,600080.SH,22
000733,MLCC+商业航天+央企,000733.SZ,33
603557,铝业转型+三胎概念+ST板块,603557.SH,22
