股票代码,market_code,涨停原因类别[20260721],code
300285.SZ,33,氧化锆提价+MLCC粉体+低轨卫星陶瓷管壳,300285
603538.SH,17,,603538
001314.SZ,33,,001314
003033.SZ,33,人形机器人+灵巧手+链传动龙头+张雪机车合作,003033
000510.SZ,33,钨锡钽铌+氯碱化工+减持终止,000510
603221.SH,17,拟收购欧康诺+股权转让+PVC弹性地板+Home Depot供应链,603221
001389.SZ,33,算力PCB+中报预增+海外产能释放,001389
300795.SZ,33,间接参股月之暗面+AI应用+拟投资阶跃星辰+境外会展,300795
603678.SH,17,MLCC+超级电容+商业航天,603678
600641.SH,17,拟收购先导微电子+半导体设备+铋材料,600641
603580.SH,17,,603580
300643.SZ,33,传感器+车联网+减持落地,300643
002970.SZ,33,HVDC电源+数字能源+Robobus自动驾驶+商用车AIoT,002970
600330.SH,17,光模块上游+铌酸锂+软磁材料+先进封装,600330
002879.SZ,33,回购+增持+液冷+电缆附件,002879
600584.SH,17,先进封装+CPO光引擎+存储芯片+中报预增,600584
688001.SH,17,半导体检测+人形机器人+一季报增长,688001
688261.SH,17,功率半导体+算力电源+人形机器人,688261
002913.SZ,33,拟回购+PCB+AI服务器+AIPC,002913
603311.SH,17,实控人此前变更+AI应用+新能源汽车过滤,603311
603398.SH,22,,603398
001206.SZ,33,,001206
002203.SZ,33,PCB铜箔+固态电池+拟中期分红,002203
603161.SH,17,定增获批+混动零部件+涡轮增压器壳体,603161
002851.SZ,33,AI电源+英伟达产业链+H股上市,002851
600881.SH,17,,600881
600988.SH,17,黄金+紫金矿业入主+半年报预增,600988
688147.SH,17,半导体ALD设备+存储芯片+先进封装,688147
000526.SZ,33,AI教育+个性化教育+回购,000526
603192.SH,17,聚氨酯+机器人材料+新能源电池制件,603192
002432.SZ,33,参股月之暗面/DeepSeek+AI医疗+中报预增,002432
301580.SZ,33,氧化锆粉体替代+口腔修复材料+3D打印+股权激励,301580
000603.SZ,33,白银+金属铅锌+中报预增,000603
002245.SZ,33,BBU电源+人形机器人+中报预增,002245
301588.SZ,33,商业航天+塑木+外销,301588
000815.SZ,33,算力租赁+东数西算+中国诚通旗下,000815
688037.SH,17,涂胶显影龙头+先进封装+券商看好+北京国资,688037
688371.SH,17,纳米镀膜+液冷服务器+汽车电子,688371
